I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
2.541034,0.000000,9.147724,529.826965,0.000000,-2.541034,-0.000263,-9.146777,-529.827087,0.000000,-2.258966,0.000000,-8.132277,-494.121033,0.000000,2.258966,0.000002,8.132268,493.580811,0.000000
2.541034,0.000000,9.147724,530.513062,0.000000,-2.541034,-0.000205,-9.146986,-530.513062,0.000000,-2.258966,0.000000,-8.132277,-494.730957,0.000000,2.258966,0.000002,8.132270,494.190735,0.000000
2.521534,0.000000,9.077523,531.193848,0.000000,-2.521534,-0.000160,-9.076948,-531.193848,0.000000,-2.278466,0.000000,-8.202477,-495.346130,0.000000,2.278466,0.000001,8.202472,494.805908,0.000000
2.521534,0.000000,9.077523,531.874634,0.000000,-2.521534,-0.000124,-9.077075,-531.874634,0.000000,-2.278466,0.000000,-8.202477,-495.961304,0.000000,2.278466,0.000001,8.202473,495.421082,0.000000
2.558384,0.000000,9.210183,532.565369,0.000000,-2.558384,-0.000097,-9.209833,-532.565308,0.000000,-2.241616,0.000000,-8.069818,-496.566528,0.000000,2.241616,0.000001,8.069814,496.026306,0.000000
2.558384,0.000000,9.210183,533.256165,0.000000,-2.558384,-0.000076,-9.209910,-533.256104,0.000000,-2.241616,0.000000,-8.069818,-497.171753,0.000000,2.241616,0.000001,8.069815,496.631531,0.000000
2.586367,0.000000,9.310921,533.954468,0.000000,-2.586367,-0.000059,-9.310709,-533.954407,0.000000,-2.213633,0.000000,-7.969079,-497.769440,0.000000,2.213633,0.000001,7.969078,497.229218,0.000000
2.586367,0.000000,9.310921,534.652832,0.000000,-2.586367,-0.000046,-9.310755,-534.652710,0.000000,-2.213633,0.000000,-7.969079,-498.367126,0.000000,2.213633,0.000000,7.969078,497.826904,0.000000
2.588651,0.000000,9.319142,535.351746,0.000000,-2.588651,-0.000036,-9.319014,-535.351624,0.000000,-2.211349,0.000000,-7.960858,-498.964172,0.000000,2.211349,0.000000,7.960857,498.423950,0.000000
2.588651,0.000000,9.319142,536.050659,0.000000,-2.588651,-0.000028,-9.319042,-536.050537,0.000000,-2.211349,0.000000,-7.960858,-499.561218,0.000000,2.211349,0.000000,7.960857,499.020996,0.000000
2.567190,0.000000,9.241882,536.743835,0.000000,-2.567190,-0.000022,-9.241804,-536.743652,0.000000,-2.232810,0.000000,-8.038117,-500.164063,0.000000,2.232810,0.000000,8.038116,499.623840,0.000000
2.567190,0.000000,9.241882,537.436951,0.000000,-2.567190,-0.000017,-9.241821,-537.436829,0.000000,-2.232810,0.000000,-8.038117,-500.766937,0.000000,2.232810,0.000000,8.038116,500.226685,0.000000
2.485469,0.000000,8.947689,538.108032,0.000000,-2.485469,-0.000013,-8.947642,-538.107849,0.000000,-2.314531,0.000000,-8.332311,-501.391876,0.000000,2.314531,0.000000,8.332311,500.851624,0.000000
2.485469,0.000000,8.947689,538.779114,0.000000,-2.485469,-0.000010,-8.947653,-538.778931,0.000000,-2.314531,0.000000,-8.332311,-502.016815,0.000000,2.314531,0.000000,8.332311,501.476563,0.000000
2.566305,0.000000,9.238697,539.471985,0.000000,-2.566305,-0.000008,-9.238668,-539.471863,0.000000,-2.233695,0.000000,-8.041303,-502.619873,0.000000,2.233695,0.000000,8.041303,502.079651,0.000000
2.566305,0.000000,9.238697,540.164856,0.000000,-2.566305,-0.000006,-9.238675,-540.164734,0.000000,-2.233695,0.000000,-8.041303,-503.222961,0.000000,2.233695,0.000000,8.041303,502.682739,0.000000
2.548925,0.000000,9.176129,540.853088,0.000000,-2.548925,-0.000005,-9.176112,-540.852966,0.000000,-2.251075,0.000000,-8.103870,-503.830750,0.000000,2.251075,0.000000,8.103870,503.290527,0.000000
2.548925,0.000000,9.176129,541.541321,0.000000,-2.548925,-0.000004,-9.176116,-541.541199,0.000000,-2.251075,0.000000,-8.103870,-504.438568,0.000000,2.251075,0.000000,8.103870,503.898315,0.000000
2.544362,0.000000,9.159701,542.228271,0.000000,-2.544362,-0.000003,-9.159691,-542.228149,0.000000,-2.255639,0.000000,-8.120298,-505.047577,0.000000,2.255639,0.000000,8.120298,504.507355,0.000000
2.544362,0.000000,9.159701,542.915222,0.000000,-2.544362,-0.000002,-9.159693,-542.915100,0.000000,-2.255639,0.000000,-8.120298,-505.656586,0.000000,2.255639,0.000000,8.120298,505.116364,0.000000
2.499796,0.000000,8.999266,543.590149,0.000000,-2.499796,-0.000002,-8.999259,-543.590027,0.000000,-2.300204,0.000000,-8.280734,-506.277649,0.000000,2.300204,0.000000,8.280734,505.737396,0.000000
2.499796,0.000000,8.999266,544.265137,0.000000,-2.499796,-0.000001,-8.999261,-544.264954,0.000000,-2.300204,0.000000,-8.280734,-506.898682,0.000000,2.300204,0.000000,8.280734,506.358459,0.000000
2.552367,0.000000,9.188522,544.954224,0.000000,-2.552367,-0.000001,-9.188519,-544.954102,0.000000,-2.247633,0.000000,-8.091477,-507.505554,0.000000,2.247633,0.000000,8.091477,506.965332,0.000000
