I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27
35.994827,0.000000,379.145508,107.984482,6.479069,-35.994827,-0.000000,-379.145508,-107.984482,-6.479069,-36.005173,0.000000,-379.254486,-108.015518,-6.480931,36.005173,0.000000,379.254486,108.015518,6.480931,-0.196456,-0.080231,-59.499954,0.073737,-0.043907,0.003235,-0.000794,0.004061
35.994827,0.000000,379.145508,107.984482,12.958138,-35.994827,-0.000000,-379.145508,-107.984482,-12.958138,-36.005173,-0.386000,-379.254486,-106.857513,-12.892383,36.005173,0.000000,379.254486,108.015518,12.961863,-0.197277,-0.080698,-59.500938,-0.216618,-0.047820,-0.429001,-0.001596,0.006219
27.444954,1.158000,289.086853,78.860855,17.689791,-27.444954,-1.158000,-289.086853,-78.860855,-17.689791,-44.555046,-0.237004,-469.313141,-132.954132,-20.869629,44.555046,0.000000,469.313141,133.665131,20.981771,-0.196274,-0.073335,-59.481766,-0.415515,1.285123,5.351123,0.000385,-0.011217
36.896271,0.036249,388.640686,110.580070,132.385696,-36.896271,-0.059805,-388.640686,-110.509399,-131.852432,-39.903732,-0.000036,-420.319305,-119.711082,-147.128708,39.903732,0.055278,420.319305,119.545364,146.964539,-0.186248,-0.080637,-59.366165,0.064695,-0.361388,0.488387,-0.001073,0.003991
36.896271,0.408257,388.640686,109.464043,138.953552,-36.896271,-0.036720,-388.640686,-110.578651,-138.487152,-39.903732,-0.000022,-420.319305,-119.711128,-154.311371,39.903732,0.033941,420.319305,119.609375,154.141113,-0.185800,-0.081501,-59.359779,0.068254,0.433181,0.531450,-0.005236,0.006130
37.768608,0.250670,397.829346,112.553810,145.706772,-37.768608,-0.022546,-397.829346,-113.238190,-145.281448,-39.031395,-0.000014,-411.130676,-117.094139,-161.337021,39.031395,0.020840,411.130676,117.031662,161.163010,-0.188434,-0.079554,-59.357983,-0.043102,0.052986,-0.070728,-0.002636,0.007050
37.768608,0.153911,397.829346,112.844086,152.477417,-37.768608,-0.013843,-397.829346,-113.264297,-152.077301,-39.031395,-0.000008,-411.130676,-117.094162,-168.362671,39.031395,0.012796,411.130676,117.055801,168.186371,-0.187744,-0.081065,-59.357983,0.266653,-0.279244,-0.078094,0.001087,0.003328
15.949691,0.094501,168.003418,47.565567,155.331345,-15.949691,-0.008500,-168.003418,-47.823570,-154.946716,-17.650311,-0.000005,-185.916595,-52.950912,-171.539734,17.650311,0.007856,185.916595,52.927361,171.362000,-0.187113,-0.080583,-59.357994,-0.153967,0.010795,0.040497,0.001253,0.002618
15.949691,0.058024,168.003418,47.675003,158.191849,-15.949691,-0.005219,-168.003418,-47.833416,-157.816727,-17.650311,-0.000003,-185.916595,-52.950920,-174.716797,17.650311,0.004824,185.916595,52.936462,174.538193,-0.186087,-0.079539,-59.357994,0.199918,-0.197211,0.008959,-0.000117,0.005416
17.101345,0.035627,180.134155,51.197151,161.263687,-17.101345,-0.003204,-180.134155,-51.294422,-160.894379,-16.498657,-0.000002,-173.785858,-49.495964,-177.686554,16.498657,0.388962,173.785858,48.329086,177.437943,-0.186378,-0.084016,-59.363678,0.119814,-0.175746,-0.685892,-0.004777,0.004955
