I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27
0.029467,0.000000,0.216612,0.067775,0.002357,-0.029467,0.000000,-0.173893,-0.067775,-0.002357,0.029467,0.000000,0.195997,0.067775,0.002357,-0.029467,0.000000,-0.219574,-0.067775,-0.002357,-0.400977,0.071698,-0.253745,0.081478,-0.002460,-0.018432,0.001953,0.008088
0.029467,0.000000,0.216612,0.067775,0.004715,-0.029467,0.000000,-0.173893,-0.067775,-0.004715,0.029467,0.000000,0.195997,0.067775,0.004715,-0.029467,0.000000,-0.219574,-0.067775,-0.004715,-0.400381,0.071824,-0.253743,0.135713,-0.048504,0.027131,0.001928,0.007892
0.017879,0.000000,0.131422,0.041122,0.006145,-0.017879,0.000000,-0.105500,-0.041122,-0.006145,0.017879,0.000000,0.118911,0.041122,0.006145,-0.017879,0.000000,-0.133215,-0.041122,-0.006145,-0.400123,0.071738,-0.253740,0.042404,-0.029696,-0.010861,0.002097,0.007987
-0.013745,0.000000,-0.101030,-0.031613,0.011762,0.013745,0.000000,0.081102,0.031613,-0.011762,-0.013745,0.000000,-0.091411,-0.031613,0.011762,0.013745,0.000000,0.102408,0.031613,-0.011762,-0.401151,0.071867,-0.253726,0.056590,-0.038856,0.009389,0.001997,0.008395
-0.013745,0.000000,-0.101030,-0.031613,0.010662,0.013745,0.000000,0.081102,0.031613,-0.010662,-0.013745,0.000000,-0.091411,-0.031613,0.010662,0.013745,0.000000,0.102408,0.031613,-0.010662,-0.401143,0.071570,-0.253722,0.073579,-0.072871,-0.045698,0.001954,0.008465
0.003523,0.000000,0.025897,0.008104,0.010944,-0.003523,0.000000,-0.020788,-0.008104,-0.010944,0.003523,0.000000,0.023431,0.008104,0.010944,-0.003523,0.000000,-0.026250,-0.008104,-0.010944,-0.401189,0.071470,-0.253720,0.107886,-0.010719,-0.001591,0.001867,0.008525
0.003523,0.000000,0.025897,0.008104,0.011226,-0.003523,0.000000,-0.020788,-0.008104,-0.011226,0.003523,0.000000,0.023431,0.008104,0.011226,-0.003523,0.000000,-0.026250,-0.008104,-0.011226,-0.401103,0.071369,-0.253718,0.058106,-0.074267,0.011130,0.001729,0.008391
-0.001549,0.000000,-0.011386,-0.003563,0.011102,0.001549,0.000000,0.009140,0.003563,-0.011102,-0.001549,0.000000,-0.010302,-0.003563,0.011102,0.001549,0.000000,0.011541,0.003563,-0.011102,-0.401232,0.071215,-0.253716,0.097825,-0.015381,0.001608,0.001589,0.008189
-0.001549,0.000000,-0.011386,-0.003563,0.010978,0.001549,0.000000,0.009140,0.003563,-0.010978,-0.001549,0.000000,-0.010302,-0.003563,0.010978,0.001549,0.000000,0.011541,0.003563,-0.010978,-0.400884,0.070860,-0.253714,0.118549,-0.088166,-0.018771,0.001449,0.008138
-0.019993,0.000000,-0.146963,-0.045984,0.009379,0.019993,0.000000,0.117977,0.045984,-0.009379,-0.019993,0.000000,-0.132974,-0.045984,0.009379,0.019993,0.000000,0.148970,0.045984,-0.009379,-0.400538,0.070543,-0.253711,0.097478,-0.028442,0.013097,0.001444,0.008244
-0.019993,0.000000,-0.146963,-0.045984,0.007779,0.019993,0.000000,0.117977,0.045984,-0.007779,-0.019993,0.000000,-0.132974,-0.045984,0.007779,0.019993,0.000000,0.148970,0.045984,-0.007779,-0.400430,0.070177,-0.253709,0.070393,-0.027023,0.000464,0.001406,0.008407
0.039118,0.000000,0.287568,0.089972,0.010909,-0.039118,0.000000,-0.230862,-0.089972,-0.010909,0.039118,0.000000,0.260207,0.089972,0.010909,-0.039118,0.000000,-0.291507,-0.089972,-0.010909,-0.400393,0.069899,-0.253707,0.080525,-0.024372,-0.024107,0.001546,0.008577
0.039118,0.000000,0.287568,0.089972,0.014038,-0.039118,0.000000,-0.230862,-0.089972,-0.014038,0.039118,0.000000,0.260207,0.089972,0.014038,-0.039118,0.000000,-0.291507,-0.089972,-0.014038,-0.400874,0.069796,-0.253706,0.051538,-0.047328,0.002759,0.001899,0.008671
-0.036602,0.000000,-0.269066,-0.084184,0.011110,0.036602,0.000000,0.216007,0.084184,-0.011110,-0.036602,0.000000,-0.243463,-0.084184,0.011110,0.036602,0.000000,0.272750,0.084184,-0.011110,-0.401310,0.070058,-0.253705,0.040938,-0.033914,0.023665,0.002093,0.008712
-0.036602,0.000000,-0.269066,-0.084184,0.008182,0.036602,0.000000,0.216007,0.084184,-0.008182,-0.036602,0.000000,-0.243463,-0.084184,0.008182,0.036602,0.000000,0.272750,0.084184,-0.008182,-0.401606,0.070453,-0.253706,0.055709,-0.009049,-0.006363,0.002181,0.008586
-0.076981,0.000000,-0.566003,-0.177057,0.002024,0.076981,0.000000,0.454439,0.177057,-0.002024,-0.076981,0.000000,-0.512199,-0.177057,0.002024,0.076981,0.000000,0.573808,0.177057,-0.002024,-0.401856,0.070570,-0.253704,0.056500,-0.028498,0.048507,0.001968,0.008361
-0.076981,0.000000,-0.566003,-0.177057,-0.004135,0.076981,0.000000,0.454439,0.177057,0.004135,-0.076981,0.000000,-0.512199,-0.177057,-0.004135,0.076981,0.000000,0.573808,0.177057,0.004135,-0.401999,0.070619,-0.253703,0.058118,-0.065510,0.013471,0.001718,0.008374
-0.003810,0.000000,-0.028006,-0.008764,-0.004440,0.003810,0.000000,0.022481,0.008764,0.004440,-0.003810,0.000000,-0.025339,-0.008764,-0.004440,0.003810,0.000000,0.028387,0.008764,0.004440,-0.402285,0.070192,-0.253699,0.086046,-0.083312,0.001877,0.001652,0.008518
-0.003810,0.000000,-0.028006,-0.008764,-0.004745,0.003810,0.000000,0.022481,0.008764,0.004745,-0.003810,0.000000,-0.025339,-0.008764,-0.004745,0.003810,0.000000,0.028387,0.008764,0.004745,-0.402600,0.069598,-0.253695,0.075748,-0.051545,0.011578,0.001515,0.008664
