I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26.228115,25.104599,565.237122,4.718767,146.235672,15.771884,28.290775,499.362854,-52.579342,56.458378,26.228115,27.566645,565.237122,-5.621824,145.089615,15.771884,27.949844,499.362854,-51.147430,128.210114
26.228115,27.766224,565.237122,-6.460057,145.389709,15.771884,29.336536,499.362854,-56.971539,48.997822,26.228115,28.505920,565.237122,-9.566782,143.836823,15.771884,28.741205,499.362854,-54.471146,121.076988
19.393703,29.400461,522.180359,-42.028381,139.885986,22.606297,29.592634,542.419678,-29.342617,45.155334,19.393703,29.468636,522.180359,-42.314713,138.295609,22.606297,29.227100,542.419678,-27.807375,117.435547
19.393703,31.561884,522.180359,-51.106354,133.193481,22.606297,29.363878,542.419678,-28.381842,41.438663,19.393703,30.059742,522.180359,-44.797359,132.429291,22.606297,29.139441,542.419678,-27.439203,113.842316
11.050690,32.888996,469.619354,-91.720886,121.182419,30.949310,29.223421,594.980652,7.248734,42.387905,11.050690,31.966682,469.619354,-87.847168,120.925499,30.949310,30.629616,594.980652,1.342717,114.018150
11.050690,32.545845,469.619354,-90.279648,109.360085,30.949310,29.523180,594.980652,5.989747,43.172279,11.050690,32.751541,469.619354,-91.143570,108.990028,30.949310,30.772585,594.980652,0.742247,114.115349
19.695946,32.721149,524.084473,-54.705853,102.196220,22.304054,30.865232,540.515564,-35.956947,38.463627,19.695946,33.233448,524.084473,-56.857506,101.544395,22.304054,31.246367,540.515564,-37.557709,109.197083
19.695946,31.284786,524.084473,-48.673126,95.822365,22.304054,32.461254,540.515564,-42.660236,32.877167,19.695946,33.915337,524.084473,-59.721439,93.723732,22.304054,33.467270,540.515564,-46.885502,103.057312
38.539368,30.788858,642.798035,32.552139,100.085136,3.460634,34.213211,421.802002,-129.160812,15.963251,38.539368,35.106018,642.798035,14.420068,95.612076,3.460634,34.830902,421.802002,-131.755112,85.803658
38.539368,31.256359,642.798035,30.588634,104.090790,3.460634,35.288910,421.802002,-133.678757,-1.542301,38.539368,34.679096,642.798035,16.213139,97.735229,3.460634,36.440174,421.802002,-138.514053,67.664917
25.962231,32.315403,563.562073,-26.683323,100.596542,16.037769,34.791389,501.037964,-78.765198,-11.856792,25.962231,35.188965,563.562073,-38.752281,92.660522,16.037769,35.884266,501.037964,-83.355286,56.749340
25.962231,33.351658,563.562073,-31.035593,96.532356,16.037769,33.327911,501.037964,-72.618591,-21.366371,25.962231,36.660023,563.562073,-44.930725,86.776733,16.037769,35.928940,501.037964,-83.542915,45.809196
13.006529,35.145920,481.941132,-92.985435,84.355690,28.993471,33.201336,582.658875,-17.673031,-23.680695,13.006529,37.563255,481.941132,-103.138245,73.270531,28.993471,35.570370,582.658875,-27.622972,42.191902
13.006529,37.019596,481.941132,-100.854881,71.148506,28.993471,31.965620,582.658875,-12.483025,-25.315378,13.006529,36.959839,481.941132,-100.603897,60.096214,28.993471,33.420208,582.658875,-18.592295,39.757198
13.277377,37.784031,483.647461,-102.927940,57.669846,28.722622,32.364891,580.952515,-15.297529,-27.318626,13.277377,36.589340,483.647461,-97.910240,47.274632,28.722622,34.416008,580.952515,-23.912220,36.625832
13.277377,37.095394,483.647461,-100.035660,44.569939,28.722622,32.224045,580.952515,-14.705976,-29.244408,13.277377,36.361855,483.647461,-96.954796,34.578167,28.722622,33.869431,580.952515,-21.616594,33.795090
20.482212,36.286572,529.037964,-66.378304,35.877541,21.517788,33.681564,535.562073,-51.087860,-35.934486,20.482212,35.450180,529.037964,-62.865463,26.345785,21.517788,35.849831,535.562073,-60.194576,25.912464
20.482212,35.017956,529.037964,-61.050121,27.882879,21.517788,35.348480,535.562073,-58.088905,-43.541367,20.482212,33.346409,529.037964,-54.029625,19.270477,21.517788,34.749798,535.562073,-55.574440,18.634859
20.680416,34.239025,530.286621,-56.946156,20.425644,21.319584,35.985966,534.313354,-61.598801,-51.607880,20.680416,32.440697,530.286621,-49.393177,12.802323,21.319584,35.232376,534.313354,-58.433723,10.982823
20.680416,34.146763,530.286621,-56.558655,13.019154,21.319584,34.833382,534.313354,-56.757950,-59.040466,20.680416,33.042587,530.286621,-51.921116,6.003129,21.319584,35.528679,534.313354,-59.678196,3.167821
17.577267,35.248112,510.736786,-74.217545,3.300189,24.422733,35.283695,553.863220,-45.616039,-65.013992,17.577267,33.412148,510.736786,-66.506500,-2.706056,24.422733,35.710609,553.863220,-47.409077,-3.040511
17.577267,35.152340,510.736786,-73.815308,-6.366102,24.422733,35.560188,553.863220,-46.777309,-71.139595,17.577267,33.639057,510.736786,-67.459518,-11.540041,24.422733,35.050316,553.863220,-44.635845,-8.885682
23.100676,36.251537,545.534241,-55.233616,-13.599075,18.899324,34.571957,519.065735,-65.825050,-79.759544,23.100676,34.550381,545.534241,-48.088760,-17.837378,18.899324,35.030895,519.065735,-67.752594,-17.758045
23.100676,36.154446,545.534241,-54.825832,-20.778650,18.899324,34.737183,519.065735,-66.519005,-88.470367,23.100676,35.495934,545.534241,-52.060081,-24.654768,18.899324,36.176971,519.065735,-72.566116,-27.260752
23.423153,37.252831,547.565857,-58.084644,-28.384972,18.576847,36.382629,517.034119,-74.784279,-98.263550,23.423153,36.076504,547.565857,-53.144070,-31.614111,18.576847,35.722660,517.034119,-72.012413,-36.690948
23.423153,37.155239,547.565857,-57.674759,-35.937618,18.576847,36.234936,517.034119,-74.163971,-107.975502,23.423153,36.046974,547.565857,-53.020046,-38.557213,18.576847,35.443714,517.034119,-70.840836,-45.967728
22.128958,36.323318,539.412476,-59.616314,-43.744518,19.871042,34.986252,525.187561,-63.483879,-116.288864,22.128958,35.256844,539.412476,-55.137119,-45.777546,19.871042,35.272442,525.187561,-64.685875,-54.438496
22.128958,35.812519,539.412476,-57.470955,-51.270477,19.871042,34.991558,525.187561,-63.506165,-124.605148,22.128958,35.157703,539.412476,-54.720730,-52.943359,19.871042,35.167278,525.187561,-64.244186,-62.851425
17.964714,36.656887,513.177734,-78.507126,-61.551174,21.635288,35.380817,536.302307,-57.731220,-132.165192,17.964714,36.254829,513.177734,-76.818481,-63.002922,21.635288,35.102711,536.302307,-56.563171,-70.258507
17.964714,36.789330,513.177734,-79.063385,-71.904716,21.635288,34.461823,536.302307,-53.871441,-139.219788,17.964714,36.928467,513.177734,-79.647758,-73.432991,21.635288,35.063065,536.302307,-56.396660,-77.643784
