I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27
32.951946,0.000000,337.757446,92.265450,3.954233,-32.951946,0.000000,-355.881042,-92.265450,-3.954233,-33.048054,0.000000,-398.229065,-92.534546,-3.965766,33.048054,-0.000000,403.186279,92.534546,3.965766,0.071205,0.769567,-0.261140,0.063331,-0.068265,0.030059,0.013816,-0.000218
32.951946,0.000000,337.757446,92.265450,7.908467,-32.951946,0.000000,-355.881042,-92.265450,-7.908467,-33.048054,0.000000,-398.229065,-92.534546,-7.931533,33.048054,0.772000,403.186279,90.372948,7.838893,0.072102,0.769336,-0.261145,0.320341,0.294194,0.093861,0.010659,-0.000128
31.488712,0.772000,322.759308,86.006798,11.594472,-31.488712,-0.386000,-340.078125,-87.087593,-11.640793,-34.511288,0.000000,-415.861023,-96.631607,-12.072886,34.511288,1.632008,421.037720,92.061981,11.784407,0.071396,0.780960,-0.258079,-0.296946,1.398520,0.944785,0.025781,0.003424
34.679806,1.596188,355.468018,92.634132,29.920765,-34.679806,-0.177895,-374.541931,-96.605347,-30.730042,-31.320196,0.000000,-377.408386,-87.696548,-32.303917,31.320196,1.823677,382.106384,82.590256,31.092022,0.034284,0.803052,-0.230801,0.186962,0.008103,-1.568884,0.008876,0.008605
32.091980,1.366059,328.942810,86.032578,33.607872,-32.091980,-0.109227,-346.593384,-89.551704,-34.567970,-33.908020,0.386000,-408.591644,-96.023262,-36.419201,33.908020,1.505738,413.677856,90.726387,34.980297,0.032702,0.791529,-0.239078,-0.034481,-0.669835,0.504407,-0.005637,-0.005968
32.091980,1.610760,328.942810,85.347412,37.265621,-32.091980,-0.067066,-346.593384,-89.669754,-38.410961,-33.908020,0.237004,-408.591644,-95.606064,-40.516602,33.908020,1.310523,413.677856,91.272987,38.891994,0.042496,0.776692,-0.226690,0.301727,0.602802,0.944109,-0.016487,-0.012709
31.950359,1.375007,327.491180,85.610985,40.934662,-31.950359,-0.041178,-345.063904,-89.345711,-42.240063,-34.049641,0.145520,-410.298187,-95.746445,-44.620022,34.049641,1.190661,415.405640,92.005135,42.835075,0.048791,0.767065,-0.221197,-0.117266,0.522776,0.583546,-0.014543,-0.011431
31.950359,0.844254,327.491180,87.097092,44.667397,-31.950359,-0.025283,-345.063904,-89.390213,-46.071072,-34.049641,0.089350,-410.298187,-95.589165,-48.716698,34.049641,0.731066,415.405640,93.292000,46.833302,0.054199,0.754009,-0.218289,0.225222,-0.525436,-0.275223,-0.002242,-0.004237
33.774895,0.518372,346.192657,93.118263,48.658180,-33.774895,-0.015524,-364.768860,-94.526230,-50.122196,-32.225105,0.054861,-388.312500,-90.383896,-52.590294,32.225105,0.448874,393.146301,88.973450,50.646450,0.056890,0.746496,-0.224332,-0.143885,0.095535,-0.621346,0.007266,-0.006502
33.774895,0.318280,346.192657,93.678520,52.672970,-33.774895,-0.009532,-364.768860,-94.543015,-54.174038,-32.225105,0.033684,-388.312500,-90.324608,-56.461349,32.225105,0.275609,393.146301,89.458588,54.480392,0.061162,0.747030,-0.225893,-0.064389,0.089720,-0.010080,0.012391,-0.010493
32.306198,0.195424,331.138550,89.910172,56.526264,-32.306198,-0.005852,-348.906921,-90.440971,-58.050079,-33.693802,0.020682,-406.010315,-94.400558,-60.507088,33.693802,0.169224,411.064392,93.868820,58.503338,0.066734,0.745803,-0.224102,0.100926,-0.285902,0.306621,0.014779,-0.008484
32.306198,0.119990,331.138550,90.121376,60.388611,-32.306198,-0.003593,-348.906921,-90.447289,-61.926392,-33.693802,0.012699,-406.010315,-94.378204,-64.551872,33.693802,0.103903,411.064392,94.051712,62.534126,0.069907,0.745666,-0.222783,0.039500,0.031736,-0.044827,0.013706,-0.001314
33.407867,0.073674,342.430634,93.335739,64.388718,-33.407867,-0.002206,-360.804993,-93.535851,-65.935066,-32.592133,0.007797,-392.735199,-91.279800,-68.463860,32.592133,0.063797,397.624023,91.079338,66.437523,0.068071,0.745892,-0.225453,-0.021275,-0.049253,-0.374338,0.012537,0.003105
33.407867,0.045236,342.430634,93.415367,68.392227,-33.407867,-0.001355,-360.804993,-93.538239,-69.943848,-32.592133,0.004787,-392.735199,-91.271378,-72.375488,32.592133,0.039171,397.624023,91.148293,70.343880,0.067358,0.745080,-0.226367,0.078007,-0.039391,0.092253,0.012762,-0.000023
32.587360,0.027775,334.020447,91.166840,72.299377,-32.587360,-0.000832,-351.943481,-91.242279,-73.854233,-33.412640,0.002939,-402.622314,-93.563622,-76.385361,33.412640,0.024051,407.634186,93.488045,74.350517,0.068920,0.744587,-0.225044,0.093673,-0.020382,0.144134,0.013642,-0.001704
32.587360,0.017054,334.020447,91.196854,76.207809,-32.587360,-0.000511,-351.943481,-91.243179,-77.764656,-33.412640,0.001805,-402.622314,-93.560440,-80.395088,33.412640,0.014767,407.634186,93.514046,78.358261,0.069034,0.745391,-0.225048,-0.017160,-0.033936,-0.140114,0.014417,0.000288
