I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
-0.035455,0.000000,-0.148910,0.492372,0.000000,0.035455,-0.000000,0.148910,-0.492372,0.000000,-0.035455,0.000000,-0.148910,0.492372,0.000000,0.035455,-0.000000,0.148910,-0.492372,0.000000
0.023470,0.000000,0.098573,0.505280,0.000000,-0.023470,-0.000000,-0.098573,-0.505280,0.000000,0.023470,0.000000,0.098573,0.505280,0.000000,-0.023470,-0.000000,-0.098573,-0.505280,0.000000
0.023470,0.000000,0.098573,0.518189,0.000000,-0.023470,-0.000000,-0.098573,-0.518189,0.000000,0.023470,0.000000,0.098573,0.518189,0.000000,-0.023470,-0.000000,-0.098573,-0.518189,0.000000
0.033051,0.000000,0.138814,0.536367,0.000000,-0.033051,-0.000000,-0.138814,-0.536367,0.000000,0.033051,0.000000,0.138814,0.536367,0.000000,-0.033051,-0.000000,-0.138814,-0.536367,0.000000
0.033051,0.000000,0.138814,0.554545,0.000000,-0.033051,-0.000000,-0.138814,-0.554545,0.000000,0.033051,0.000000,0.138814,0.554545,0.000000,-0.033051,-0.000000,-0.138814,-0.554545,0.000000
-0.014330,0.000000,-0.060187,0.546663,0.000000,0.014330,-0.000000,0.060187,-0.546663,0.000000,-0.014330,0.000000,-0.060187,0.546663,0.000000,0.014330,-0.000000,0.060187,-0.546663,0.000000
-0.014330,0.000000,-0.060187,0.538781,0.000000,0.014330,-0.000000,0.060187,-0.538781,0.000000,-0.014330,0.000000,-0.060187,0.538781,0.000000,0.014330,-0.000000,0.060187,-0.538781,0.000000
0.026945,0.000000,0.113169,0.553601,0.000000,-0.026945,-0.000000,-0.113169,-0.553601,0.000000,0.026945,0.000000,0.113169,0.553601,0.000000,-0.026945,-0.000000,-0.113169,-0.553601,0.000000
0.026945,0.000000,0.113169,0.568421,0.000000,-0.026945,-0.000000,-0.113169,-0.568421,0.000000,0.026945,0.000000,0.113169,0.568421,0.000000,-0.026945,-0.000000,-0.113169,-0.568421,0.000000
0.005126,0.000000,0.021528,0.571240,0.000000,-0.005126,-0.000000,-0.021528,-0.571240,0.000000,0.005126,0.000000,0.021528,0.571240,0.000000,-0.005126,-0.000000,-0.021528,-0.571240,0.000000
0.005126,0.000000,0.021528,0.574059,0.000000,-0.005126,-0.000000,-0.021528,-0.574059,0.000000,0.005126,0.000000,0.021528,0.574059,0.000000,-0.005126,-0.000000,-0.021528,-0.574059,0.000000
0.010105,0.000000,0.042439,0.579617,0.000000,-0.010105,-0.000000,-0.042439,-0.579617,0.000000,0.010105,0.000000,0.042439,0.579617,0.000000,-0.010105,-0.000000,-0.042439,-0.579617,0.000000
0.010105,0.000000,0.042439,0.585174,0.000000,-0.010105,-0.000000,-0.042439,-0.585174,0.000000,0.010105,0.000000,0.042439,0.585174,0.000000,-0.010105,-0.000000,-0.042439,-0.585174,0.000000
-0.011000,0.000000,-0.046202,0.579124,0.000000,0.011000,-0.000000,0.046202,-0.579124,0.000000,-0.011000,0.000000,-0.046202,0.579124,0.000000,0.011000,-0.000000,0.046202,-0.579124,0.000000
-0.011000,0.000000,-0.046202,0.573074,0.000000,0.011000,-0.000000,0.046202,-0.573074,0.000000,-0.011000,0.000000,-0.046202,0.573074,0.000000,0.011000,-0.000000,0.046202,-0.573074,0.000000
-0.022096,0.000000,-0.092803,0.560921,0.000000,0.022096,-0.000000,0.092803,-0.560921,0.000000,-0.022096,0.000000,-0.092803,0.560921,0.000000,0.022096,-0.000000,0.092803,-0.560921,0.000000
-0.022096,0.000000,-0.092803,0.548768,0.000000,0.022096,-0.000000,0.092803,-0.548768,0.000000,-0.022096,0.000000,-0.092803,0.548768,0.000000,0.022096,-0.000000,0.092803,-0.548768,0.000000
0.030754,0.000000,0.129168,0.565683,0.000000,-0.030754,-0.000000,-0.129168,-0.565683,0.000000,0.030754,0.000000,0.129168,0.565683,0.000000,-0.030754,-0.000000,-0.129168,-0.565683,0.000000
0.030754,0.000000,0.129168,0.582598,0.000000,-0.030754,-0.000000,-0.129168,-0.582598,0.000000,0.030754,0.000000,0.129168,0.582598,0.000000,-0.030754,-0.000000,-0.129168,-0.582598,0.000000
-0.008978,0.000000,-0.037706,0.577661,0.000000,0.008978,-0.000000,0.037706,-0.577661,0.000000,-0.008978,0.000000,-0.037706,0.577661,0.000000,0.008978,-0.000000,0.037706,-0.577661,0.000000
-0.008978,0.000000,-0.037706,0.572723,0.000000,0.008978,-0.000000,0.037706,-0.572723,0.000000,-0.008978,0.000000,-0.037706,0.572723,0.000000,0.008978,-0.000000,0.037706,-0.572723,0.000000
0.013672,0.000000,0.057421,0.580242,0.000000,-0.013672,-0.000000,-0.057421,-0.580242,0.000000,0.013672,0.000000,0.057421,0.580242,0.000000,-0.013672,-0.000000,-0.057421,-0.580242,0.000000
0.013672,0.000000,0.057421,0.587762,0.000000,-0.013672,-0.000000,-0.057421,-0.587762,0.000000,0.013672,0.000000,0.057421,0.587762,0.000000,-0.013672,-0.000000,-0.057421,-0.587762,0.000000
0.064485,0.000000,0.270837,0.623229,0.000000,-0.064485,-0.000000,-0.270837,-0.623229,0.000000,0.064485,0.000000,0.270837,0.623229,0.000000,-0.064485,-0.000000,-0.270837,-0.623229,0.000000
0.064485,0.000000,0.270837,0.658695,0.000000,-0.064485,-0.000000,-0.270837,-0.658695,0.000000,0.064485,0.000000,0.270837,0.658695,0.000000,-0.064485,-0.000000,-0.270837,-0.658695,0.000000
0.039846,0.000000,0.167351,0.680610,0.000000,-0.039846,-0.000000,-0.167351,-0.680610,0.000000,0.039846,0.000000,0.167351,0.680610,0.000000,-0.039846,-0.000000,-0.167351,-0.680610,0.000000
0.039846,0.000000,0.167351,0.702525,0.000000,-0.039846,-0.000000,-0.167351,-0.702525,0.000000,0.039846,0.000000,0.167351,0.702525,0.000000,-0.039846,-0.000000,-0.167351,-0.702525,0.000000
0.014449,0.000000,0.060688,0.710473,0.000000,-0.014449,-0.000000,-0.060688,-0.710473,0.000000,0.014449,0.000000,0.060688,0.710473,0.000000,-0.014449,-0.000000,-0.060688,-0.710473,0.000000
0.014449,0.000000,0.060688,0.718420,0.000000,-0.014449,-0.000000,-0.060688,-0.718420,0.000000,0.014449,0.000000,0.060688,0.718420,0.000000,-0.014449,-0.000000,-0.060688,-0.718420,0.000000
0.037957,0.000000,0.159417,0.739296,0.000000,-0.037957,-0.000000,-0.159417,-0.739296,0.000000,0.037957,0.000000,0.159417,0.739296,0.000000,-0.037957,-0.000000,-0.159417,-0.739296,0.000000
0.037957,0.000000,0.159417,0.760172,0.000000,-0.037957,-0.000000,-0.159417,-0.760172,0.000000,0.037957,0.000000,0.159417,0.760172,0.000000,-0.037957,-0.000000,-0.159417,-0.760172,0.000000
0.008579,0.000000,0.036031,0.764890,0.000000,-0.008579,-0.000000,-0.036031,-0.764890,0.000000,0.008579,0.000000,0.036031,0.764890,0.000000,-0.008579,-0.000000,-0.036031,-0.764890,0.000000
0.008579,0.000000,0.036031,0.769609,0.000000,-0.008579,-0.000000,-0.036031,-0.769609,0.000000,0.008579,0.000000,0.036031,0.769609,0.000000,-0.008579,-0.000000,-0.036031,-0.769609,0.000000
-0.015472,0.000000,-0.064982,0.761099,0.000000,0.015472,-0.000000,0.064982,-0.761099,0.000000,-0.015472,0.000000,-0.064982,0.761099,0.000000,0.015472,-0.000000,0.064982,-0.761099,0.000000
-0.015472,0.000000,-0.064982,0.752590,0.000000,0.015472,-0.000000,0.064982,-0.752590,0.000000,-0.015472,0.000000,-0.064982,0.752590,0.000000,0.015472,-0.000000,0.064982,-0.752590,0.000000
-0.020106,0.000000,-0.084444,0.741531,0.000000,0.020106,-0.000000,0.084444,-0.741531,0.000000,-0.020106,0.000000,-0.084444,0.741531,0.000000,0.020106,-0.000000,0.084444,-0.741531,0.000000
-0.020106,0.000000,-0.084444,0.730473,0.000000,0.020106,-0.000000,0.084444,-0.730473,0.000000,-0.020106,0.000000,-0.084444,0.730473,0.000000,0.020106,-0.000000,0.084444,-0.730473,0.000000
0.082602,0.000000,0.346928,0.739850,0.000000,-0.082602,-0.000000,-0.346928,-0.739850,0.000000,0.082602,0.000000,0.346928,0.739850,0.000000,-0.082602,-0.000000,-0.346928,-0.739850,0.000000
0.082602,0.000000,0.346928,0.785281,0.000000,-0.082602,-0.000000,-0.346928,-0.785281,0.000000,0.082602,0.000000,0.346928,0.785281,0.000000,-0.082602,-0.000000,-0.346928,-0.785281,0.000000
-0.011306,0.000000,-0.047485,0.779063,0.000000,0.011306,-0.000000,0.047485,-0.779063,0.000000,-0.011306,0.000000,-0.047485,0.779063,0.000000,0.011306,-0.000000,0.047485,-0.779063,0.000000
-0.011306,0.000000,-0.047485,0.772845,0.000000,0.011306,-0.000000,0.047485,-0.772845,0.000000,-0.011306,0.000000,-0.047485,0.772845,0.000000,0.011306,-0.000000,0.047485,-0.772845,0.000000
0.053362,0.000000,0.224120,0.802194,0.000000,-0.053362,-0.000000,-0.224120,-0.802194,0.000000,0.053362,0.000000,0.224120,0.802194,0.000000,-0.053362,-0.000000,-0.224120,-0.802194,0.000000
0.053362,0.000000,0.224120,0.831543,0.000000,-0.053362,-0.000000,-0.224120,-0.831543,0.000000,0.053362,0.000000,0.224120,0.831543,0.000000,-0.053362,-0.000000,-0.224120,-0.831543,0.000000
