I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27
-0.057300,0.000000,-220.332336,-0.171900,-0.010314,0.057300,0.000000,220.332336,0.171900,0.010314,-0.057300,0.000000,-220.332336,-0.171900,-0.010314,0.057300,-0.000000,220.332336,0.171900,0.010314,0.481342,0.280326,15.103851,0.053598,-0.002380,0.035841,0.005552,-0.006921
-0.057300,0.000000,-220.332336,-0.171900,-0.020628,0.057300,0.000000,220.332336,0.171900,0.020628,-0.057300,0.000000,-220.332336,-0.171900,-0.020628,0.057300,-0.000000,220.332336,0.171900,0.020628,0.480870,0.280456,15.103851,0.016974,-0.015233,-0.001821,0.005249,-0.007234
0.058999,0.000000,220.342194,0.176998,-0.010008,-0.058999,0.000000,-220.342194,-0.176998,0.010008,0.058999,0.000000,220.342194,0.176998,-0.010008,-0.058999,-0.000000,-220.342194,-0.176998,0.010008,0.480617,0.280257,15.103846,0.044696,-0.013286,-0.037530,0.005003,-0.007494
0.058999,0.000000,220.342194,0.176998,0.000612,-0.058999,0.000000,-220.342194,-0.176998,-0.000612,0.058999,0.000000,220.342194,0.176998,0.000612,-0.058999,-0.000000,-220.342194,-0.176998,-0.000612,0.480673,0.280102,15.103846,0.028526,-0.022539,-0.007941,0.005221,-0.007767
-0.191151,0.000000,-221.108673,-0.573452,-0.033795,0.191151,0.000000,221.108673,0.573452,0.033795,-0.191151,0.386000,-221.108673,-1.731452,-0.103275,0.191151,-0.000000,221.108673,0.573452,0.033795,0.481182,0.280025,15.103849,0.110577,-0.030768,0.119599,0.005272,-0.008323
-0.191151,0.000000,-221.108673,-0.573452,-0.068203,0.191151,0.000000,221.108673,0.573452,0.068203,-0.191151,0.237004,-221.108673,-1.284464,-0.180343,0.191151,-0.000000,221.108673,0.573452,0.068203,0.481529,0.279910,15.103849,0.053069,0.006549,-0.036299,0.004924,-0.007457
0.128086,0.000000,220.742905,0.384259,-0.045147,-0.128086,0.000000,-220.742905,-0.384259,0.045147,0.128086,0.145520,220.742905,-0.052303,-0.183481,-0.128086,-0.000000,-220.742905,-0.384259,0.045147,0.480437,0.279973,15.103844,0.047717,0.069185,-0.082172,0.004486,-0.006701
0.128086,0.000000,220.742905,0.384259,-0.022092,-0.128086,0.000000,-220.742905,-0.384259,0.022092,0.128086,0.089350,220.742905,0.116210,-0.176509,-0.128086,-0.000000,-220.742905,-0.384259,0.022092,0.479750,0.280185,15.103846,-0.029368,0.009311,0.011626,0.005012,-0.007500
-0.349760,0.000000,-222.028610,-1.049279,-0.085048,0.349760,0.000000,222.028610,1.049279,0.085048,-0.349760,0.054861,-222.028610,-1.213861,-0.249341,0.349760,-0.000000,222.028610,1.049279,0.085048,0.480308,0.279812,15.105331,0.082565,-0.060262,0.213861,0.005465,-0.008965
-0.349760,0.000000,-222.028610,-1.049279,-0.148005,0.349760,0.000000,222.028610,1.049279,0.148005,-0.349760,0.033684,-222.028610,-1.150333,-0.318360,0.349760,-0.000000,222.028610,1.049279,0.148005,0.480549,0.279972,15.105336,0.055661,0.026134,-0.050608,0.006045,-0.007256
