I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27
-0.021846,0.000000,-220.126709,-0.065537,-0.003932,0.021846,0.000000,220.126709,0.065537,0.003932,-0.021846,0.000000,-220.126709,-0.065537,-0.003932,0.021846,0.000000,220.126709,0.065537,0.003932,-0.111339,0.793959,-0.328171,0.130423,-0.056441,0.013664,0.014513,0.003132
-0.021846,0.000000,-220.126709,-0.065537,-0.007864,0.021846,0.000000,220.126709,0.065537,0.007864,-0.021846,0.000000,-220.126709,-0.065537,-0.007864,0.021846,0.000000,220.126709,0.065537,0.007864,-0.110945,0.793991,-0.328179,0.126098,-0.002552,0.005412,0.014528,0.003231
0.216038,0.000000,221.253021,0.648114,0.031022,-0.216038,0.000000,-221.253021,-0.648114,-0.031022,0.216038,0.000000,221.253021,0.648114,0.031022,-0.216038,0.000000,-221.253021,-0.648114,-0.031022,-0.111443,0.794712,-0.328193,0.025642,-0.015188,-0.135370,0.015157,0.003919
0.216038,0.000000,221.253021,0.648114,0.069909,-0.216038,0.000000,-221.253021,-0.648114,-0.069909,0.216038,0.000000,221.253021,0.648114,0.069909,-0.216038,0.000000,-221.253021,-0.648114,-0.069909,-0.112426,0.794772,-0.328209,-0.012635,-0.169032,-0.013577,0.015911,0.003927
-0.459667,0.000000,-222.666077,-1.379002,-0.012831,0.459667,0.000000,222.666077,1.379002,0.012831,-0.459667,0.000000,-222.666077,-1.379002,-0.012831,0.459667,0.000000,222.666077,1.379002,0.012831,-0.111815,0.794594,-0.325868,0.098947,0.005842,0.282970,0.014580,0.002701
-0.459667,0.000000,-222.666077,-1.379002,-0.095571,0.459667,0.000000,222.666077,1.379002,0.095571,-0.459667,0.000000,-222.666077,-1.379002,-0.095571,0.459667,0.000000,222.666077,1.379002,0.095571,-0.112508,0.795380,-0.325644,0.086646,0.122360,-0.209692,0.013220,0.005508
0.693007,0.000000,224.019440,2.079022,0.029170,-0.693007,0.000000,-224.019440,-2.079022,-0.029170,0.693007,0.000000,224.019440,2.079022,0.029170,-0.693007,0.000000,-224.019440,-2.079022,-0.029170,-0.115286,0.795275,-0.330398,0.070574,-0.129766,-0.443087,0.014796,0.007513
0.693007,0.000000,224.019440,2.079022,0.153912,-0.693007,0.000000,-224.019440,-2.079022,-0.153912,0.693007,0.000000,224.019440,2.079022,0.153912,-0.693007,0.000000,-224.019440,-2.079022,-0.153912,-0.116229,0.794281,-0.331095,0.108465,-0.229996,0.253286,0.015666,0.002297
-0.751154,0.000000,-224.356689,-2.253462,0.018704,0.751154,0.000000,224.356689,2.253462,-0.018704,-0.751154,0.000000,-224.356689,-2.253462,0.018704,0.751154,0.000000,224.356689,2.253462,-0.018704,-0.113142,0.794290,-0.325677,0.089260,0.074786,0.469146,0.013853,-0.000665
-0.751154,0.000000,-224.356689,-2.253462,-0.116504,0.751154,0.000000,224.356689,2.253462,0.116504,-0.751154,0.000000,-224.356689,-2.253462,-0.116504,0.751154,0.000000,224.356689,2.253462,0.116504,-0.112383,0.794705,-0.325873,0.058464,0.145883,-0.360130,0.012606,0.004640
0.976865,0.000000,225.665817,2.930596,0.059332,-0.976865,0.000000,-225.665817,-2.930596,-0.059332,0.976865,0.000000,225.665817,2.930596,0.059332,-0.976865,0.000000,-225.665817,-2.930596,-0.059332,-0.115857,0.793830,-0.332834,0.045913,-0.189135,-0.620019,0.013998,0.007880
0.976865,0.000000,225.665817,2.930596,0.235168,-0.976865,0.000000,-225.665817,-2.930596,-0.235168,0.976865,0.000000,225.665817,2.930596,0.235168,-0.976865,0.000000,-225.665817,-2.930596,-0.235168,-0.116255,0.792075,-0.333696,0.153407,-0.224746,0.390763,0.015311,0.000909
-0.955260,0.000000,-225.540512,-2.865780,0.063221,0.955260,0.000000,225.540512,2.865780,-0.063221,-0.955260,0.000000,-225.540512,-2.865780,0.063221,0.955260,0.000000,225.540512,2.865780,-0.063221,-0.111575,0.791701,-0.326589,0.103616,0.089178,0.602059,0.013798,-0.003207
-0.955260,0.000000,-225.540512,-2.865780,-0.108726,0.955260,0.000000,225.540512,2.865780,0.108726,-0.955260,0.000000,-225.540512,-2.865780,-0.108726,0.955260,0.000000,225.540512,2.865780,0.108726,-0.109767,0.792382,-0.326782,0.056079,0.093878,-0.458615,0.012708,0.003746
1.004592,0.000000,225.826630,3.013776,0.072101,-1.004592,0.000000,-225.826630,-3.013776,-0.072101,1.004592,0.000000,225.826630,3.013776,0.072101,-1.004592,0.000000,-225.826630,-3.013776,-0.072101,-0.114145,0.791570,-0.334397,-0.015376,-0.184580,-0.634389,0.014469,0.009201
1.004592,0.000000,225.826630,3.013776,0.252927,-1.004592,0.000000,-225.826630,-3.013776,-0.252927,1.004592,0.000000,225.826630,3.013776,0.252927,-1.004592,0.000000,-225.826630,-3.013776,-0.252927,-0.115539,0.790414,-0.334059,0.149873,-0.192600,0.560742,0.015964,0.002180
-0.928473,0.000000,-225.385147,-2.785420,0.085802,0.928473,0.000000,225.385147,2.785420,-0.085802,-0.928473,0.000000,-225.385147,-2.785420,0.085802,0.928473,0.000000,225.385147,2.785420,-0.085802,-0.111785,0.791248,-0.326156,0.046729,0.146044,0.583794,0.014806,-0.002597
-0.928473,0.000000,-225.385147,-2.785420,-0.081323,0.928473,0.000000,225.385147,2.785420,0.081323,-0.928473,0.000000,-225.385147,-2.785420,-0.081323,0.928473,0.000000,225.385147,2.785420,0.081323,-0.110414,0.792611,-0.326958,0.049356,0.099716,-0.523841,0.013612,0.004052
1.025168,0.000000,225.945969,3.075503,0.103207,-1.025168,0.000000,-225.945969,-3.075503,-0.103207,1.025168,0.000000,225.945969,3.075503,0.103207,-1.025168,0.000000,-225.945969,-3.075503,-0.103207,-0.114269,0.791733,-0.335185,0.044853,-0.208810,-0.648486,0.014896,0.008915
1.025168,0.000000,225.945969,3.075503,0.287737,-1.025168,0.000000,-225.945969,-3.075503,-0.287737,1.025168,0.000000,225.945969,3.075503,0.287737,-1.025168,0.000000,-225.945969,-3.075503,-0.287737,-0.115469,0.790373,-0.334700,0.158881,-0.235273,0.550420,0.015618,0.001757
-1.083976,0.000000,-226.287064,-3.251927,0.092622,1.083976,0.000000,226.287064,3.251927,-0.092622,-1.083976,0.000000,-226.287064,-3.251927,0.092622,1.083976,0.000000,226.287064,3.251927,-0.092622,-0.111301,0.790333,-0.326603,0.117697,0.093682,0.683674,0.013764,-0.003226
-1.083976,0.000000,-226.287064,-3.251927,-0.102494,1.083976,0.000000,226.287064,3.251927,0.102494,-1.083976,0.000000,-226.287064,-3.251927,-0.102494,1.083976,0.000000,226.287064,3.251927,0.102494,-0.109200,0.790624,-0.326465,0.035948,0.093492,-0.502752,0.012414,0.002589
1.212036,0.000000,227.029816,3.636109,0.115672,-1.212036,0.000000,-227.029816,-3.636109,-0.115672,1.212036,0.000000,227.029816,3.636109,0.115672,-1.212036,0.000000,-227.029816,-3.636109,-0.115672,-0.112387,0.789891,-0.335358,0.037576,-0.127206,-0.764474,0.014065,0.008309
1.212036,0.000000,227.029816,3.636109,0.333839,-1.212036,0.000000,-227.029816,-3.636109,-0.333839,1.212036,0.000000,227.029816,3.636109,0.333839,-1.212036,0.000000,-227.029816,-3.636109,-0.333839,-0.113689,0.788684,-0.335486,0.162697,-0.243235,0.607546,0.015957,0.002970
-1.021518,0.000000,-225.924805,-3.064555,0.149966,1.021518,0.000000,225.924805,3.064555,-0.149966,-1.021518,0.000000,-225.924805,-3.064555,0.149966,1.021518,0.000000,225.924805,3.064555,-0.149966,-0.110391,0.789173,-0.326866,0.092021,0.109531,0.646321,0.014750,-0.000999
-1.021518,0.000000,-225.924805,-3.064555,-0.033908,1.021518,0.000000,225.924805,3.064555,0.033908,-1.021518,0.000000,-225.924805,-3.064555,-0.033908,1.021518,0.000000,225.924805,3.064555,0.033908,-0.109713,0.790475,-0.327389,0.021773,0.124131,-0.544922,0.013229,0.004842
1.137001,0.000000,226.594604,3.411004,0.170753,-1.137001,0.000000,-226.594604,-3.411004,-0.170753,1.137001,0.000000,226.594604,3.411004,0.170753,-1.137001,0.000000,-226.594604,-3.411004,-0.170753,-0.114164,0.790117,-0.336341,0.003030,-0.154931,-0.715166,0.014605,0.009123
1.137001,0.000000,226.594604,3.411004,0.375413,-1.137001,0.000000,-226.594604,-3.411004,-0.375413,1.137001,0.000000,226.594604,3.411004,0.375413,-1.137001,0.000000,-226.594604,-3.411004,-0.375413,-0.115333,0.788895,-0.335653,0.207505,-0.237777,0.670748,0.015558,0.002384
-0.996215,0.000000,-225.778046,-2.988645,0.196094,0.996215,0.000000,225.778046,2.988645,-0.196094,-0.996215,0.000000,-225.778046,-2.988645,0.196094,0.996215,0.000000,225.778046,2.988645,-0.196094,-0.111462,0.788973,-0.326835,0.070231,0.096082,0.631306,0.014093,-0.001337
-0.996215,0.000000,-225.778046,-2.988645,0.016775,0.996215,0.000000,225.778046,2.988645,-0.016775,-0.996215,0.000000,-225.778046,-2.988645,0.016775,0.996215,0.000000,225.778046,2.988645,-0.016775,-0.110349,0.790016,-0.328135,0.083786,0.134220,-0.580680,0.013156,0.004431
1.175938,0.000000,226.820450,3.527815,0.228444,-1.175938,0.000000,-226.820450,-3.527815,-0.228444,1.175938,0.000000,226.820450,3.527815,0.228444,-1.175938,0.000000,-226.820450,-3.527815,-0.228444,-0.113851,0.789292,-0.336903,0.018011,-0.175803,-0.738452,0.014420,0.008116
1.175938,0.000000,226.820450,3.527815,0.440113,-1.175938,0.000000,-226.820450,-3.527815,-0.440113,1.175938,0.000000,226.820450,3.527815,0.440113,-1.175938,0.000000,-226.820450,-3.527815,-0.440113,-0.114605,0.788598,-0.336386,0.212776,-0.188139,0.646517,0.016260,0.002244
