I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
-4.012332,0.008729,-16.888456,-135.342133,0.000000,-5.587668,-0.233036,-22.489456,-332.528473,0.000000,-8.812332,-0.232110,-36.036930,-554.273071,0.000000,-0.787668,-0.120638,-2.801528,-175.922653,0.000000
-3.197721,0.005360,-13.452941,-137.103821,0.000000,-6.402279,-0.143084,-26.288618,-335.971039,0.000000,-7.997722,-0.142516,-32.991863,-558.593445,0.000000,-1.602279,-0.074072,-6.418470,-176.763168,0.000000
-3.197721,0.003291,-13.444251,-138.864380,0.000000,-6.402279,0.298147,-28.141787,-339.656281,0.000000,-7.997722,-0.087505,-33.222912,-562.944092,0.000000,-1.602279,-0.045480,-6.538555,-177.619400,0.000000
-4.256653,0.002021,-17.886429,-141.206665,0.000000,-5.343348,0.183062,-23.210918,-342.695831,0.000000,-9.056653,-0.053728,-37.812283,-567.895691,0.000000,-0.543348,-0.027925,-2.164776,-177.902878,0.000000
-4.256653,0.001241,-17.883152,-143.548508,0.000000,-5.343348,0.112400,-22.914139,-345.696503,0.000000,-9.056653,-0.032989,-37.899387,-572.858704,0.000000,-0.543348,-0.017146,-2.210048,-178.192307,0.000000
-3.592088,0.000762,-15.089971,-145.524582,0.000000,-6.007912,0.069014,-25.523085,-349.038788,0.000000,-8.392089,-0.020255,-35.161701,-577.463196,0.000000,-1.207912,-0.010527,-5.029014,-178.850861,0.000000
-3.592088,0.000468,-15.088736,-147.500488,0.000000,-6.007912,0.042374,-25.411200,-352.366455,0.000000,-8.392089,-0.012437,-35.194538,-582.072021,0.000000,-1.207912,-0.006464,-5.046081,-179.511658,0.000000
-4.066570,0.000287,-17.080797,-149.737274,0.000000,-5.533431,0.026018,-23.349682,-355.424133,0.000000,-8.866570,-0.007636,-37.207520,-586.944397,0.000000,-0.733430,-0.003969,-3.063738,-179.912857,0.000000
-4.066570,0.000176,-17.080334,-151.973984,0.000000,-5.533431,0.015975,-23.307503,-358.476318,0.000000,-8.866570,-0.004689,-37.219898,-591.818481,0.000000,-0.733430,-0.002437,-3.070173,-180.314911,0.000000
-3.796356,0.000108,-15.945151,-154.062042,0.000000,-5.803644,0.009809,-24.416500,-361.673706,0.000000,-8.596356,-0.002879,-36.092602,-596.544922,0.000000,-1.003644,-0.001496,-4.209020,-180.866074,0.000000
-3.796356,0.000066,-15.944976,-156.150070,0.000000,-5.803644,-0.379978,-22.779398,-364.656708,0.000000,-8.596356,-0.001768,-36.097275,-601.271912,0.000000,-1.003644,-0.000919,-4.211445,-181.417572,0.000000
-4.540063,0.000041,-19.068436,-158.647125,0.000000,-5.059937,-0.233306,-20.271849,-367.311371,0.000000,-9.340063,-0.001085,-39.223705,-606.408386,0.000000,-0.259937,-0.000564,-1.089368,-181.560226,0.000000
-4.540063,0.000025,-19.068369,-161.144180,0.000000,-5.059937,-0.143250,-20.650087,-370.015564,0.000000,-9.340063,-0.386666,-37.604263,-611.332764,0.000000,-0.259937,-0.000346,-1.090282,-181.703003,0.000000
-4.070433,0.000015,-17.095882,-163.382919,0.000000,-5.529567,-0.473956,-21.233568,-372.796143,0.000000,-8.870434,-0.237413,-36.258682,-616.080933,0.000000,-0.729567,-0.000213,-3.063288,-182.104141,0.000000
-4.070433,0.000009,-17.095858,-165.621658,0.000000,-5.529567,-0.291009,-22.001945,-375.677368,0.000000,-8.870434,-0.145772,-36.643578,-620.879456,0.000000,-0.729567,-0.386131,-1.442433,-182.293030,0.000000
-3.941273,0.000006,-16.553370,-167.789368,0.000000,-5.658728,-0.178679,-23.016201,-378.691376,0.000000,-8.741273,-0.475504,-34.716228,-625.425598,0.000000,-0.858727,-0.237084,-2.610901,-182.634933,0.000000
-3.941273,0.000004,-16.553360,-169.957077,0.000000,-5.658728,-0.109709,-23.305876,-381.743347,0.000000,-8.741273,-0.291959,-35.487114,-630.072754,0.000000,-0.858727,-0.145570,-2.995261,-183.027176,0.000000
-4.049922,0.000002,-17.009680,-172.184525,0.000000,-5.550079,-0.067361,-23.027412,-384.758850,0.000000,-8.849922,-0.179263,-36.416767,-634.841614,0.000000,-0.750079,-0.089380,-2.774935,-183.390564,0.000000
-4.049922,0.000001,-17.009676,-174.411987,0.000000,-5.550079,-0.041360,-23.136618,-387.788635,0.000000,-8.849922,-0.110067,-36.707390,-639.648560,0.000000,-0.750079,-0.054879,-2.919837,-183.772919,0.000000
-3.852302,0.000001,-16.179670,-176.530746,0.000000,-5.747699,-0.025395,-24.033674,-390.935913,0.000000,-8.652302,-0.067581,-36.055824,-644.370117,0.000000,-0.947698,-0.033696,-3.838810,-184.275620,0.000000
-3.852302,0.000001,-16.179668,-178.649521,0.000000,-5.747699,-0.015593,-24.074844,-394.088562,0.000000,-8.652302,-0.041495,-36.165386,-649.106079,0.000000,-0.947698,-0.020689,-3.893438,-184.785461,0.000000
-4.018542,0.000000,-16.877876,-180.859726,0.000000,-5.581459,-0.009574,-23.401915,-397.153107,0.000000,-8.818542,-0.025478,-36.930866,-653.942322,0.000000,-0.781458,-0.012703,-3.228772,-185.208298,0.000000
