I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
688697.000000,0.170898,-0.040527,-1.087891,-3.940343,2.313445,19.170446,0.032110,-0.001172,-1.001511,-1.973627,1.062798,17.855433,-0.160417,-0.102040,0.943190,12.036327,4.504427,20.097801,-0.144867,0.032110,-0.001172,-1.001511,-1.973627,1.062798,17.855433,0.247533,0.000000,0.000000,3.000000,5.000000,1.046374
688698.000000,0.120117,-0.039063,-0.884766,-4.428148,2.923201,19.292398,0.033024,-0.000733,-1.001631,-1.990364,1.072858,17.966652,-0.162591,-0.100834,0.961237,12.036327,4.504427,20.097801,-0.144867,0.033024,-0.000733,-1.001631,-1.990364,1.072858,17.966652,0.245047,0.000000,0.000000,3.000000,5.000000,1.046374
688699.000000,0.136230,0.025879,-0.937500,-4.428148,2.313445,19.475325,0.033934,-0.000326,-1.001743,-2.086577,1.119273,18.095484,-0.164863,-0.099580,0.979412,12.036327,4.504427,20.097801,-0.144867,0.033934,-0.000326,-1.001743,-2.086577,1.119273,18.095484,0.242452,0.000000,0.000000,3.000000,5.000000,1.046374
688700.000000,0.196289,-0.040527,-1.040039,-4.001319,2.740274,20.511909,0.034837,0.000046,-1.001845,-2.244754,1.196691,18.242598,-0.167294,-0.098247,0.997735,12.036327,4.504427,20.097801,-0.144867,0.034837,0.000046,-1.001845,-2.244754,1.196691,18.242598,0.239681,0.000000,0.000000,3.000000,5.000000,1.046374
688702.000000,0.111328,-0.082520,-0.913574,-4.062295,3.228079,22.463129,0.036629,0.000682,-1.002023,-2.637674,1.427615,18.634731,-0.172743,-0.095250,1.034945,13.952305,5.467719,22.376049,-0.088948,0.036629,0.000682,-1.002023,-2.637674,1.427615,18.634731,0.233462,0.000000,0.000000,3.000000,5.000000,1.046374
688704.000000,0.088379,-0.041016,-1.130371,-6.257417,4.264665,23.560690,0.038407,0.001165,-1.002162,-3.055905,1.823193,19.251106,-0.179016,-0.091539,1.073265,13.952305,5.467719,22.376049,-0.088948,0.038407,0.001165,-1.002162,-3.055905,1.823193,19.251106,0.226175,0.000000,0.000000,3.000000,5.000000,1.046374
688705.000000,0.174805,-0.111816,-1.134277,-6.440343,4.264665,24.536301,0.039294,0.001348,-1.002215,-3.308820,2.061924,19.647612,-0.182514,-0.089335,1.092989,13.952305,5.467719,22.376049,-0.088948,0.039294,0.001348,-1.002215,-3.308820,2.061924,19.647612,0.222044,0.000000,0.000000,3.000000,5.000000,1.046374
688706.000000,0.140137,-0.103027,-0.999512,-6.867173,3.106128,25.389959,0.040183,0.001489,-1.002258,-3.602080,2.316326,20.102207,-0.186306,-0.086875,1.113168,13.952305,5.467719,22.376049,-0.088948,0.040183,0.001489,-1.002258,-3.602080,2.316326,20.102207,0.217531,0.000000,0.000000,3.000000,5.000000,1.046374
688707.000000,0.062012,-0.069336,-1.089844,-7.233027,2.862226,25.755814,0.041073,0.001589,-1.002291,-3.930995,2.567081,20.617447,-0.190427,-0.084163,1.133860,13.952305,5.467719,22.376049,-0.088948,0.041073,0.001589,-1.002291,-3.930995,2.567081,20.617447,0.212608,0.000000,0.000000,3.000000,5.000000,1.046374
688708.000000,0.011719,-0.022949,-1.097656,-5.830587,2.435396,26.182642,0.041967,0.001647,-1.002316,-4.289233,2.784322,21.187233,-0.194906,-0.081233,1.155121,13.952305,5.467719,22.376049,-0.088948,0.041967,0.001647,-1.002316,-4.289233,2.784322,21.187233,0.207266,0.000000,0.000000,3.000000,5.000000,1.046374
