I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
808437.000000,0.008301,-0.001465,-1.044922,0.205998,0.057348,-0.036871,0.006219,0.003759,-1.004920,0.199517,0.010668,-0.130007,-0.080975,0.312609,-0.458359,0.000000,-0.000000,0.000000,-0.000000,0.006219,0.003759,-1.004920,0.199517,0.010668,-0.130007,0.414189,0.000000,0.000000,2.000000,12.000000,0.847208
808438.000000,0.006836,0.000488,-1.043457,0.205998,0.057348,-0.097847,0.006231,0.003767,-1.004921,0.199921,0.007220,-0.124098,-0.080979,0.312598,-0.458359,0.000000,-0.000000,0.000000,-0.000000,0.006231,0.003767,-1.004921,0.199921,0.007220,-0.124098,0.414179,0.000000,0.000000,2.000000,12.000000,0.847208
808439.000000,0.009766,-0.001953,-1.042969,0.327949,-0.003628,-0.097847,0.006243,0.003775,-1.004922,0.200939,0.006288,-0.116153,-0.080981,0.312587,-0.458359,0.000000,-0.000000,0.000000,-0.000000,0.006243,0.003775,-1.004922,0.200939,0.006288,-0.116153,0.414169,0.000000,0.000000,2.000000,12.000000,0.847208
808440.000000,0.009277,-0.000488,-1.047363,0.205998,-0.003628,-0.097847,0.006256,0.003782,-1.004923,0.202929,0.007056,-0.107532,-0.080982,0.312576,-0.458359,0.000000,-0.000000,0.000000,-0.000000,0.006256,0.003782,-1.004923,0.202929,0.007056,-0.107532,0.414161,0.000000,0.000000,2.000000,12.000000,0.847208
808443.000000,0.007324,0.000000,-1.042480,0.266974,0.118323,-0.097847,0.006297,0.003804,-1.004922,0.211503,0.011691,-0.092566,-0.080968,0.312554,-0.458359,0.000000,-0.000000,0.000000,-0.000000,0.006297,0.003804,-1.004922,0.211503,0.011691,-0.092566,0.414155,0.000000,0.000000,2.000000,12.000000,0.847208
808444.000000,0.007324,-0.002441,-1.046875,0.205998,-0.003628,-0.158823,0.006312,0.003810,-1.004921,0.215589,0.015791,-0.091953,-0.080957,0.312552,-0.458359,0.000000,-0.000000,0.000000,-0.000000,0.006312,0.003810,-1.004921,0.215589,0.015791,-0.091953,0.414163,0.000000,0.000000,2.000000,12.000000,0.847208
808445.000000,0.009766,-0.002441,-1.047363,0.145022,-0.003628,-0.097847,0.006327,0.003817,-1.004920,0.220237,0.020341,-0.092821,-0.080940,0.312556,-0.458360,0.000000,-0.000000,0.000000,-0.000000,0.006327,0.003817,-1.004920,0.220237,0.020341,-0.092821,0.414177,0.000000,0.000000,2.000000,12.000000,0.847208
808446.000000,0.007324,-0.000488,-1.047363,0.205998,-0.064604,-0.158823,0.006342,0.003823,-1.004918,0.223452,0.023487,-0.095271,-0.080921,0.312563,-0.458360,0.000000,-0.000000,0.000000,-0.000000,0.006342,0.003823,-1.004918,0.223452,0.023487,-0.095271,0.414195,0.000000,0.000000,2.000000,12.000000,0.847208
808448.000000,0.007324,-0.000488,-1.042480,0.145022,-0.003628,-0.158823,0.006374,0.003834,-1.004912,0.222518,0.023425,-0.103049,-0.080883,0.312577,-0.458360,0.000000,-0.000000,0.000000,-0.000000,0.006374,0.003834,-1.004912,0.222518,0.023425,-0.103049,0.414233,0.000000,0.000000,2.000000,12.000000,0.847208
808449.000000,0.006836,-0.001465,-1.048340,0.205998,-0.003628,-0.097847,0.006390,0.003840,-1.004908,0.219122,0.021691,-0.106843,-0.080868,0.312583,-0.458360,0.000000,-0.000000,0.000000,-0.000000,0.006390,0.003840,-1.004908,0.219122,0.021691,-0.106843,0.414247,0.000000,0.000000,2.000000,12.000000,0.847208
808450.000000,0.006836,-0.001953,-1.045410,0.145022,-0.003628,-0.097847,0.006407,0.003845,-1.004904,0.214158,0.019421,-0.109638,-0.080858,0.312586,-0.458360,0.000000,-0.000000,0.000000,-0.000000,0.006407,0.003845,-1.004904,0.214158,0.019421,-0.109638,0.414256,0.000000,0.000000,2.000000,12.000000,0.847208
808452.000000,0.007324,-0.001465,-1.042969,0.145022,0.057348,-0.097847,0.006439,0.003853,-1.004896,0.203065,0.013829,-0.113420,-0.080856,0.312585,-0.458360,0.000000,-0.000000,0.000000,-0.000000,0.006439,0.003853,-1.004896,0.203065,0.013829,-0.113420,0.414257,0.000000,0.000000,2.000000,12.000000,0.847208
808454.000000,0.009766,-0.000488,-1.046387,0.205998,0.118323,-0.097847,0.006472,0.003861,-1.004886,0.195402,0.013105,-0.119058,-0.080871,0.312579,-0.458361,0.000000,-0.000000,0.000000,-0.000000,0.006472,0.003861,-1.004886,0.195402,0.013105,-0.119058,0.414243,0.000000,0.000000,2.000000,12.000000,0.847208
808455.000000,0.005371,-0.002441,-1.041992,0.145022,-0.003628,-0.097847,0.006488,0.003864,-1.004881,0.193212,0.015702,-0.120251,-0.080882,0.312580,-0.458361,0.000000,-0.000000,0.000000,-0.000000,0.006488,0.003864,-1.004881,0.193212,0.015702,-0.120251,0.414235,0.000000,0.000000,2.000000,12.000000,0.847208
808456.000000,0.009277,-0.002441,-1.046875,0.205998,0.057348,-0.036871,0.006504,0.003867,-1.004876,0.191867,0.019639,-0.119814,-0.080895,0.312584,-0.458361,0.000000,-0.000000,0.000000,-0.000000,0.006504,0.003867,-1.004876,0.191867,0.019639,-0.119814,0.414229,0.000000,0.000000,2.000000,12.000000,0.847208
808457.000000,0.007813,-0.000488,-1.047852,0.205998,-0.003628,-0.036871,0.006520,0.003870,-1.004870,0.190691,0.023955,-0.117531,-0.080909,0.312593,-0.458361,0.000000,-0.000000,0.000000,-0.000000,0.006520,0.003870,-1.004870,0.190691,0.023955,-0.117531,0.414226,0.000000,0.000000,2.000000,12.000000,0.847208
808458.000000,0.009277,-0.003906,-1.047363,0.205998,-0.003628,-0.158823,0.006535,0.003872,-1.004865,0.189693,0.027914,-0.112901,-0.080924,0.312606,-0.458361,0.000000,-0.000000,0.000000,-0.000000,0.006535,0.003872,-1.004865,0.189693,0.027914,-0.112901,0.414224,0.000000,0.000000,2.000000,12.000000,0.847208
808459.000000,0.007813,-0.002441,-1.043457,0.205998,0.057348,-0.097847,0.006550,0.003873,-1.004859,0.189154,0.031008,-0.107069,-0.080939,0.312623,-0.458362,0.000000,-0.000000,0.000000,-0.000000,0.006550,0.003873,-1.004859,0.189154,0.031008,-0.107069,0.414225,0.000000,0.000000,2.000000,12.000000,0.847208
808460.000000,0.007324,0.000977,-1.046875,0.327949,-0.003628,-0.097847,0.006564,0.003875,-1.004853,0.189398,0.032927,-0.102306,-0.080954,0.312641,-0.458362,0.000000,-0.000000,0.000000,-0.000000,0.006564,0.003875,-1.004853,0.189398,0.032927,-0.102306,0.414227,0.000000,0.000000,2.000000,12.000000,0.847208
808463.000000,0.007813,-0.002930,-1.043945,0.205998,-0.003628,-0.097847,0.006605,0.003876,-1.004837,0.198982,0.032025,-0.099744,-0.080983,0.312697,-0.458362,0.000000,-0.000000,0.000000,-0.000000,0.006605,0.003876,-1.004837,0.198982,0.032025,-0.099744,0.414245,0.000000,0.000000,2.000000,12.000000,0.847208
808464.000000,0.009277,-0.001953,-1.042969,0.205998,0.057348,-0.097847,0.006617,0.003875,-1.004831,0.201656,0.031384,-0.102174,-0.080986,0.312714,-0.458362,0.000000,-0.000000,0.000000,-0.000000,0.006617,0.003875,-1.004831,0.201656,0.031384,-0.102174,0.414255,0.000000,0.000000,2.000000,12.000000,0.847208
808465.000000,0.009766,-0.001953,-1.045410,0.145022,0.057348,-0.036871,0.006629,0.003874,-1.004826,0.203526,0.031422,-0.104310,-0.080987,0.312731,-0.458362,0.000000,-0.000000,0.000000,-0.000000,0.006629,0.003874,-1.004826,0.203526,0.031422,-0.104310,0.414267,0.000000,0.000000,2.000000,12.000000,0.847208
808466.000000,0.008301,-0.000488,-1.042969,0.084047,0.057348,-0.097847,0.006640,0.003872,-1.004821,0.204412,0.032583,-0.105029,-0.080987,0.312750,-0.458362,0.000000,-0.000000,0.000000,-0.000000,0.006640,0.003872,-1.004821,0.204412,0.032583,-0.105029,0.414280,0.000000,0.000000,2.000000,12.000000,0.847208
808467.000000,0.009766,-0.003906,-1.043457,0.145022,0.057348,-0.097847,0.006650,0.003870,-1.004816,0.202828,0.034812,-0.104661,-0.080989,0.312771,-0.458363,0.000000,-0.000000,0.000000,-0.000000,0.006650,0.003870,-1.004816,0.202828,0.034812,-0.104661,0.414293,0.000000,0.000000,2.000000,12.000000,0.847208
808468.000000,0.006348,-0.001465,-1.040039,0.084047,-0.003628,-0.097847,0.006660,0.003867,-1.004811,0.198034,0.037222,-0.103897,-0.080996,0.312795,-0.458363,0.000000,-0.000000,0.000000,-0.000000,0.006660,0.003867,-1.004811,0.198034,0.037222,-0.103897,0.414305,0.000000,0.000000,2.000000,12.000000,0.847208
808469.000000,0.006836,-0.003418,-1.045410,0.145022,0.057348,-0.036871,0.006669,0.003864,-1.004806,0.190889,0.038828,-0.102661,-0.081009,0.312820,-0.458363,0.000000,-0.000000,0.000000,-0.000000,0.006669,0.003864,-1.004806,0.190889,0.038828,-0.102661,0.414313,0.000000,0.000000,2.000000,12.000000,0.847208
808470.000000,0.007324,0.000488,-1.046387,0.205998,-0.003628,-0.097847,0.006678,0.003860,-1.004801,0.182808,0.039361,-0.100450,-0.081031,0.312846,-0.458363,0.000000,-0.000000,0.000000,-0.000000,0.006678,0.003860,-1.004801,0.182808,0.039361,-0.100450,0.414316,0.000000,0.000000,2.000000,12.000000,0.847208
808472.000000,0.009277,-0.000977,-1.045898,0.205998,-0.003628,-0.097847,0.006694,0.003850,-1.004791,0.169536,0.039628,-0.093578,-0.081095,0.312898,-0.458363,0.000000,-0.000000,0.000000,-0.000000,0.006694,0.003850,-1.004791,0.169536,0.039628,-0.093578,0.414307,0.000000,0.000000,2.000000,12.000000,0.847208
808474.000000,0.010742,-0.000977,-1.046387,0.205998,-0.003628,-0.158823,0.006707,0.003838,-1.004781,0.165555,0.039528,-0.088170,-0.081172,0.312951,-0.458364,0.000000,-0.000000,0.000000,-0.000000,0.006707,0.003838,-1.004781,0.165555,0.039528,-0.088170,0.414290,0.000000,0.000000,2.000000,12.000000,0.847208
808475.000000,0.008301,0.000488,-1.047363,0.266974,0.118323,-0.097847,0.006712,0.003831,-1.004776,0.167099,0.038094,-0.087325,-0.081209,0.312976,-0.458364,0.000000,-0.000000,0.000000,-0.000000,0.006712,0.003831,-1.004776,0.167099,0.038094,-0.087325,0.414282,0.000000,0.000000,2.000000,12.000000,0.847208
808476.000000,0.008301,-0.002930,-1.045410,0.327949,-0.064604,-0.158823,0.006717,0.003824,-1.004770,0.171376,0.036865,-0.087861,-0.081242,0.313000,-0.458364,0.000000,-0.000000,0.000000,-0.000000,0.006717,0.003824,-1.004770,0.171376,0.036865,-0.087861,0.414275,0.000000,0.000000,2.000000,12.000000,0.847208
808477.000000,0.009277,-0.001465,-1.044922,0.266974,-0.003628,-0.158823,0.006722,0.003816,-1.004764,0.178626,0.035949,-0.089801,-0.081268,0.313023,-0.458364,0.000000,-0.000000,0.000000,-0.000000,0.006722,0.003816,-1.004764,0.178626,0.035949,-0.089801,0.414273,0.000000,0.000000,2.000000,12.000000,0.847208
808478.000000,0.006836,0.000977,-1.046387,0.205998,0.118323,-0.036871,0.006725,0.003807,-1.004758,0.187847,0.034154,-0.093041,-0.081284,0.313044,-0.458364,0.000000,-0.000000,0.000000,-0.000000,0.006725,0.003807,-1.004758,0.187847,0.034154,-0.093041,0.414276,0.000000,0.000000,2.000000,12.000000,0.847208
808479.000000,0.006836,0.000977,-1.046387,0.205998,0.118323,-0.036871,0.006729,0.003798,-1.004752,0.197107,0.032062,-0.096595,-0.081291,0.313063,-0.458364,0.000000,-0.000000,0.000000,-0.000000,0.006729,0.003798,-1.004752,0.197107,0.032062,-0.096595,0.414285,0.000000,0.000000,2.000000,12.000000,0.847208
808480.000000,0.007813,-0.001953,-1.043457,0.205998,0.057348,-0.097847,0.006732,0.003789,-1.004746,0.205062,0.031846,-0.098847,-0.081289,0.313081,-0.458364,0.000000,-0.000000,0.000000,-0.000000,0.006732,0.003789,-1.004746,0.205062,0.031846,-0.098847,0.414299,0.000000,0.000000,2.000000,12.000000,0.847208
