I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
255822.000000,0.004883,0.000977,-1.044434,0.145022,0.118323,-0.097847,0.001573,0.006203,-1.004920,0.094391,0.027054,-0.060314,-0.418873,0.103021,-0.278910,0.000000,-0.000000,0.000000,-0.000000,0.001573,0.006203,-1.004920,0.094391,0.027054,-0.060314,0.092886,0.000000,0.000000,2.000000,4.000000,0.465873
255823.000000,0.005859,-0.000488,-1.043457,0.084047,0.057348,-0.158823,0.001578,0.006204,-1.004913,0.092625,0.029546,-0.063250,-0.418918,0.103015,-0.278910,0.000000,-0.000000,0.000000,-0.000000,0.001578,0.006204,-1.004913,0.092625,0.029546,-0.063250,0.092901,0.000000,0.000000,2.000000,4.000000,0.465873
255825.000000,0.004395,0.000977,-1.043945,-0.037904,0.057348,-0.097847,0.001589,0.006208,-1.004898,0.094336,0.032745,-0.072904,-0.419005,0.103007,-0.278910,0.000000,-0.000000,0.000000,-0.000000,0.001589,0.006208,-1.004898,0.094336,0.032745,-0.072904,0.092936,0.000000,0.000000,2.000000,4.000000,0.465873
255826.000000,0.003418,0.000488,-1.046387,0.145022,0.057348,-0.036871,0.001594,0.006211,-1.004890,0.095723,0.031317,-0.076199,-0.419047,0.103002,-0.278910,0.000000,-0.000000,0.000000,-0.000000,0.001594,0.006211,-1.004890,0.095723,0.031317,-0.076199,0.092951,0.000000,0.000000,2.000000,4.000000,0.465873
255827.000000,0.001953,0.000488,-1.046875,0.145022,0.057348,-0.036871,0.001599,0.006214,-1.004881,0.095985,0.030333,-0.078275,-0.419088,0.102997,-0.278910,0.000000,-0.000000,0.000000,-0.000000,0.001599,0.006214,-1.004881,0.095985,0.030333,-0.078275,0.092966,0.000000,0.000000,2.000000,4.000000,0.465873
255828.000000,0.001953,0.000488,-1.044434,0.145022,0.057348,-0.036871,0.001604,0.006217,-1.004871,0.096124,0.031319,-0.079033,-0.419129,0.102992,-0.278910,0.000000,-0.000000,0.000000,-0.000000,0.001604,0.006217,-1.004871,0.096124,0.031319,-0.079033,0.092981,0.000000,0.000000,2.000000,4.000000,0.465873
255829.000000,0.000977,-0.000977,-1.045410,0.084047,0.057348,-0.036871,0.001609,0.006220,-1.004861,0.097219,0.033167,-0.077992,-0.419169,0.102989,-0.278910,0.000000,-0.000000,0.000000,-0.000000,0.001609,0.006220,-1.004861,0.097219,0.033167,-0.077992,0.092997,0.000000,0.000000,2.000000,4.000000,0.465873
255830.000000,0.001953,0.000977,-1.043945,0.145022,0.057348,-0.036871,0.001614,0.006224,-1.004850,0.098942,0.034497,-0.075392,-0.419208,0.102988,-0.278910,0.000000,-0.000000,0.000000,-0.000000,0.001614,0.006224,-1.004850,0.098942,0.034497,-0.075392,0.093014,0.000000,0.000000,2.000000,4.000000,0.465873
255832.000000,0.001953,0.000488,-1.043945,0.145022,0.057348,-0.036871,0.001625,0.006231,-1.004827,0.103179,0.037333,-0.067449,-0.419279,0.102989,-0.278910,0.000000,-0.000000,0.000000,-0.000000,0.001625,0.006231,-1.004827,0.103179,0.037333,-0.067449,0.093049,0.000000,0.000000,2.000000,4.000000,0.465873
255834.000000,0.005371,0.002441,-1.045898,0.145022,-0.064604,0.024104,0.001635,0.006239,-1.004803,0.111340,0.042813,-0.058307,-0.419335,0.103000,-0.278910,0.000000,-0.000000,0.000000,-0.000000,0.001635,0.006239,-1.004803,0.111340,0.042813,-0.058307,0.093086,0.000000,0.000000,2.000000,4.000000,0.465873
