I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
625428.000000,0.005371,-0.002441,-1.045410,0.266974,-0.003628,-0.158823,0.002595,0.006101,-1.003780,0.149055,0.034125,-0.082589,-0.422415,0.137829,0.062060,0.000000,0.000000,0.000000,-0.000000,0.002595,0.006101,-1.003780,0.149055,0.034125,-0.082589,0.125966,0.000000,0.000000,3.000000,5.000000,1.046374
625429.000000,0.003906,0.000977,-1.043945,0.145022,-0.064604,-0.097847,0.002602,0.006099,-1.003787,0.152858,0.030299,-0.084984,-0.422413,0.137825,0.062060,0.000000,0.000000,0.000000,-0.000000,0.002602,0.006099,-1.003787,0.152858,0.030299,-0.084984,0.125961,0.000000,0.000000,3.000000,5.000000,1.046374
625430.000000,0.004883,-0.001465,-1.045898,0.266974,0.057348,-0.097847,0.002608,0.006098,-1.003794,0.156760,0.023821,-0.088149,-0.422408,0.137814,0.062060,0.000000,0.000000,0.000000,-0.000000,0.002608,0.006098,-1.003794,0.156760,0.023821,-0.088149,0.125949,0.000000,0.000000,3.000000,5.000000,1.046374
625432.000000,0.004883,0.003906,-1.044922,0.205998,-0.003628,-0.036871,0.002620,0.006094,-1.003808,0.166636,0.011176,-0.092704,-0.422384,0.137772,0.062060,0.000000,0.000000,0.000000,-0.000000,0.002620,0.006094,-1.003808,0.166636,0.011176,-0.092704,0.125901,0.000000,0.000000,3.000000,5.000000,1.046374
625434.000000,0.005859,0.002930,-1.043945,0.205998,0.057348,-0.036871,0.002629,0.006088,-1.003823,0.179488,0.005485,-0.093259,-0.422335,0.137716,0.062061,0.000000,0.000000,0.000000,-0.000000,0.002629,0.006088,-1.003823,0.179488,0.005485,-0.093259,0.125831,0.000000,0.000000,3.000000,5.000000,1.046374
625435.000000,0.004883,0.001953,-1.045898,0.205998,0.118323,-0.036871,0.002633,0.006084,-1.003830,0.186482,0.005665,-0.092257,-0.422300,0.137687,0.062061,0.000000,0.000000,0.000000,-0.000000,0.002633,0.006084,-1.003830,0.186482,0.005665,-0.092257,0.125791,0.000000,0.000000,3.000000,5.000000,1.046374
625436.000000,0.005371,0.000977,-1.043457,0.023071,0.179299,-0.036871,0.002636,0.006080,-1.003838,0.191834,0.008684,-0.089867,-0.422260,0.137661,0.062061,0.000000,0.000000,0.000000,-0.000000,0.002636,0.006080,-1.003838,0.191834,0.008684,-0.089867,0.125752,0.000000,0.000000,3.000000,5.000000,1.046374
625437.000000,0.004883,0.002441,-1.044434,0.145022,-0.064604,-0.097847,0.002639,0.006075,-1.003846,0.193621,0.014644,-0.086247,-0.422218,0.137641,0.062061,0.000000,0.000000,0.000000,-0.000000,0.002639,0.006075,-1.003846,0.193621,0.014644,-0.086247,0.125718,0.000000,0.000000,3.000000,5.000000,1.046374
625438.000000,0.004883,-0.002930,-1.044434,0.145022,-0.003628,-0.158823,0.002641,0.006070,-1.003854,0.191753,0.021713,-0.082689,-0.422177,0.137629,0.062062,0.000000,0.000000,0.000000,-0.000000,0.002641,0.006070,-1.003854,0.191753,0.021713,-0.082689,0.125691,0.000000,0.000000,3.000000,5.000000,1.046374
625439.000000,0.006836,0.003418,-1.044434,0.145022,0.057348,-0.097847,0.002643,0.006065,-1.003862,0.188248,0.027269,-0.080709,-0.422141,0.137621,0.062062,0.000000,0.000000,0.000000,-0.000000,0.002643,0.006065,-1.003862,0.188248,0.027269,-0.080709,0.125670,0.000000,0.000000,3.000000,5.000000,1.046374
625440.000000,0.006348,-0.001465,-1.045410,0.145022,0.057348,-0.036871,0.002645,0.006060,-1.003870,0.184544,0.031114,-0.080401,-0.422108,0.137618,0.062062,0.000000,0.000000,0.000000,-0.000000,0.002645,0.006060,-1.003870,0.184544,0.031114,-0.080401,0.125655,0.000000,0.000000,3.000000,5.000000,1.046374
