I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
653240.000000,0.006348,-0.011719,-1.045410,0.023071,-0.003628,-0.097847,0.005096,-0.006428,-1.003799,0.239129,-0.016231,-0.072716,0.239197,0.022195,-1.674094,0.054861,0.000000,0.055541,0.000000,0.005096,-0.006428,-1.003799,0.239129,-0.016231,-0.072716,0.614369,0.000000,0.000000,3.000000,5.000000,1.046374
653243.000000,0.006348,-0.014648,-1.038574,0.266974,-0.003628,-0.097847,0.004965,-0.006391,-1.003804,0.211080,-0.019769,-0.084197,0.239447,0.022163,-1.674095,0.033684,0.000000,0.034102,0.000000,0.004965,-0.006391,-1.003804,0.211080,-0.019769,-0.084197,0.614619,0.000000,0.000000,3.000000,5.000000,1.046374
653244.000000,0.006348,-0.014648,-1.047852,0.205998,-0.064604,-0.036871,0.004922,-0.006379,-1.003804,0.201785,-0.021460,-0.089769,0.239511,0.022148,-1.674095,0.033684,0.000000,0.034102,0.000000,0.004922,-0.006379,-1.003804,0.201785,-0.021460,-0.089769,0.614683,0.000000,0.000000,3.000000,5.000000,1.046374
653246.000000,0.006836,-0.009277,-1.053223,0.023071,-0.064604,-0.158823,0.004841,-0.006358,-1.003803,0.190055,-0.025573,-0.097226,0.239619,0.022112,-1.674096,0.033684,0.000000,0.034102,0.000000,0.004841,-0.006358,-1.003803,0.190055,-0.025573,-0.097226,0.614791,0.000000,0.000000,3.000000,5.000000,1.046374
653247.000000,0.007324,-0.009766,-1.044922,0.145022,-0.003628,-0.097847,0.004801,-0.006348,-1.003802,0.184594,-0.029495,-0.098583,0.239665,0.022088,-1.674096,0.033684,0.000000,0.034102,0.000000,0.004801,-0.006348,-1.003802,0.184594,-0.029495,-0.098583,0.614837,0.000000,0.000000,3.000000,5.000000,1.046374
653248.000000,0.008301,-0.009766,-1.045898,0.145022,-0.003628,-0.158823,0.004763,-0.006338,-1.003800,0.178177,-0.033328,-0.099738,0.239704,0.022060,-1.674096,0.033684,0.000000,0.034102,0.000000,0.004763,-0.006338,-1.003800,0.178177,-0.033328,-0.099738,0.614876,0.000000,0.000000,3.000000,5.000000,1.046374
653249.000000,0.006348,-0.012207,-1.042480,0.205998,-0.064604,-0.158823,0.004726,-0.006330,-1.003797,0.172234,-0.035535,-0.100979,0.239738,0.022029,-1.674096,0.033684,0.000000,0.034102,0.000000,0.004726,-0.006330,-1.003797,0.172234,-0.035535,-0.100979,0.614909,0.000000,0.000000,3.000000,5.000000,1.046374
653250.000000,0.008789,-0.012207,-1.050293,0.266974,-0.003628,-0.097847,0.004691,-0.006322,-1.003794,0.168047,-0.036182,-0.102746,0.239767,0.021997,-1.674097,0.033684,0.000000,0.034102,0.000000,0.004691,-0.006322,-1.003794,0.168047,-0.036182,-0.102746,0.614939,0.000000,0.000000,3.000000,5.000000,1.046374
653253.000000,0.008301,-0.011719,-1.044434,0.205998,0.118323,-0.097847,0.004594,-0.006302,-1.003781,0.166118,-0.037227,-0.111289,0.239847,0.021899,-1.674098,0.020682,0.000000,0.020939,0.000000,0.004594,-0.006302,-1.003781,0.166118,-0.037227,-0.111289,0.615019,0.000000,0.000000,3.000000,5.000000,1.046374
653254.000000,0.008789,-0.011230,-1.038574,0.205998,0.057348,-0.158823,0.004565,-0.006297,-1.003777,0.167620,-0.036547,-0.113153,0.239876,0.021866,-1.674098,0.020682,0.000000,0.020939,0.000000,0.004565,-0.006297,-1.003777,0.167620,-0.036547,-0.113153,0.615047,0.000000,0.000000,3.000000,5.000000,1.046374
