I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
894094.000000,0.016113,0.000977,-1.047363,0.205998,0.179299,-0.646628,0.009421,0.003143,-1.003398,0.246823,-0.073098,-0.376730,-0.537409,0.184277,2.090876,-0.468645,-0.004787,-0.603724,0.097494,0.009421,0.003143,-1.003398,0.246823,-0.073098,-0.376730,0.230134,0.000000,0.000000,2.000000,12.000000,0.846338
894095.000000,0.012207,0.003906,-1.048340,0.023071,0.118323,-0.646628,0.009492,0.003233,-1.003406,0.294100,-0.055720,-0.426885,-0.537243,0.184263,2.090877,-0.468645,-0.004787,-0.603724,0.097494,0.009492,0.003233,-1.003406,0.294100,-0.055720,-0.426885,0.230007,0.000000,0.000000,2.000000,12.000000,0.846338
894096.000000,0.014648,0.001953,-1.046875,-0.159856,0.118323,-0.585652,0.009559,0.003319,-1.003416,0.325458,-0.034719,-0.472714,-0.537046,0.184271,2.090878,-0.468645,-0.004787,-0.603724,0.097494,0.009559,0.003319,-1.003416,0.325458,-0.034719,-0.472714,0.229873,0.000000,0.000000,2.000000,12.000000,0.846338
894097.000000,0.016113,0.000488,-1.038574,-0.220831,-0.003628,-0.707603,0.009622,0.003400,-1.003427,0.335601,-0.015108,-0.513210,-0.536840,0.184299,2.090878,-0.468645,-0.004787,-0.603724,0.097494,0.009622,0.003400,-1.003427,0.335601,-0.015108,-0.513210,0.229748,0.000000,0.000000,2.000000,12.000000,0.846338
894098.000000,0.011719,0.003906,-1.034668,-0.220831,-0.125579,-0.585652,0.009680,0.003477,-1.003440,0.324169,-0.000602,-0.548211,-0.536646,0.184342,2.090879,-0.468645,-0.004787,-0.603724,0.097494,0.009680,0.003477,-1.003440,0.324169,-0.000602,-0.548211,0.229642,0.000000,0.000000,2.000000,12.000000,0.846338
894099.000000,0.012695,0.001465,-1.033203,-0.037904,-0.125579,-0.646628,0.009735,0.003549,-1.003454,0.295474,0.007768,-0.577720,-0.536483,0.184389,2.090450,-0.468645,-0.004787,-0.603724,0.097494,0.009735,0.003549,-1.003454,0.295474,0.007768,-0.577720,0.229562,0.000000,0.000000,2.000000,12.000000,0.846338
894100.000000,0.012695,0.001953,-1.037109,0.023071,-0.125579,-0.524676,0.009786,0.003616,-1.003470,0.256238,0.010929,-0.601129,-0.536360,0.184441,2.089998,-0.468645,-0.004787,-0.603724,0.097494,0.009786,0.003616,-1.003470,0.256238,0.010929,-0.601129,0.229512,0.000000,0.000000,2.000000,12.000000,0.846338
894102.000000,0.010742,0.000977,-1.040039,0.084047,0.118323,-0.524676,0.009879,0.003736,-1.003506,0.172140,0.008983,-0.626596,-0.536243,0.184542,2.089051,-0.287748,-0.002939,-0.370686,0.059861,0.009879,0.003736,-1.003506,0.172140,0.008983,-0.626596,0.229502,0.000000,0.000000,2.000000,12.000000,0.846338
894103.000000,0.009766,-0.001465,-1.043457,0.145022,0.301250,-0.402725,0.009921,0.003789,-1.003525,0.135392,0.007740,-0.628694,-0.536243,0.184591,2.088571,-0.287748,-0.002939,-0.370686,0.059861,0.009921,0.003789,-1.003525,0.135392,0.007740,-0.628694,0.229536,0.000000,0.000000,2.000000,12.000000,0.846338
894105.000000,0.008301,0.002441,-1.044922,0.205998,0.301250,-0.463701,0.009999,0.003884,-1.003567,0.085227,0.018130,-0.614366,-0.536323,0.184703,2.087630,-0.287748,-0.002939,-0.370686,0.059861,0.009999,0.003884,-1.003567,0.085227,0.018130,-0.614366,0.229673,0.000000,0.000000,2.000000,12.000000,0.846338
894106.000000,0.009766,0.003418,-1.048340,0.084047,0.179299,-0.524676,0.010035,0.003925,-1.003588,0.074167,0.032336,-0.599066,-0.536385,0.184777,2.087179,-0.287748,-0.002939,-0.370686,0.059861,0.010035,0.003925,-1.003588,0.074167,0.032336,-0.599066,0.229770,0.000000,0.000000,2.000000,12.000000,0.846338
894107.000000,0.008301,0.003418,-1.049316,0.023071,-0.003628,-0.402725,0.010069,0.003962,-1.003609,0.070026,0.050275,-0.581210,-0.536452,0.184871,2.086747,-0.287748,-0.002939,-0.370686,0.059861,0.010069,0.003962,-1.003609,0.070026,0.050275,-0.581210,0.229883,0.000000,0.000000,2.000000,12.000000,0.846338
894108.000000,0.005859,0.003906,-1.051270,0.023071,-0.003628,-0.341750,0.010101,0.003996,-1.003630,0.068954,0.068578,-0.562324,-0.536520,0.184983,2.086332,-0.287748,-0.002939,-0.370686,0.059861,0.010101,0.003996,-1.003630,0.068954,0.068578,-0.562324,0.230010,0.000000,0.000000,2.000000,12.000000,0.846338
894109.000000,0.006836,0.005371,-1.051270,0.084047,-0.064604,-0.280774,0.010131,0.004027,-1.003651,0.068206,0.084139,-0.541796,-0.536588,0.185115,2.086332,-0.287748,-0.002939,-0.370686,0.059861,0.010131,0.004027,-1.003651,0.068206,0.084139,-0.541796,0.230152,0.000000,0.000000,2.000000,12.000000,0.846338
894110.000000,0.007813,0.004395,-1.052246,0.145022,-0.003628,-0.402725,0.010160,0.004054,-1.003672,0.067484,0.095027,-0.519193,-0.536657,0.185257,2.086331,-0.287748,-0.002939,-0.370686,0.059861,0.010160,0.004054,-1.003672,0.067484,0.095027,-0.519193,0.230302,0.000000,0.000000,2.000000,12.000000,0.846338
