I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
314458.000000,0.000488,0.007324,-1.044434,0.205998,0.057348,-0.097847,-0.000800,0.011561,-1.004913,0.165349,0.054022,-0.129354,-0.602385,-0.226545,0.370905,0.000000,0.000000,-0.000001,0.000001,-0.000800,0.011561,-1.004913,0.165349,0.054022,-0.129354,0.336056,0.000000,0.000000,2.000000,4.000000,0.465873
314459.000000,0.003418,0.007324,-1.044434,0.205998,0.057348,-0.097847,-0.000806,0.011564,-1.004922,0.163454,0.054100,-0.127182,-0.602383,-0.226496,0.370905,0.000000,0.000000,-0.000001,0.000001,-0.000806,0.011564,-1.004922,0.163454,0.054100,-0.127182,0.336019,0.000000,0.000000,2.000000,4.000000,0.465873
314460.000000,0.003418,0.007324,-1.044434,0.205998,0.057348,-0.097847,-0.000813,0.011566,-1.004931,0.163857,0.055876,-0.124681,-0.602380,-0.226445,0.370905,0.000000,0.000000,-0.000001,0.000001,-0.000813,0.011566,-1.004931,0.163857,0.055876,-0.124681,0.335979,0.000000,0.000000,2.000000,4.000000,0.465873
314462.000000,0.000000,0.005371,-1.045410,0.145022,0.057348,-0.036871,-0.000827,0.011570,-1.004949,0.169078,0.058781,-0.118067,-0.602367,-0.226339,0.370904,0.000000,0.000000,-0.000000,0.000000,-0.000827,0.011570,-1.004949,0.169078,0.058781,-0.118067,0.335892,0.000000,0.000000,2.000000,4.000000,0.465873
314464.000000,0.002930,0.007813,-1.045410,0.205998,0.057348,-0.097847,-0.000841,0.011572,-1.004967,0.175472,0.052543,-0.108464,-0.602342,-0.226240,0.370904,0.000000,0.000000,-0.000000,0.000000,-0.000841,0.011572,-1.004967,0.175472,0.052543,-0.108464,0.335803,0.000000,0.000000,2.000000,4.000000,0.465873
314465.000000,0.001465,0.006348,-1.044434,0.145022,-0.003628,-0.158823,-0.000848,0.011573,-1.004975,0.177538,0.048916,-0.102848,-0.602326,-0.226197,0.370904,0.000000,0.000000,-0.000000,0.000000,-0.000848,0.011573,-1.004975,0.177538,0.048916,-0.102848,0.335760,0.000000,0.000000,2.000000,4.000000,0.465873
314466.000000,0.001465,0.006348,-1.044434,0.145022,-0.003628,-0.158823,-0.000856,0.011573,-1.004983,0.179198,0.045619,-0.098829,-0.602308,-0.226157,0.370904,0.000000,0.000000,-0.000000,0.000000,-0.000856,0.011573,-1.004983,0.179198,0.045619,-0.098829,0.335718,0.000000,0.000000,2.000000,4.000000,0.465873
314467.000000,0.002441,0.008789,-1.044922,0.145022,0.057348,-0.158823,-0.000863,0.011573,-1.004991,0.180230,0.042310,-0.097603,-0.602289,-0.226120,0.370904,0.000000,0.000000,-0.000000,0.000000,-0.000863,0.011573,-1.004991,0.180230,0.042310,-0.097603,0.335678,0.000000,0.000000,2.000000,4.000000,0.465873
314468.000000,0.000000,0.005859,-1.046387,0.266974,0.118323,-0.097847,-0.000870,0.011573,-1.004997,0.180180,0.039633,-0.098593,-0.602270,-0.226086,0.370904,0.000000,0.000000,-0.000000,0.000000,-0.000870,0.011573,-1.004997,0.180180,0.039633,-0.098593,0.335640,0.000000,0.000000,2.000000,4.000000,0.465873
314469.000000,-0.002930,0.007813,-1.045898,0.145022,0.057348,-0.097847,-0.000876,0.011572,-1.005004,0.179713,0.038827,-0.100353,-0.602252,-0.226053,0.370904,0.000000,0.000000,-0.000000,0.000000,-0.000876,0.011572,-1.005004,0.179713,0.038827,-0.100353,0.335604,0.000000,0.000000,2.000000,4.000000,0.465873
