I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
575742.000000,-0.003418,0.002441,-1.043945,0.205998,0.057348,-0.036871,-0.005046,0.006460,-1.004862,0.152509,-0.017643,-0.085170,-0.462820,-0.358249,0.154510,-0.000000,0.000000,-0.000000,0.000000,-0.005046,0.006460,-1.004862,0.152509,-0.017643,-0.085170,0.389303,0.000000,0.000000,3.000000,5.000000,1.046374
575744.000000,-0.001465,0.002441,-1.043945,0.145022,0.057348,-0.036871,-0.005023,0.006462,-1.004866,0.160702,-0.009241,-0.082556,-0.462820,-0.358328,0.154511,-0.000000,0.000000,-0.000000,0.000000,-0.005023,0.006462,-1.004866,0.160702,-0.009241,-0.082556,0.389379,0.000000,0.000000,3.000000,5.000000,1.046374
575745.000000,-0.002930,0.002441,-1.042969,0.205998,-0.064604,-0.036871,-0.005010,0.006463,-1.004868,0.164083,-0.003982,-0.080097,-0.462814,-0.358359,0.154511,-0.000000,0.000000,-0.000000,0.000000,-0.005010,0.006463,-1.004868,0.164083,-0.003982,-0.080097,0.389408,0.000000,0.000000,3.000000,5.000000,1.046374
575746.000000,-0.004395,0.002441,-1.044434,0.145022,-0.003628,-0.097847,-0.004997,0.006464,-1.004870,0.167069,0.000057,-0.077559,-0.462806,-0.358386,0.154511,-0.000000,0.000000,-0.000000,0.000000,-0.004997,0.006464,-1.004870,0.167069,0.000057,-0.077559,0.389433,0.000000,0.000000,3.000000,5.000000,1.046374
575747.000000,-0.003906,0.001465,-1.047852,0.205998,-0.064604,-0.158823,-0.004984,0.006465,-1.004872,0.169652,0.002369,-0.075965,-0.462795,-0.358410,0.154511,-0.000000,0.000000,-0.000000,0.000000,-0.004984,0.006465,-1.004872,0.169652,0.002369,-0.075965,0.389454,0.000000,0.000000,3.000000,5.000000,1.046374
575748.000000,-0.001465,-0.000488,-1.047852,0.084047,0.057348,-0.158823,-0.004970,0.006467,-1.004874,0.171257,0.002922,-0.076298,-0.462782,-0.358434,0.154511,-0.000000,0.000000,-0.000000,0.000000,-0.004970,0.006467,-1.004874,0.171257,0.002922,-0.076298,0.389474,0.000000,0.000000,3.000000,5.000000,1.046374
575749.000000,-0.004395,0.000488,-1.046387,-0.037904,-0.003628,-0.158823,-0.004956,0.006468,-1.004876,0.170927,0.002521,-0.078703,-0.462770,-0.358458,0.154512,-0.000000,0.000000,-0.000000,0.000000,-0.004956,0.006468,-1.004876,0.170927,0.002521,-0.078703,0.389495,0.000000,0.000000,3.000000,5.000000,1.046374
575750.000000,-0.001953,0.000000,-1.045898,0.084047,0.057348,-0.036871,-0.004942,0.006470,-1.004878,0.167425,0.002365,-0.082156,-0.462761,-0.358482,0.154512,-0.000000,0.000000,-0.000000,0.000000,-0.004942,0.006470,-1.004878,0.167425,0.002365,-0.082156,0.389517,0.000000,0.000000,3.000000,5.000000,1.046374
575753.000000,-0.001465,0.000488,-1.044922,0.205998,-0.064604,-0.158823,-0.004913,0.006473,-1.004882,0.153750,0.004268,-0.089573,-0.462764,-0.358527,0.154512,-0.000000,0.000000,-0.000000,0.000000,-0.004913,0.006473,-1.004882,0.153750,0.004268,-0.089573,0.389561,0.000000,0.000000,3.000000,5.000000,1.046374
575755.000000,-0.003906,0.000000,-1.045410,0.205998,0.057348,-0.158823,-0.004868,0.006478,-1.004889,0.141903,0.003007,-0.111353,-0.462805,-0.358593,0.154513,-0.000000,0.000000,-0.000000,0.000000,-0.004868,0.006478,-1.004889,0.141903,0.003007,-0.111353,0.389634,0.000000,0.000000,3.000000,5.000000,1.046374
