I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
754110.000000,0.330566,-0.083008,-1.179199,1.669413,7.191494,-1.439311,0.313481,0.026716,-1.016777,-6.273503,5.773759,-8.349633,-1.051316,-0.213075,2.724202,-52.122814,-55.546227,-59.936852,-60.582249,0.313481,0.026716,-1.016777,-6.273503,5.773759,-8.349633,0.715536,0.000000,0.000000,2.000000,12.000000,1.041674
754112.000000,0.328613,0.015625,-1.792969,2.949900,5.057348,-0.951506,0.313711,0.027139,-1.012951,-4.671693,6.401804,-7.204253,-1.061807,-0.199470,2.708977,-52.075409,-53.791382,-55.329227,-55.725502,0.313711,0.027139,-1.012951,-4.671693,6.401804,-7.204253,0.721181,0.000000,0.000000,2.000000,12.000000,1.041674
754114.000000,0.246094,0.116699,-1.004883,5.693803,5.240275,-1.988091,0.314083,0.027481,-1.009177,-2.979598,6.731731,-5.716850,-1.068963,-0.184736,2.696579,-52.075409,-53.791382,-55.329227,-55.725502,0.314083,0.027481,-1.009177,-2.979598,6.731731,-5.716850,0.723670,0.000000,0.000000,2.000000,12.000000,1.041674
754115.000000,-0.022949,0.112305,-1.844727,5.510876,1.886616,-2.719798,0.314313,0.027603,-1.007384,-2.098400,6.776772,-4.968920,-1.071242,-0.177140,2.691507,-52.075409,-53.791382,-55.329227,-55.725502,0.314313,0.027603,-1.007384,-2.098400,6.776772,-4.968920,0.723738,0.000000,0.000000,2.000000,12.000000,1.041674
754116.000000,0.011719,-0.006836,-0.884766,6.364535,0.545152,-2.963701,0.314567,0.027685,-1.005693,-1.172447,6.717546,-4.289887,-1.072599,-0.169529,2.687115,-52.075409,-53.791382,-55.329227,-55.725502,0.314567,0.027685,-1.005693,-1.172447,6.717546,-4.289887,0.723000,0.000000,0.000000,2.000000,12.000000,1.041674
754117.000000,0.229492,-0.078125,-0.992188,4.169413,0.971982,-2.841750,0.314838,0.027724,-1.004129,-0.211791,6.517276,-3.713164,-1.073000,-0.162050,2.683303,-52.075409,-53.791382,-55.329227,-55.725502,0.314838,0.027724,-1.004129,-0.211791,6.517276,-3.713164,0.721453,0.000000,0.000000,2.000000,12.000000,1.041674
754118.000000,-0.134766,-0.061035,-1.454590,5.327950,-2.076799,-2.049067,0.315120,0.027716,-1.002714,0.742617,6.158731,-3.248438,-1.072449,-0.154871,2.679963,-52.075409,-53.791382,-55.329227,-55.725502,0.315120,0.027716,-1.002714,0.742617,6.158731,-3.248438,0.719130,0.000000,0.000000,2.000000,12.000000,1.041674
754119.000000,0.262207,-0.229004,-0.871094,9.596243,-4.088994,-1.744189,0.315406,0.027660,-1.001466,1.665140,5.653866,-2.883734,-1.070979,-0.148144,2.676996,-52.075409,-53.791382,-55.329227,-55.725502,0.315406,0.027660,-1.001466,1.665140,5.653866,-2.883734,0.716085,0.000000,0.000000,2.000000,12.000000,1.041674
754120.000000,0.148438,0.335449,-0.792480,6.852340,-2.808506,-1.439311,0.315687,0.027554,-1.000400,2.563487,5.000088,-2.595942,-1.068612,-0.142028,2.674331,-52.075409,-53.791382,-55.329227,-55.725502,0.315687,0.027554,-1.000400,2.563487,5.000088,-2.595942,0.712360,0.000000,0.000000,2.000000,12.000000,1.041674
754123.000000,0.259277,-0.246094,-0.870117,5.998681,-7.137774,-0.524676,0.316420,0.026926,-0.998381,4.764793,2.163469,-2.026163,-1.056841,-0.128917,2.667652,-53.204300,-52.713909,-53.272144,-53.515457,0.316420,0.026926,-0.998381,4.764793,2.163469,-2.026163,0.697974,0.000000,0.000000,2.000000,12.000000,1.041674
754124.000000,0.393555,-0.167969,-0.458008,6.913315,-8.723140,1.731421,0.316601,0.026614,-0.998113,5.192275,1.015458,-1.877244,-1.051847,-0.126691,2.665779,-53.204300,-52.713909,-53.272144,-53.515457,0.316601,0.026614,-0.998113,5.192275,1.015458,-1.877244,0.692619,0.000000,0.000000,2.000000,12.000000,1.041674
754125.000000,0.254883,-0.166992,-0.831543,6.608437,-8.906067,3.560689,0.316740,0.026254,-0.998046,5.532570,-0.175958,-1.685398,-1.046513,-0.125650,2.664120,-53.204300,-52.713909,-53.272144,-53.515457,0.316740,0.026254,-0.998046,5.532570,-0.175958,-1.685398,0.687185,0.000000,0.000000,2.000000,12.000000,1.041674
754127.000000,0.250488,-0.144043,-0.453613,5.876730,-5.552408,3.621665,0.316863,0.025388,-0.998493,6.078521,-2.483096,-1.037992,-1.034996,-0.127064,2.661789,-53.204300,-52.713909,-53.272144,-53.515457,0.316863,0.025388,-0.998493,6.078521,-2.483096,-1.037992,0.676247,0.000000,0.000000,2.000000,12.000000,1.041674
754128.000000,0.250488,-0.144043,-0.453613,5.876730,-5.552408,3.621665,0.316838,0.024880,-0.998988,6.262390,-3.497390,-0.595033,-1.028929,-0.129360,2.661280,-53.204300,-52.713909,-53.272144,-53.515457,0.316838,0.024880,-0.998988,6.262390,-3.497390,-0.595033,0.670839,0.000000,0.000000,2.000000,12.000000,1.041674
754129.000000,0.553711,-0.294922,-0.527832,5.693803,-7.381677,4.597275,0.316750,0.024321,-0.999646,6.399495,-4.370974,-0.101854,-1.022724,-0.132543,2.661359,-53.204300,-52.713909,-53.272144,-53.515457,0.316750,0.024321,-0.999646,6.399495,-4.370974,-0.101854,0.665521,0.000000,0.000000,2.000000,12.000000,1.041674
754130.000000,0.382324,-0.076660,-0.495117,6.913315,-9.149969,6.182641,0.316595,0.023709,-1.000446,6.498128,-5.126587,0.439577,-1.016419,-0.136502,2.661913,-53.204300,-52.713909,-53.272144,-53.515457,0.316595,0.023709,-1.000446,6.498128,-5.126587,0.439577,0.660322,0.000000,0.000000,2.000000,12.000000,1.041674
754132.000000,0.275879,-0.022461,-0.431152,9.291365,-4.759726,5.999714,0.316082,0.022323,-1.002394,6.633361,-6.327652,1.678656,-1.003601,-0.146357,2.664886,-47.335442,-48.578339,-46.991096,-51.000492,0.316082,0.022323,-1.002394,6.633361,-6.327652,1.678656,0.650348,0.000000,0.000000,2.000000,12.000000,1.041674
754134.000000,0.568848,-0.231445,-0.497070,9.413315,-3.418262,6.182641,0.315294,0.020713,-1.004642,6.859780,-6.809199,2.958417,-0.990396,-0.157668,2.670456,-47.335442,-48.578339,-46.991096,-51.000492,0.315294,0.020713,-1.004642,6.859780,-6.809199,2.958417,0.640660,0.000000,0.000000,2.000000,12.000000,1.041674
754135.000000,0.321777,0.070801,-0.280762,10.937706,1.520762,7.219226,0.314799,0.019823,-1.005813,7.061784,-6.800831,3.549238,-0.983522,-0.163433,2.674145,-47.335442,-48.578339,-46.991096,-51.000492,0.314799,0.019823,-1.005813,7.061784,-6.800831,3.549238,0.635711,0.000000,0.000000,2.000000,12.000000,1.041674
754137.000000,0.385742,-0.032227,-0.673340,9.596243,-0.430457,6.426544,0.313615,0.017877,-1.008114,7.698483,-6.226157,4.634538,-0.968852,-0.174289,2.683151,-47.335442,-48.578339,-46.991096,-51.000492,0.313615,0.017877,-1.008114,7.698483,-6.226157,4.634538,0.624995,0.000000,0.000000,2.000000,12.000000,1.041674
754138.000000,0.435059,-0.029785,-0.548828,10.145023,4.325641,5.511909,0.312931,0.016825,-1.009185,8.078421,-5.655471,5.101671,-0.960959,-0.178992,2.688370,-47.335442,-48.578339,-46.991096,-51.000492,0.312931,0.016825,-1.009185,8.078421,-5.655471,5.101671,0.619006,0.000000,0.000000,2.000000,12.000000,1.041674
