I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
183668.000000,0.003418,0.007324,-1.044922,0.205998,0.057348,-0.097847,0.001833,0.011154,-1.004395,0.168873,0.025440,-0.149673,-0.432398,0.129751,2.071540,0.000000,0.000000,0.000000,0.000000,0.001833,0.011154,-1.004395,0.168873,0.025440,-0.149673,0.122837,0.000000,0.000000,2.000000,4.000000,0.465873
183669.000000,0.001465,0.008301,-1.042969,0.205998,-0.003628,-0.097847,0.001837,0.011144,-1.004392,0.173282,0.022611,-0.151630,-0.432394,0.129743,2.071540,0.000000,0.000000,0.000000,0.000000,0.001837,0.011144,-1.004392,0.173282,0.022611,-0.151630,0.122828,0.000000,0.000000,2.000000,4.000000,0.465873
183670.000000,0.003418,0.007813,-1.045410,0.084047,-0.003628,-0.158823,0.001841,0.011136,-1.004388,0.178817,0.020825,-0.150742,-0.432384,0.129734,2.071540,0.000000,0.000000,0.000000,0.000000,0.001841,0.011136,-1.004388,0.178817,0.020825,-0.150742,0.122816,0.000000,0.000000,2.000000,4.000000,0.465873
183672.000000,0.004883,0.007324,-1.045410,0.145022,-0.003628,-0.097847,0.001845,0.011119,-1.004380,0.185315,0.016561,-0.144637,-0.432352,0.129710,2.071540,0.000000,0.000000,0.000000,0.000000,0.001845,0.011119,-1.004380,0.185315,0.016561,-0.144637,0.122779,0.000000,0.000000,2.000000,4.000000,0.465873
183674.000000,0.000488,0.008301,-1.041992,0.145022,0.057348,-0.097847,0.001846,0.011105,-1.004369,0.184307,0.013341,-0.133947,-0.432319,0.129677,2.071541,0.000000,0.000000,0.000000,0.000000,0.001846,0.011105,-1.004369,0.184307,0.013341,-0.133947,0.122736,0.000000,0.000000,2.000000,4.000000,0.465873
183675.000000,0.002930,0.007324,-1.044434,0.205998,0.118323,-0.158823,0.001846,0.011098,-1.004363,0.182306,0.013268,-0.129003,-0.432305,0.129661,2.071541,0.000000,0.000000,0.000000,0.000000,0.001846,0.011098,-1.004363,0.182306,0.013268,-0.129003,0.122714,0.000000,0.000000,2.000000,4.000000,0.465873
183676.000000,0.002441,0.007813,-1.044922,0.327949,0.057348,-0.158823,0.001845,0.011092,-1.004356,0.179857,0.014971,-0.125415,-0.432294,0.129646,2.071541,0.000000,0.000000,0.000000,0.000000,0.001845,0.011092,-1.004356,0.179857,0.014971,-0.125415,0.122696,0.000000,0.000000,2.000000,4.000000,0.465873
183677.000000,0.003418,0.008301,-1.044434,0.145022,-0.003628,-0.097847,0.001844,0.011087,-1.004349,0.178815,0.018345,-0.123490,-0.432283,0.129634,2.071541,0.000000,0.000000,0.000000,0.000000,0.001844,0.011087,-1.004349,0.178815,0.018345,-0.123490,0.122680,0.000000,0.000000,2.000000,4.000000,0.465873
183678.000000,0.002441,0.005859,-1.045410,0.266974,0.057348,-0.219798,0.001842,0.011083,-1.004341,0.180286,0.022003,-0.123416,-0.432271,0.129626,2.071541,0.000000,0.000000,0.000000,0.000000,0.001842,0.011083,-1.004341,0.180286,0.022003,-0.123416,0.122668,0.000000,0.000000,2.000000,4.000000,0.465873
183679.000000,0.002441,0.006348,-1.047363,0.266974,-0.003628,-0.158823,0.001839,0.011079,-1.004333,0.183987,0.025093,-0.125088,-0.432255,0.129621,2.071541,0.000000,0.000000,0.000000,0.000000,0.001839,0.011079,-1.004333,0.183987,0.025093,-0.125088,0.122656,0.000000,0.000000,2.000000,4.000000,0.465873
183680.000000,0.002930,0.005859,-1.046875,0.205998,0.057348,-0.097847,0.001836,0.011075,-1.004323,0.189696,0.028084,-0.127917,-0.432234,0.129619,2.071541,0.000000,0.000000,0.000000,0.000000,0.001836,0.011075,-1.004323,0.189696,0.028084,-0.127917,0.122644,0.000000,0.000000,2.000000,4.000000,0.465873
183683.000000,0.003906,0.006836,-1.041504,0.205998,-0.064604,-0.158823,0.001824,0.011070,-1.004293,0.208270,0.031761,-0.131411,-0.432130,0.129624,2.071540,0.000000,0.000000,0.000000,0.000000,0.001824,0.011070,-1.004293,0.208270,0.031761,-0.131411,0.122600,0.000000,0.000000,2.000000,4.000000,0.465873
183684.000000,0.004395,0.002930,-1.043945,0.205998,-0.003628,-0.158823,0.001819,0.011070,-1.004281,0.211327,0.027594,-0.132363,-0.432087,0.129621,2.071540,0.000000,0.000000,0.000000,0.000000,0.001819,0.011070,-1.004281,0.211327,0.027594,-0.132363,0.122578,0.000000,0.000000,2.000000,4.000000,0.465873
183685.000000,0.003418,0.005859,-1.045410,0.205998,-0.125579,-0.158823,0.001814,0.011070,-1.004270,0.213037,0.021479,-0.134671,-0.432042,0.129613,2.071540,0.000000,0.000000,0.000000,0.000000,0.001814,0.011070,-1.004270,0.213037,0.021479,-0.134671,0.122549,0.000000,0.000000,2.000000,4.000000,0.465873
183687.000000,0.002930,0.005859,-1.044434,0.205998,0.057348,-0.097847,0.001802,0.011073,-1.004246,0.213928,0.008017,-0.138834,-0.431951,0.129575,2.071540,0.000000,0.000000,0.000000,0.000000,0.001802,0.011073,-1.004246,0.213928,0.008017,-0.138834,0.122473,0.000000,0.000000,2.000000,4.000000,0.465873
183688.000000,0.003906,0.006836,-1.044922,0.145022,0.057348,-0.097847,0.001796,0.011076,-1.004233,0.213612,0.002927,-0.138811,-0.431905,0.129547,2.071540,0.000000,0.000000,0.000000,0.000000,0.001796,0.011076,-1.004233,0.213612,0.002927,-0.138811,0.122428,0.000000,0.000000,2.000000,4.000000,0.465873
183689.000000,0.001953,0.005371,-1.046875,0.084047,0.057348,-0.097847,0.001789,0.011079,-1.004221,0.212490,0.000140,-0.137284,-0.431861,0.129517,2.071540,0.000000,0.000000,0.000000,0.000000,0.001789,0.011079,-1.004221,0.212490,0.000140,-0.137284,0.122380,0.000000,0.000000,2.000000,4.000000,0.465873
183690.000000,0.001953,0.005371,-1.042480,0.145022,0.057348,-0.097847,0.001782,0.011083,-1.004208,0.209358,-0.000334,-0.134713,-0.431820,0.129486,2.071541,0.000000,0.000000,0.000000,0.000000,0.001782,0.011083,-1.004208,0.209358,-0.000334,-0.134713,0.122334,0.000000,0.000000,2.000000,4.000000,0.465873
183692.000000,0.001953,0.007813,-1.048340,0.145022,-0.003628,-0.097847,0.001768,0.011093,-1.004181,0.197206,0.004438,-0.129671,-0.431756,0.129430,2.071541,0.000000,0.000000,0.000000,0.000000,0.001768,0.011093,-1.004181,0.197206,0.004438,-0.129671,0.122255,0.000000,0.000000,2.000000,4.000000,0.465873
183694.000000,0.002930,0.009277,-1.043457,0.205998,-0.064604,-0.158823,0.001753,0.011104,-1.004154,0.181819,0.011198,-0.127234,-0.431722,0.129388,2.071541,0.000000,0.000000,0.000000,0.000000,0.001753,0.011104,-1.004154,0.181819,0.011198,-0.127234,0.122202,0.000000,0.000000,2.000000,4.000000,0.465873
183695.000000,0.002930,0.009277,-1.048828,0.145022,-0.003628,-0.097847,0.001745,0.011111,-1.004141,0.174524,0.012228,-0.126079,-0.431716,0.129369,2.071541,0.000000,0.000000,0.000000,0.000000,0.001745,0.011111,-1.004141,0.174524,0.012228,-0.126079,0.122182,0.000000,0.000000,2.000000,4.000000,0.465873
183696.000000,0.002441,0.003906,-1.044434,0.205998,-0.003628,-0.036871,0.001737,0.011118,-1.004127,0.168859,0.011190,-0.124999,-0.431716,0.129349,2.071541,0.000000,0.000000,0.000000,0.000000,0.001737,0.011118,-1.004127,0.168859,0.011190,-0.124999,0.122165,0.000000,0.000000,2.000000,4.000000,0.465873
183697.000000,0.002441,0.003906,-1.044434,0.205998,-0.003628,-0.036871,0.001729,0.011125,-1.004114,0.165364,0.008925,-0.123195,-0.431719,0.129327,2.071541,0.000000,0.000000,0.000000,0.000000,0.001729,0.011125,-1.004114,0.165364,0.008925,-0.123195,0.122147,0.000000,0.000000,2.000000,4.000000,0.465873
183698.000000,0.005371,0.008301,-1.044922,0.084047,0.057348,-0.097847,0.001721,0.011133,-1.004100,0.163944,0.006381,-0.119572,-0.431724,0.129302,2.071541,0.000000,0.000000,0.000000,0.000000,0.001721,0.011133,-1.004100,0.163944,0.006381,-0.119572,0.122127,0.000000,0.000000,2.000000,4.000000,0.465873
183699.000000,0.003418,0.008789,-1.043457,0.145022,0.118323,-0.219798,0.001712,0.011141,-1.004086,0.163302,0.004728,-0.114845,-0.431730,0.129276,2.071541,0.000000,0.000000,0.000000,0.000000,0.001712,0.011141,-1.004086,0.163302,0.004728,-0.114845,0.122106,0.000000,0.000000,2.000000,4.000000,0.465873
183700.000000,0.004395,0.006348,-1.048340,0.084047,-0.003628,-0.036871,0.001703,0.011149,-1.004073,0.161869,0.005019,-0.111228,-0.431737,0.129249,2.071541,0.000000,0.000000,0.000000,0.000000,0.001703,0.011149,-1.004073,0.161869,0.005019,-0.111228,0.122086,0.000000,0.000000,2.000000,4.000000,0.465873
183702.000000,0.001465,0.007324,-1.044434,0.145022,-0.003628,-0.097847,0.001686,0.011167,-1.004047,0.155882,0.010176,-0.105799,-0.431761,0.129204,2.071541,0.000000,0.000000,0.000000,0.000000,0.001686,0.011167,-1.004047,0.155882,0.010176,-0.105799,0.122057,0.000000,0.000000,2.000000,4.000000,0.465873
183704.000000,0.000977,0.007813,-1.044434,0.023071,-0.003628,-0.097847,0.001667,0.011186,-1.004023,0.148590,0.017168,-0.097557,-0.431799,0.129171,2.071542,0.000000,0.000000,0.000000,0.000000,0.001667,0.011186,-1.004023,0.148590,0.017168,-0.097557,0.122046,0.000000,0.000000,2.000000,4.000000,0.465873
183705.000000,0.005859,0.006348,-1.046875,0.266974,-0.064604,-0.158823,0.001657,0.011196,-1.004012,0.144109,0.019630,-0.095190,-0.431824,0.129159,2.071542,0.000000,0.000000,0.000000,0.000000,0.001657,0.011196,-1.004012,0.144109,0.019630,-0.095190,0.122047,0.000000,0.000000,2.000000,4.000000,0.465873
183707.000000,0.001465,0.004395,-1.046387,0.145022,-0.003628,-0.097847,0.001638,0.011216,-1.003990,0.139759,0.016633,-0.095235,-0.431884,0.129132,2.071542,0.000000,0.000000,0.000000,0.000000,0.001638,0.011216,-1.003990,0.139759,0.016633,-0.095235,0.122050,0.000000,0.000000,2.000000,4.000000,0.465873
183708.000000,0.002930,0.008301,-1.045898,0.145022,-0.003628,-0.158823,0.001628,0.011227,-1.003980,0.142598,0.011207,-0.097632,-0.431911,0.129111,2.071542,0.000000,0.000000,0.000000,0.000000,0.001628,0.011227,-1.003980,0.142598,0.011207,-0.097632,0.122044,0.000000,0.000000,2.000000,4.000000,0.465873
