I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
236298.000000,0.012695,0.004883,-1.047363,0.084047,0.057348,-0.158823,0.011278,0.008810,-1.004607,0.126960,0.030466,-0.083378,-0.441125,0.695311,1.088523,-0.000000,0.000000,-0.000000,0.000000,0.011278,0.008810,-1.004607,0.126960,0.030466,-0.083378,0.677471,0.000000,0.000000,2.000000,4.000000,0.465873
236299.000000,0.015137,0.004395,-1.046875,0.145022,-0.003628,-0.097847,0.011282,0.008808,-1.004616,0.129185,0.034952,-0.088027,-0.441155,0.695308,1.088523,-0.000000,0.000000,-0.000000,0.000000,0.011282,0.008808,-1.004616,0.129185,0.034952,-0.088027,0.677471,0.000000,0.000000,2.000000,4.000000,0.465873
236300.000000,0.012695,0.002930,-1.043457,0.145022,-0.003628,-0.097847,0.011287,0.008806,-1.004624,0.131531,0.037702,-0.093071,-0.441182,0.695308,1.088523,-0.000000,0.000000,-0.000000,0.000000,0.011287,0.008806,-1.004624,0.131531,0.037702,-0.093071,0.677473,0.000000,0.000000,2.000000,4.000000,0.465873
236302.000000,0.013184,0.002441,-1.044434,0.266974,0.057348,-0.158823,0.011297,0.008802,-1.004641,0.136725,0.040041,-0.100687,-0.441230,0.695312,1.088522,-0.000000,0.000000,-0.000000,0.000000,0.011297,0.008802,-1.004641,0.136725,0.040041,-0.100687,0.677481,0.000000,0.000000,2.000000,4.000000,0.465873
236304.000000,0.015625,0.002441,-1.044922,0.205998,0.057348,-0.036871,0.011308,0.008797,-1.004656,0.147979,0.044622,-0.108131,-0.441259,0.695323,1.088522,-0.000000,0.000000,-0.000000,0.000000,0.011308,0.008797,-1.004656,0.147979,0.044622,-0.108131,0.677495,0.000000,0.000000,2.000000,4.000000,0.465873
236305.000000,0.011719,0.003906,-1.042480,0.084047,0.057348,-0.097847,0.011313,0.008794,-1.004663,0.155289,0.047475,-0.112080,-0.441263,0.695333,1.088522,-0.000000,0.000000,-0.000000,0.000000,0.011313,0.008794,-1.004663,0.155289,0.047475,-0.112080,0.677506,0.000000,0.000000,2.000000,4.000000,0.465873
236306.000000,0.012207,0.002930,-1.043457,0.205998,0.057348,-0.097847,0.011318,0.008791,-1.004670,0.162236,0.049962,-0.114581,-0.441259,0.695345,1.088521,-0.000000,0.000000,-0.000000,0.000000,0.011318,0.008791,-1.004670,0.162236,0.049962,-0.114581,0.677518,0.000000,0.000000,2.000000,4.000000,0.465873
236307.000000,0.013184,0.001465,-1.042969,0.145022,-0.003628,-0.158823,0.011323,0.008788,-1.004677,0.168256,0.052240,-0.116143,-0.441250,0.695360,1.088521,-0.000000,0.000000,-0.000000,0.000000,0.011323,0.008788,-1.004677,0.168256,0.052240,-0.116143,0.677532,0.000000,0.000000,2.000000,4.000000,0.465873
236308.000000,0.010742,0.001465,-1.046875,0.084047,-0.003628,-0.097847,0.011328,0.008785,-1.004684,0.172598,0.054298,-0.117573,-0.441236,0.695377,1.088521,-0.000000,0.000000,-0.000000,0.000000,0.011328,0.008785,-1.004684,0.172598,0.054298,-0.117573,0.677547,0.000000,0.000000,2.000000,4.000000,0.465873
236309.000000,0.010742,0.002441,-1.048340,0.205998,0.057348,-0.036871,0.011333,0.008782,-1.004690,0.174097,0.055372,-0.118418,-0.441221,0.695395,1.088521,-0.000000,0.000000,-0.000000,0.000000,0.011333,0.008782,-1.004690,0.174097,0.055372,-0.118418,0.677563,0.000000,0.000000,2.000000,4.000000,0.465873
