I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
374870.000000,0.215332,-0.083496,-1.094727,-3.818392,-0.369482,-0.707603,0.167139,0.005070,-0.987131,-5.181432,-0.922438,3.298877,-0.046446,-0.220675,0.954524,-29.453762,-34.280754,-35.074070,-35.653095,0.167139,0.005070,-0.987131,-5.181432,-0.922438,3.298877,0.408038,0.000000,0.000000,2.000000,4.000000,0.465873
374872.000000,0.173340,-0.026367,-0.764648,-4.306197,0.484177,-0.707603,0.168262,0.005629,-0.986035,-5.052372,-0.818584,2.225150,-0.057068,-0.219655,0.959689,-28.892611,-32.628384,-33.115479,-31.541000,0.168262,0.005629,-0.986035,-5.052372,-0.818584,2.225150,0.398914,0.000000,0.000000,2.000000,4.000000,0.465873
374874.000000,0.219727,-0.028320,-0.883301,-3.513514,2.130518,-1.012481,0.169221,0.006164,-0.984996,-4.795142,-0.556278,1.235893,-0.067216,-0.218130,0.962819,-28.892611,-32.628384,-33.115479,-31.541000,0.169221,0.006164,-0.984996,-4.795142,-0.556278,1.235893,0.389933,0.000000,0.000000,2.000000,4.000000,0.465873
374875.000000,0.167969,-0.021973,-0.844727,-4.915953,3.532957,-1.439311,0.169638,0.006413,-0.984511,-4.655946,-0.345376,0.800487,-0.072082,-0.217064,0.963710,-28.892611,-32.628384,-33.115479,-31.541000,0.169638,0.006413,-0.984511,-4.655946,-0.345376,0.800487,0.385441,0.000000,0.000000,2.000000,4.000000,0.465873
374876.000000,0.160156,-0.065430,-0.767090,-5.769612,3.715884,-1.744189,0.170014,0.006647,-0.984051,-4.539850,-0.082850,0.398373,-0.076832,-0.215726,0.964198,-28.892611,-32.628384,-33.115479,-31.541000,0.170014,0.006647,-0.984051,-4.539850,-0.082850,0.398373,0.380884,0.000000,0.000000,2.000000,4.000000,0.465873
374877.000000,0.042480,-0.000488,-0.813477,-6.501319,2.191494,-1.988091,0.170349,0.006861,-0.983619,-4.473759,0.224708,0.023298,-0.081516,-0.214072,0.964198,-28.892611,-32.628384,-33.115479,-31.541000,0.170349,0.006861,-0.983619,-4.473759,0.224708,0.023298,0.376191,0.000000,0.000000,2.000000,4.000000,0.465873
374878.000000,0.050293,-0.033203,-0.826172,-6.379368,1.581738,-1.744189,0.170645,0.007055,-0.983214,-4.466846,0.546321,-0.323021,-0.086194,-0.212086,0.964198,-28.892611,-32.628384,-33.115479,-31.541000,0.170645,0.007055,-0.983214,-4.466846,0.546321,-0.323021,0.371300,0.000000,0.000000,2.000000,4.000000,0.465873
374879.000000,0.027832,0.055176,-1.109863,-7.294002,2.435396,-1.256384,0.170903,0.007226,-0.982834,-4.519672,0.842202,-0.633334,-0.090924,-0.209794,0.963653,-28.892611,-32.628384,-33.115479,-31.541000,0.170903,0.007226,-0.982834,-4.519672,0.842202,-0.633334,0.366182,0.000000,0.000000,2.000000,4.000000,0.465873
374880.000000,-0.021973,-0.152344,-0.946289,-8.086685,4.813446,-1.134432,0.171122,0.007372,-0.982476,-4.640750,1.116352,-0.899556,-0.095775,-0.207218,0.962842,-28.892611,-32.628384,-33.115479,-31.541000,0.171122,0.007372,-0.982476,-4.640750,1.116352,-0.899556,0.360794,0.000000,0.000000,2.000000,4.000000,0.465873
374882.000000,0.062500,-0.138184,-0.770508,-9.915953,6.642714,-1.439311,0.171446,0.007583,-0.981814,-5.133520,1.784340,-1.286536,-0.106173,-0.201065,0.960613,-27.390062,-31.227827,-32.684902,-29.402174,0.171446,0.007583,-0.981814,-5.133520,1.784340,-1.286536,0.348853,0.000000,0.000000,2.000000,4.000000,0.465873
374884.000000,0.155273,0.056641,-0.888184,-10.281807,5.911006,-1.561262,0.171609,0.007676,-0.981198,-5.912959,2.666224,-1.510445,-0.117999,-0.193191,0.957858,-27.390062,-31.227827,-32.684902,-29.402174,0.171609,0.007676,-0.981198,-5.912959,2.666224,-1.510445,0.334724,0.000000,0.000000,2.000000,4.000000,0.465873
374885.000000,0.108887,-0.065918,-0.822754,-9.184246,5.728080,-0.829554,0.171626,0.007675,-0.980895,-6.376189,3.107848,-1.575208,-0.124584,-0.188570,0.956367,-27.390062,-31.227827,-32.684902,-29.402174,0.171626,0.007675,-0.980895,-6.376189,3.107848,-1.575208,0.326708,0.000000,0.000000,2.000000,4.000000,0.465873
374886.000000,0.065918,-0.177246,-1.000000,-8.879368,5.789055,-0.951506,0.171598,0.007640,-0.980589,-6.861540,3.532131,-1.609192,-0.131653,-0.183515,0.954840,-27.390062,-31.227827,-32.684902,-29.402174,0.171598,0.007640,-0.980589,-6.861540,3.532131,-1.609192,0.318043,0.000000,0.000000,2.000000,4.000000,0.465873
374887.000000,0.080566,-0.130859,-0.979492,-8.940344,6.642714,-1.866140,0.171525,0.007570,-0.980275,-7.339835,3.943639,-1.616308,-0.139199,-0.178039,0.953304,-27.390062,-31.227827,-32.684902,-29.402174,0.171525,0.007570,-0.980275,-7.339835,3.943639,-1.616308,0.308744,0.000000,0.000000,2.000000,4.000000,0.465873
374888.000000,0.128418,-0.093262,-0.909668,-9.489124,6.520762,-2.292969,0.171405,0.007464,-0.979948,-7.786558,4.334972,-1.612997,-0.147190,-0.172163,0.951770,-27.390062,-31.227827,-32.684902,-29.402174,0.171405,0.007464,-0.979948,-7.786558,4.334972,-1.612997,0.298847,0.000000,0.000000,2.000000,4.000000,0.465873
374889.000000,0.156250,-0.116699,-1.006836,-9.489124,5.301250,-2.597847,0.171237,0.007321,-0.979603,-8.183065,4.697534,-1.619673,-0.155576,-0.165917,0.950228,-27.390062,-31.227827,-32.684902,-29.402174,0.171237,0.007321,-0.979603,-8.183065,4.697534,-1.619673,0.288412,0.000000,0.000000,2.000000,4.000000,0.465873
374890.000000,0.142090,-0.115723,-1.023438,-9.123270,4.569543,-2.902725,0.171021,0.007140,-0.979237,-8.512491,5.022460,-1.645899,-0.164288,-0.159339,0.948659,-27.390062,-31.227827,-32.684902,-29.402174,0.171021,0.007140,-0.979237,-8.512491,5.022460,-1.645899,0.277515,0.000000,0.000000,2.000000,4.000000,0.465873
374892.000000,0.099121,-0.091797,-1.066895,-8.635466,5.423202,-4.427115,0.170443,0.006656,-0.978426,-8.953435,5.484499,-1.776872,-0.182398,-0.145441,0.945335,-26.853498,-28.437885,-30.876530,-26.930935,0.170443,0.006656,-0.978426,-8.953435,5.484499,-1.776872,0.254722,0.000000,0.000000,2.000000,4.000000,0.465873
374894.000000,0.084473,-0.044434,-1.019043,-6.440343,6.032958,-6.134432,0.169673,0.006001,-0.977498,-9.166184,5.685329,-2.129399,-0.201025,-0.131017,0.941432,-26.853498,-28.437885,-30.876530,-26.930935,0.169673,0.006001,-0.977498,-9.166184,5.685329,-2.129399,0.231200,0.000000,0.000000,2.000000,4.000000,0.465873
374895.000000,0.138184,-0.151855,-1.062988,-6.745222,5.301250,-6.439311,0.169217,0.005606,-0.976987,-9.165146,5.719273,-2.420542,-0.210369,-0.123743,0.939081,-26.853498,-28.437885,-30.876530,-26.930935,0.169217,0.005606,-0.976987,-9.165146,5.719273,-2.420542,0.219379,0.000000,0.000000,2.000000,4.000000,0.465873
374896.000000,0.161133,-0.115234,-1.101074,-6.562295,5.301250,-6.866140,0.168715,0.005164,-0.976445,-9.073062,5.724699,-2.776515,-0.219614,-0.116484,0.936373,-26.853498,-28.437885,-30.876530,-26.930935,0.168715,0.005164,-0.976445,-9.073062,5.724699,-2.776515,0.207644,0.000000,0.000000,2.000000,4.000000,0.465873
374897.000000,0.154297,-0.048828,-0.956543,-6.745222,5.057348,-7.171018,0.168167,0.004675,-0.975871,-8.902021,5.720161,-3.182418,-0.228682,-0.109252,0.933258,-26.853498,-28.437885,-30.876530,-26.930935,0.168167,0.004675,-0.975871,-8.902021,5.720161,-3.182418,0.196061,0.000000,0.000000,2.000000,4.000000,0.465873
374898.000000,0.099121,0.011719,-0.976563,-7.354978,4.386616,-7.597847,0.167575,0.004138,-0.975268,-8.678103,5.718473,-3.629915,-0.237520,-0.102045,0.929695,-26.853498,-28.437885,-30.876530,-26.930935,0.167575,0.004138,-0.975268,-8.678103,5.718473,-3.629915,0.184668,0.000000,0.000000,2.000000,4.000000,0.465873
374899.000000,0.017090,0.005371,-1.054199,-7.476929,4.691494,-7.902725,0.166940,0.003552,-0.974635,-8.432838,5.711996,-4.113223,-0.246104,-0.094868,0.925648,-26.853498,-28.437885,-30.876530,-26.930935,0.166940,0.003552,-0.974635,-8.432838,5.711996,-4.113223,0.173485,0.000000,0.000000,2.000000,4.000000,0.465873
374900.000000,0.077148,-0.057129,-1.099121,-7.842782,5.057348,-7.536871,0.166264,0.002918,-0.973975,-8.197593,5.678168,-4.618001,-0.254447,-0.087751,0.921095,-26.853498,-28.437885,-30.876530,-26.930935,0.166264,0.002918,-0.973975,-8.197593,5.678168,-4.618001,0.162523,0.000000,0.000000,2.000000,4.000000,0.465873
374903.000000,-0.012695,-0.082031,-1.138184,-11.806198,5.179299,-6.561262,0.164002,0.000733,-0.971854,-7.772631,5.411798,-5.971777,-0.278451,-0.067071,0.904624,-27.296047,-25.952862,-29.766190,-24.641594,0.164002,0.000733,-0.971854,-7.772631,5.411798,-5.971777,0.130849,0.000000,0.000000,2.000000,4.000000,0.465873
374904.000000,0.035156,-0.128418,-1.020508,-12.294003,5.606128,-6.500286,0.163173,-0.000086,-0.971109,-7.817018,5.332644,-6.296930,-0.286384,-0.060409,0.898391,-27.296047,-25.952862,-29.766190,-24.641594,0.163173,-0.000086,-0.971109,-7.817018,5.332644,-6.296930,0.120500,0.000000,0.000000,2.000000,4.000000,0.465873
374905.000000,0.006836,-0.037598,-0.981445,-12.598881,5.545153,-6.439311,0.162309,-0.000947,-0.970351,-7.998351,5.279971,-6.553928,-0.294491,-0.053828,0.891901,-27.296047,-25.952862,-29.766190,-24.641594,0.162309,-0.000947,-0.970351,-7.998351,5.279971,-6.553928,0.110079,0.000000,0.000000,2.000000,4.000000,0.465873
374907.000000,0.003418,0.045898,-1.098145,-13.574490,6.642714,-6.378335,0.160471,-0.002791,-0.968815,-8.716524,5.261169,-6.871801,-0.311709,-0.040792,0.878408,-27.296047,-25.952862,-29.766190,-24.641594,0.160471,-0.002791,-0.968815,-8.716524,5.261169,-6.871801,0.088617,0.000000,0.000000,2.000000,4.000000,0.465873
374908.000000,0.003418,0.045898,-1.098145,-13.574490,6.642714,-6.378335,0.159496,-0.003770,-0.968045,-9.200823,5.292222,-6.938675,-0.320996,-0.034284,0.871530,-27.296047,-25.952862,-29.766190,-24.641594,0.159496,-0.003770,-0.968045,-9.200823,5.292222,-6.938675,0.077445,0.000000,0.000000,2.000000,4.000000,0.465873
374909.000000,-0.004395,-0.059082,-0.963867,-13.757418,8.228080,-6.256383,0.158484,-0.004784,-0.967280,-9.728648,5.363678,-6.958891,-0.330803,-0.027733,0.864631,-27.296047,-25.952862,-29.766190,-24.641594,0.158484,-0.004784,-0.967280,-9.728648,5.363678,-6.958891,0.065947,0.000000,0.000000,2.000000,4.000000,0.465873
374910.000000,-0.004395,-0.059082,-0.963867,-13.757418,8.228080,-6.256383,0.157432,-0.005829,-0.966522,-10.270514,5.491217,-6.946025,-0.341145,-0.021082,0.857743,-27.296047,-25.952862,-29.766190,-24.641594,0.157432,-0.005829,-0.966522,-10.270514,5.491217,-6.946025,0.054162,0.000000,0.000000,2.000000,4.000000,0.465873
374912.000000,0.054199,-0.030273,-1.133301,-13.452539,7.679299,-5.097847,0.155208,-0.008000,-0.965046,-11.314306,5.897755,-6.844918,-0.363385,-0.007271,0.844099,-27.181772,-22.883057,-29.084440,-23.621939,0.155208,-0.008000,-0.965046,-11.314306,5.897755,-6.844918,0.030684,0.000000,0.000000,2.000000,4.000000,0.465873
374914.000000,0.042969,-0.001465,-1.041504,-13.696442,9.020762,-5.097847,0.152815,-0.010255,-0.963644,-12.208838,6.341811,-6.618094,-0.387470,0.007318,0.830831,-27.181772,-22.883057,-29.084440,-23.621939,0.152815,-0.010255,-0.963644,-12.208838,6.341811,-6.618094,0.018441,0.000000,0.000000,2.000000,4.000000,0.465873
374915.000000,0.083496,0.003418,-1.112305,-12.598881,7.984177,-5.768579,0.151553,-0.011406,-0.962978,-12.571325,6.576406,-6.465490,-0.400076,0.014918,0.824410,-27.181772,-22.883057,-29.084440,-23.621939,0.151553,-0.011406,-0.962978,-12.571325,6.576406,-6.465490,0.025651,0.000000,0.000000,2.000000,4.000000,0.465873
