file_name,expected_events,expected_location,speed_label,duration_s,old_enter_count,old_exit_count,old_false_trigger_count,old_directions,old_direction_ok,old_notes,candidate_a_enter_count,candidate_a_exit_count,candidate_a_false_trigger_count,candidate_a_directions,candidate_a_direction_ok,candidate_a_notes,candidate_b_enter_count,candidate_b_exit_count,candidate_b_false_trigger_count,candidate_b_directions,candidate_b_direction_ok,candidate_b_notes,candidate_c_enter_count,candidate_c_exit_count,candidate_c_false_trigger_count,candidate_c_directions,candidate_c_direction_ok,candidate_c_notes,candidate_d_enter_count,candidate_d_exit_count,candidate_d_false_trigger_count,candidate_d_directions,candidate_d_direction_ok,candidate_d_notes,candidate_rt_enter_count,candidate_rt_exit_count,candidate_rt_false_trigger_count,candidate_rt_directions,candidate_rt_direction_ok,candidate_rt_notes
"信标在正前方,直接经过,中速2.csv",1,FRONT,medium,16.291,0,0,0,,,短日志漏检,1,0,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,
"信标在正前方,直接经过,快速.csv",1,FRONT,fast,19.648,0,0,0,,,短日志漏检,1,0,0,FRONT,1/1,,0,0,0,,,短日志漏检,0,0,0,,,短日志漏检,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,
"信标在正前方,直接经过,慢速.csv",1,FRONT,slow,7.04,0,0,0,,,短日志漏检,1,0,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,
"信标在正前方,直接经过,慢速3.csv",1,FRONT,slow,6.94,0,0,0,,,短日志漏检,1,0,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,
"信标在正前方,直接经过,慢速4.csv",1,FRONT,slow,6.338,0,0,0,,,短日志漏检,1,0,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,
"信标在正前方,直接经过,慢速5.csv",1,FRONT,slow,17.711000000000002,0,0,0,,,短日志漏检,1,0,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,
"信标在正前方,直接经过,慢速_2.csv",1,FRONT,slow,6.24,0,0,0,,,短日志漏检,0,0,0,,,短日志漏检,0,0,0,,,短日志漏检,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,,1,1,0,FRONT,1/1,
"信标在正右方,直接经过,中速.csv",1,RIGHT,medium,10.361,0,0,0,,,短日志漏检,2,0,0,"REAR,RIGHT",1/2,方向需复核,1,1,0,RIGHT,1/1,,1,1,0,RIGHT,1/1,,1,1,0,RIGHT,1/1,,1,1,0,RIGHT,1/1,
"信标在正右方,直接经过,中速2.csv",1,RIGHT,medium,20.397000000000002,0,0,0,,,短日志漏检,2,0,0,"REAR,RIGHT",1/2,方向需复核,2,2,0,"REAR,RIGHT",1/2,方向需复核,2,2,0,"REAR,RIGHT",1/2,方向需复核,1,1,0,RIGHT,1/1,,1,1,0,RIGHT,1/1,
"信标在正右方,直接经过,快速.csv",1,RIGHT,fast,8.455,1,0,0,UNKNOWN,0/1,方向需复核,1,0,0,RIGHT,1/1,,1,1,0,RIGHT,1/1,,1,1,0,RIGHT,1/1,,1,1,0,RIGHT,1/1,,1,1,0,RIGHT,1/1,
