file_name,rows,columns,channel_format,parse_32_channels,parse_40_channels,bad_tick_delta_count,non_monotonic_tick_count,max_tick_gap_ms,nan_count,inf_count,old_rising_events
"信标在正前方,直接经过,中速2.csv",12566,32,legacy_32,True,False,3333,0,82.0,0,0,0
"信标在正前方,直接经过,快速.csv",14973,32,legacy_32,True,False,4089,0,115.0,0,0,0
"信标在正前方,直接经过,慢速.csv",5513,32,legacy_32,True,False,1385,0,14.0,0,0,0
"信标在正前方,直接经过,慢速3.csv",5372,32,legacy_32,True,False,1392,0,58.0,0,0,0
"信标在正前方,直接经过,慢速4.csv",4910,32,legacy_32,True,False,755,0,33.0,0,0,0
"信标在正前方,直接经过,慢速5.csv",13445,32,legacy_32,True,False,3615,0,47.0,0,0,0
"信标在正前方,直接经过,慢速_2.csv",4936,32,legacy_32,True,False,842,0,4.0,0,0,0
"信标在正右方,直接经过,中速.csv",7936,32,legacy_32,True,False,2171,0,52.0,0,0,0
"信标在正右方,直接经过,中速2.csv",16005,32,legacy_32,True,False,2859,0,35.0,0,0,0
"信标在正右方,直接经过,快速.csv",6589,32,legacy_32,True,False,1654,0,901.0,0,0,1
"信标在正右方,直接经过,慢速.csv",5433,32,legacy_32,True,False,1476,0,60.0,0,0,0
"信标在正右方,直接经过,慢速3.csv",6224,32,legacy_32,True,False,1467,0,3.0,0,0,0
"信标在正右方,直接经过,慢速4.csv",4741,32,legacy_32,True,False,772,0,47.0,0,0,0
"信标在正右方,直接经过,慢速5.csv",23883,32,legacy_32,True,False,4724,0,148.0,0,0,0
"信标在正后方,直接经过,中速.csv",13234,32,legacy_32,True,False,2423,0,901.0,0,0,1
"信标在正后方,直接经过,中速2.csv",5579,32,legacy_32,True,False,1515,0,901.0,0,0,1
"信标在正后方,直接经过,快速.csv",8352,32,legacy_32,True,False,1286,0,902.0,0,0,0
"信标在正后方,直接经过,快速2.csv",18307,32,legacy_32,True,False,3680,0,901.0,0,0,1
"信标在正后方,直接经过,慢速.csv",12121,32,legacy_32,True,False,3205,0,32.0,0,0,0
"信标在正后方,直接经过,慢速2.csv",3839,32,legacy_32,True,False,1013,0,25.0,0,0,0
"信标在正后方,直接经过,慢速3.csv",5284,32,legacy_32,True,False,880,0,26.0,0,0,0
"信标在正左方,直接经过,中速.csv",9179,32,legacy_32,True,False,2130,0,901.0,0,0,1
"信标在正左方,直接经过,快速2.csv",4784,32,legacy_32,True,False,1121,0,901.0,0,0,1
"信标在正左方,直接经过,慢速.csv",4546,32,legacy_32,True,False,723,0,31.0,0,0,0
"信标在正左方,直接经过,慢速2.csv",4729,32,legacy_32,True,False,1271,0,21.0,0,0,0
实际没有碰到信标灯.csv,135868,32,legacy_32,True,False,31012,1,902.0,0,0,1
快速跑没有经过信标.csv,112812,32,legacy_32,True,False,25966,0,902.0,0,0,0
经过20次信标灯.csv,51455,32,legacy_32,True,False,11428,0,903.0,0,0,7
