I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
133252.000000,0.019043,0.005859,-1.041992,-0.037904,0.484177,-0.402725,0.009352,0.003880,-1.003179,-0.003344,0.234392,-0.371134,0.187690,0.516351,0.503510,-0.578135,-0.020660,-0.800652,0.153735,0.009352,0.003880,-1.003179,-0.003344,0.234392,-0.371134,0.749751,0.000000,0.000000,2.000000,4.000000,0.465873
133254.000000,0.014160,0.010254,-1.025391,0.023071,0.362226,-0.402725,0.009335,0.003807,-1.003156,0.034809,0.259363,-0.351050,0.187397,0.516822,0.503510,-0.578135,-0.020660,-0.800652,0.153735,0.009335,0.003807,-1.003156,0.034809,0.259363,-0.351050,0.749842,0.000000,0.000000,2.000000,4.000000,0.465873
133255.000000,0.012207,0.007813,-1.027344,0.023071,0.301250,-0.402725,0.009331,0.003752,-1.003149,0.045937,0.275843,-0.346287,0.187270,0.517081,0.503510,-0.578135,-0.020660,-0.800652,0.153735,0.009331,0.003752,-1.003149,0.045937,0.275843,-0.346287,0.749919,0.000000,0.000000,2.000000,4.000000,0.465873
133256.000000,0.012207,0.007813,-1.027344,0.023071,0.301250,-0.402725,0.009329,0.003686,-1.003147,0.053006,0.291152,-0.344686,0.187151,0.517356,0.503511,-0.578135,-0.020660,-0.800652,0.153735,0.009329,0.003686,-1.003147,0.053006,0.291152,-0.344686,0.750012,0.000000,0.000000,2.000000,4.000000,0.465873
133257.000000,0.011719,0.011230,-1.031738,0.023071,0.240274,-0.341750,0.009331,0.003609,-1.003147,0.056380,0.303929,-0.345646,0.187036,0.517643,0.503511,-0.578135,-0.020660,-0.800652,0.153735,0.009331,0.003609,-1.003147,0.056380,0.303929,-0.345646,0.750116,0.000000,0.000000,2.000000,4.000000,0.465873
133258.000000,0.011719,0.011230,-1.036133,0.145022,0.179299,-0.402725,0.009336,0.003523,-1.003151,0.056680,0.314067,-0.348258,0.186923,0.517941,0.503511,-0.578135,-0.020660,-0.800652,0.153735,0.009336,0.003523,-1.003151,0.056680,0.314067,-0.348258,0.750228,0.000000,0.000000,2.000000,4.000000,0.465873
133259.000000,0.012695,0.007324,-1.040039,0.266974,0.118323,-0.341750,0.009344,0.003427,-1.003157,0.056350,0.320449,-0.351460,0.186810,0.518245,0.503512,-0.578135,-0.020660,-0.800652,0.153735,0.009344,0.003427,-1.003157,0.056350,0.320449,-0.351460,0.750344,0.000000,0.000000,2.000000,4.000000,0.465873
133260.000000,0.013672,0.006348,-1.044434,0.145022,0.179299,-0.341750,0.009356,0.003325,-1.003165,0.058958,0.320814,-0.354503,0.186701,0.518549,0.503512,-0.578135,-0.020660,-0.800652,0.153735,0.009356,0.003325,-1.003165,0.058958,0.320814,-0.354503,0.750464,0.000000,0.000000,2.000000,4.000000,0.465873
133262.000000,0.011719,0.004883,-1.050293,0.145022,-0.064604,-0.341750,0.009391,0.003100,-1.003185,0.075141,0.298917,-0.359638,0.186508,0.519130,0.503513,-0.354975,-0.012685,-0.877600,0.094394,0.009391,0.003100,-1.003185,0.075141,0.298917,-0.359638,0.750705,0.000000,0.000000,2.000000,4.000000,0.465873
133264.000000,0.013184,0.006348,-1.050781,0.084047,-0.003628,-0.341750,0.009439,0.002857,-1.003208,0.096457,0.244982,-0.363993,0.186362,0.519618,0.503513,-0.354975,-0.012685,-0.877600,0.094394,0.009439,0.002857,-1.003208,0.096457,0.244982,-0.363993,0.750920,0.000000,0.000000,2.000000,4.000000,0.465873
