I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
395992.000000,0.000000,-0.000488,-1.047363,0.205998,0.118323,-0.097847,0.000539,0.003876,-1.004879,0.174548,0.025896,-0.137833,-0.030559,0.092362,-0.160666,-0.000000,-0.000000,-0.000000,-0.000000,0.000539,0.003876,-1.004879,0.174548,0.025896,-0.137833,0.351911,0.000000,0.000000,2.000000,4.000000,0.465873
395994.000000,0.001465,-0.000977,-1.049316,0.145022,0.057348,-0.097847,0.000553,0.003882,-1.004889,0.183275,0.026430,-0.146913,-0.030594,0.092319,-0.160666,-0.000000,-0.000000,-0.000000,-0.000000,0.000553,0.003882,-1.004889,0.183275,0.026430,-0.146913,0.351869,0.000000,0.000000,2.000000,4.000000,0.465873
395995.000000,0.001465,-0.000488,-1.041504,0.205998,0.118323,-0.097847,0.000561,0.003884,-1.004894,0.185664,0.030525,-0.147545,-0.030607,0.092303,-0.160666,-0.000000,-0.000000,-0.000000,-0.000000,0.000561,0.003884,-1.004894,0.185664,0.030525,-0.147545,0.351853,0.000000,0.000000,2.000000,4.000000,0.465873
395996.000000,0.001465,0.000488,-1.050293,0.145022,0.057348,-0.097847,0.000568,0.003885,-1.004899,0.187518,0.036159,-0.146030,-0.030618,0.092293,-0.160666,-0.000000,-0.000000,-0.000000,-0.000000,0.000568,0.003885,-1.004899,0.187518,0.036159,-0.146030,0.351840,0.000000,0.000000,2.000000,4.000000,0.465873
395997.000000,0.000977,-0.001953,-1.038574,0.145022,0.057348,-0.036871,0.000574,0.003886,-1.004903,0.189522,0.042852,-0.143061,-0.030627,0.092289,-0.160666,-0.000000,-0.000000,-0.000000,-0.000000,0.000574,0.003886,-1.004903,0.189522,0.042852,-0.143061,0.351830,0.000000,0.000000,2.000000,4.000000,0.465873
395998.000000,0.000000,-0.000977,-1.044434,0.145022,-0.003628,-0.036871,0.000581,0.003887,-1.004907,0.190900,0.049505,-0.138260,-0.030635,0.092293,-0.160666,-0.000000,-0.000000,-0.000000,-0.000000,0.000581,0.003887,-1.004907,0.190900,0.049505,-0.138260,0.351823,0.000000,0.000000,2.000000,4.000000,0.465873
395999.000000,0.001953,-0.002930,-1.047852,0.084047,0.118323,-0.097847,0.000587,0.003887,-1.004910,0.190331,0.054556,-0.131400,-0.030643,0.092301,-0.160666,-0.000000,-0.000000,-0.000000,-0.000000,0.000587,0.003887,-1.004910,0.190331,0.054556,-0.131400,0.351817,0.000000,0.000000,2.000000,4.000000,0.465873
396000.000000,0.000488,-0.002930,-1.042480,0.145022,-0.003628,-0.036871,0.000593,0.003887,-1.004913,0.187026,0.057632,-0.123278,-0.030655,0.092312,-0.160666,-0.000000,-0.000000,-0.000000,-0.000000,0.000593,0.003887,-1.004913,0.187026,0.057632,-0.123278,0.351808,0.000000,0.000000,2.000000,4.000000,0.465873
396003.000000,0.000977,-0.001953,-1.044922,0.145022,0.057348,-0.158823,0.000607,0.003885,-1.004917,0.167473,0.059249,-0.099396,-0.030728,0.092352,-0.160667,-0.000000,-0.000000,-0.000000,-0.000000,0.000607,0.003885,-1.004917,0.167473,0.059249,-0.099396,0.351744,0.000000,0.000000,2.000000,4.000000,0.465873
396004.000000,0.001465,-0.002441,-1.041992,0.205998,0.057348,-0.097847,0.000610,0.003884,-1.004917,0.161623,0.058906,-0.094334,-0.030765,0.092365,-0.160667,-0.000000,-0.000000,-0.000000,-0.000000,0.000610,0.003884,-1.004917,0.161623,0.058906,-0.094334,0.351711,0.000000,0.000000,2.000000,4.000000,0.465873
396006.000000,0.005371,-0.002930,-1.048340,0.266974,0.057348,-0.097847,0.000615,0.003880,-1.004915,0.156156,0.058378,-0.090780,-0.030848,0.092390,-0.160667,-0.000000,-0.000000,-0.000000,-0.000000,0.000615,0.003880,-1.004915,0.156156,0.058378,-0.090780,0.351634,0.000000,0.000000,2.000000,4.000000,0.465873
396007.000000,0.003906,-0.001953,-1.041504,0.266974,-0.003628,-0.097847,0.000617,0.003878,-1.004913,0.158162,0.057760,-0.090756,-0.030888,0.092401,-0.160667,-0.000000,-0.000000,-0.000000,-0.000000,0.000617,0.003878,-1.004913,0.158162,0.057760,-0.090756,0.351597,0.000000,0.000000,2.000000,4.000000,0.465873
