I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
215227.000000,0.004883,0.001953,-1.046875,0.145022,-0.003628,-0.097847,0.003081,0.004466,-1.004875,0.147170,0.013421,-0.111636,-0.198286,0.231100,1.427163,-0.000000,-0.000000,-0.000000,-0.000000,0.003081,0.004466,-1.004875,0.147170,0.013421,-0.111636,0.274601,0.000000,0.000000,2.000000,4.000000,0.465873
215228.000000,0.004395,-0.001465,-1.043457,0.084047,0.057348,-0.036871,0.003080,0.004467,-1.004867,0.145929,0.016408,-0.109887,-0.198295,0.231080,1.427163,-0.000000,-0.000000,-0.000000,-0.000000,0.003080,0.004467,-1.004867,0.145929,0.016408,-0.109887,0.274580,0.000000,0.000000,2.000000,4.000000,0.465873
215229.000000,0.004883,-0.001953,-1.043945,0.084047,0.057348,-0.097847,0.003079,0.004469,-1.004858,0.143254,0.019112,-0.108511,-0.198306,0.231062,1.427163,-0.000000,-0.000000,-0.000000,-0.000000,0.003079,0.004469,-1.004858,0.143254,0.019112,-0.108511,0.274559,0.000000,0.000000,2.000000,4.000000,0.465873
215230.000000,0.003906,0.000977,-1.045898,0.145022,0.118323,-0.036871,0.003078,0.004471,-1.004849,0.139445,0.021988,-0.106050,-0.198321,0.231047,1.427163,-0.000000,-0.000000,-0.000000,-0.000000,0.003078,0.004471,-1.004849,0.139445,0.021988,-0.106050,0.274538,0.000000,0.000000,2.000000,4.000000,0.465873
215233.000000,0.004883,-0.000488,-1.047852,0.145022,0.057348,-0.097847,0.003074,0.004479,-1.004820,0.133218,0.035147,-0.088358,-0.198383,0.231027,1.427163,-0.000000,-0.000000,-0.000000,-0.000000,0.003074,0.004479,-1.004820,0.133218,0.035147,-0.088358,0.274483,0.000000,0.000000,2.000000,4.000000,0.465873
215234.000000,0.004883,-0.001953,-1.045410,0.205998,0.118323,-0.036871,0.003072,0.004482,-1.004809,0.133102,0.041913,-0.081341,-0.198405,0.231032,1.427163,-0.000000,-0.000000,-0.000000,-0.000000,0.003072,0.004482,-1.004809,0.133102,0.041913,-0.081341,0.274473,0.000000,0.000000,2.000000,4.000000,0.465873
215235.000000,0.006348,-0.000488,-1.044922,0.205998,-0.064604,-0.158823,0.003071,0.004486,-1.004798,0.133731,0.049308,-0.075809,-0.198426,0.231045,1.427163,-0.000000,-0.000000,-0.000000,-0.000000,0.003071,0.004486,-1.004798,0.133731,0.049308,-0.075809,0.274468,0.000000,0.000000,2.000000,4.000000,0.465873
215236.000000,0.004395,-0.001465,-1.044434,0.084047,0.057348,-0.036871,0.003069,0.004490,-1.004787,0.135680,0.056178,-0.072413,-0.198445,0.231064,1.427163,-0.000000,-0.000000,-0.000000,-0.000000,0.003069,0.004490,-1.004787,0.135680,0.056178,-0.072413,0.274471,0.000000,0.000000,2.000000,4.000000,0.465873
215237.000000,0.005859,0.000488,-1.044922,0.084047,-0.003628,0.024104,0.003067,0.004495,-1.004775,0.138029,0.061037,-0.070654,-0.198462,0.231088,1.427163,-0.000000,-0.000000,-0.000000,-0.000000,0.003067,0.004495,-1.004775,0.138029,0.061037,-0.070654,0.274478,0.000000,0.000000,2.000000,4.000000,0.465873
215238.000000,0.004883,0.000488,-1.044922,0.145022,0.057348,-0.158823,0.003066,0.004500,-1.004764,0.139147,0.063257,-0.069238,-0.198478,0.231114,1.427162,-0.000000,-0.000000,-0.000000,-0.000000,0.003066,0.004500,-1.004764,0.139147,0.063257,-0.069238,0.274488,0.000000,0.000000,2.000000,4.000000,0.465873
215239.000000,0.007813,0.000977,-1.046875,0.145022,0.118323,-0.158823,0.003064,0.004505,-1.004752,0.139143,0.063264,-0.068159,-0.198494,0.231140,1.427162,-0.000000,-0.000000,-0.000000,-0.000000,0.003064,0.004505,-1.004752,0.139143,0.063264,-0.068159,0.274498,0.000000,0.000000,2.000000,4.000000,0.465873
215240.000000,0.002930,0.001953,-1.044434,0.084047,-0.003628,0.024104,0.003062,0.004510,-1.004740,0.139157,0.061839,-0.068446,-0.198510,0.231165,1.427162,-0.000000,-0.000000,-0.000000,-0.000000,0.003062,0.004510,-1.004740,0.139157,0.061839,-0.068446,0.274507,0.000000,0.000000,2.000000,4.000000,0.465873
