I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
480028.000000,0.007813,0.005859,-1.043945,0.084047,0.118323,-0.036871,0.007209,0.010934,-1.004830,0.123741,0.037738,-0.131185,-0.636831,0.411259,-0.662856,-0.000000,-0.000000,-0.000000,0.000000,0.007209,0.010934,-1.004830,0.123741,0.037738,-0.131185,0.469811,0.000000,0.000000,2.000000,12.000000,1.043811
480029.000000,0.006348,0.005371,-1.045898,0.084047,0.118323,-0.158823,0.007217,0.010936,-1.004825,0.119470,0.041584,-0.128064,-0.636878,0.411260,-0.662855,-0.000000,-0.000000,-0.000000,0.000000,0.007217,0.010936,-1.004825,0.119470,0.041584,-0.128064,0.469838,0.000000,0.000000,2.000000,12.000000,1.043811
480030.000000,0.009766,0.004395,-1.041992,0.084047,0.057348,-0.097847,0.007223,0.010937,-1.004818,0.113806,0.046310,-0.123495,-0.636932,0.411265,-0.662856,-0.000000,-0.000000,-0.000000,0.000000,0.007223,0.010937,-1.004818,0.113806,0.046310,-0.123495,0.469872,0.000000,0.000000,2.000000,12.000000,1.043811
480032.000000,0.008301,0.005371,-1.044922,0.023071,0.057348,-0.097847,0.007235,0.010935,-1.004801,0.100099,0.056767,-0.114337,-0.637058,0.411292,-0.662856,-0.000000,-0.000000,-0.000000,0.000000,0.007235,0.010935,-1.004801,0.100099,0.056767,-0.114337,0.469965,0.000000,0.000000,2.000000,12.000000,1.043811
480034.000000,0.008789,0.003418,-1.046387,0.084047,0.118323,0.024104,0.007244,0.010931,-1.004780,0.085720,0.067924,-0.106858,-0.637214,0.411340,-0.662856,-0.000000,-0.000000,-0.000000,0.000000,0.007244,0.010931,-1.004780,0.085720,0.067924,-0.106858,0.470092,0.000000,0.000000,2.000000,12.000000,1.043811
480035.000000,0.008789,0.003906,-1.046387,0.145022,0.057348,-0.036871,0.007247,0.010928,-1.004768,0.080934,0.074154,-0.101286,-0.637300,0.411373,-0.662857,-0.000000,-0.000000,-0.000000,0.000000,0.007247,0.010928,-1.004768,0.080934,0.074154,-0.101286,0.470168,0.000000,0.000000,2.000000,12.000000,1.043811
480036.000000,0.010254,0.009766,-1.043945,0.023071,0.179299,-0.036871,0.007249,0.010924,-1.004755,0.078352,0.080074,-0.094360,-0.637389,0.411413,-0.662857,-0.000000,-0.000000,-0.000000,0.000000,0.007249,0.010924,-1.004755,0.078352,0.080074,-0.094360,0.470250,0.000000,0.000000,2.000000,12.000000,1.043811
480037.000000,0.008301,0.005371,-1.046875,0.084047,0.179299,-0.036871,0.007251,0.010919,-1.004741,0.076526,0.085455,-0.086769,-0.637479,0.411458,-0.662857,-0.000000,-0.000000,-0.000000,0.000000,0.007251,0.010919,-1.004741,0.076526,0.085455,-0.086769,0.470337,0.000000,0.000000,2.000000,12.000000,1.043811
480038.000000,0.009277,0.005371,-1.047852,0.084047,0.057348,-0.036871,0.007252,0.010913,-1.004726,0.074293,0.090928,-0.078665,-0.637572,0.411508,-0.662858,-0.000000,-0.000000,-0.000000,0.000000,0.007252,0.010913,-1.004726,0.074293,0.090928,-0.078665,0.470431,0.000000,0.000000,2.000000,12.000000,1.043811
480039.000000,0.008301,0.003906,-1.044922,0.084047,0.118323,-0.097847,0.007252,0.010907,-1.004711,0.072168,0.096280,-0.070190,-0.637667,0.411563,-0.662859,-0.000000,-0.000000,-0.000000,0.000000,0.007252,0.010907,-1.004711,0.072168,0.096280,-0.070190,0.470530,0.000000,0.000000,2.000000,12.000000,1.043811
