I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
719550.000000,-0.364746,0.016602,-0.925781,-1.257417,12.618323,-0.890530,-0.377427,0.026990,-0.920059,-1.720110,9.948028,-0.235117,-0.948198,-20.749653,5.691285,0.001007,0.198412,0.221679,2.645907,-0.377427,0.026990,-0.920059,-1.720110,9.948028,-0.235117,20.778616,0.000000,0.000000,3.000000,5.000000,1.046374
719552.000000,-0.361328,0.019531,-0.906250,-1.013514,13.898811,-1.195408,-0.376672,0.025181,-0.920203,-1.720132,10.598459,-0.319321,-0.952068,-20.729364,5.690992,0.000618,0.121825,-0.635889,3.554587,-0.376672,0.025181,-0.920203,-1.720132,10.598459,-0.319321,20.758442,0.000000,0.000000,3.000000,5.000000,1.046374
719554.000000,-0.361328,0.015137,-0.916016,-1.257417,14.203690,-1.256384,-0.375892,0.023409,-0.920269,-1.638056,11.311950,-0.467866,-0.955763,-20.707682,5.690660,0.000618,0.121825,-0.635889,3.554587,-0.375892,0.023409,-0.920269,-1.638056,11.311950,-0.467866,20.736870,0.000000,0.000000,3.000000,5.000000,1.046374
719555.000000,-0.347656,0.032227,-0.924316,-1.318392,14.874421,-1.317359,-0.375495,0.022541,-0.920270,-1.580754,11.691813,-0.558487,-0.957326,-20.696280,5.689959,0.000618,0.121825,-0.635889,3.554587,-0.375495,0.022541,-0.920270,-1.580754,11.691813,-0.558487,20.725517,0.000000,0.000000,3.000000,5.000000,1.046374
719556.000000,-0.350586,0.034668,-0.895508,-1.257417,15.301250,-1.378335,-0.375094,0.021688,-0.920248,-1.523126,12.081364,-0.654533,-0.958784,-20.684483,5.689144,0.000618,0.121825,-0.635889,3.554587,-0.375094,0.021688,-0.920248,-1.523126,12.081364,-0.654533,20.713764,0.000000,0.000000,3.000000,5.000000,1.046374
719557.000000,-0.364258,0.021973,-0.885742,-1.379368,15.362226,-1.317359,-0.374692,0.020850,-0.920200,-1.469385,12.480127,-0.752695,-0.960139,-20.672291,5.688214,0.000618,0.121825,-0.635889,3.554587,-0.374692,0.020850,-0.920200,-1.469385,12.480127,-0.752695,20.701616,0.000000,0.000000,3.000000,5.000000,1.046374
719558.000000,-0.347656,0.024414,-0.916504,-1.562295,15.484178,-1.439311,-0.374287,0.020030,-0.920128,-1.421203,12.883446,-0.849647,-0.961399,-20.659689,5.687170,0.000618,0.121825,-0.635889,3.554587,-0.374287,0.020030,-0.920128,-1.421203,12.883446,-0.849647,20.689054,0.000000,0.000000,3.000000,5.000000,1.046374
719559.000000,-0.349609,0.021973,-0.939941,-1.867173,16.032957,-1.439311,-0.373881,0.019228,-0.920028,-1.383380,13.281117,-0.942397,-0.962574,-20.646687,5.686017,0.000618,0.121825,-0.635889,3.554587,-0.373881,0.019228,-0.920028,-1.383380,13.281117,-0.942397,20.676090,0.000000,0.000000,3.000000,5.000000,1.046374
719560.000000,-0.371094,0.030762,-0.902344,-1.989124,16.459787,-1.561262,-0.373475,0.018447,-0.919901,-1.363924,13.668170,-1.029618,-0.963687,-20.633297,5.684761,0.000618,0.121825,-0.635889,3.554587,-0.373475,0.018447,-0.919901,-1.363924,13.668170,-1.029618,20.662739,0.000000,0.000000,3.000000,5.000000,1.046374
719563.000000,-0.375000,0.028809,-0.907227,-2.415953,16.886616,-1.439311,-0.372261,0.016241,-0.919344,-1.450283,14.785717,-1.259230,-0.966916,-20.590860,5.680430,0.000380,0.846801,-3.478436,4.884516,-0.372261,0.016241,-0.919344,-1.450283,14.785717,-1.259230,20.620411,0.000000,0.000000,3.000000,5.000000,1.046374
719564.000000,-0.389648,0.023926,-0.919434,-2.598880,17.008568,-1.378335,-0.371859,0.015556,-0.919099,-1.521950,15.129622,-1.321695,-0.968041,-20.575994,5.678824,0.000380,0.846801,-3.478436,4.884516,-0.371859,0.015556,-0.919099,-1.521950,15.129622,-1.321695,20.605585,0.000000,0.000000,3.000000,5.000000,1.046374
719565.000000,-0.383789,0.021484,-0.909180,-2.720831,17.069544,-1.378335,-0.371459,0.014897,-0.918823,-1.611300,15.453257,-1.373726,-0.969227,-20.560808,5.677155,0.000380,0.846801,-3.478436,4.884516,-0.371459,0.014897,-0.918823,-1.611300,15.453257,-1.373726,20.590439,0.000000,0.000000,3.000000,5.000000,1.046374
719566.000000,-0.381836,0.021484,-0.928711,-2.781807,17.008568,-1.378335,-0.371064,0.014266,-0.918517,-1.716001,15.754596,-1.414319,-0.970496,-20.545321,5.675436,0.000380,0.846801,-3.478436,4.884516,-0.371064,0.014266,-0.918517,-1.716001,15.754596,-1.414319,20.574995,0.000000,0.000000,3.000000,5.000000,1.046374
719567.000000,-0.398926,0.033691,-0.911621,-2.537905,16.886616,-1.317359,-0.370672,0.013664,-0.918180,-1.831187,16.028131,-1.443817,-0.971863,-20.529551,5.673675,0.000380,0.846801,-3.478436,4.884516,-0.370672,0.013664,-0.918180,-1.831187,16.028131,-1.443817,20.559271,0.000000,0.000000,3.000000,5.000000,1.046374
719568.000000,-0.396484,0.045898,-0.935059,-2.537905,16.825642,-1.378335,-0.370286,0.013092,-0.917812,-1.949479,16.267822,-1.462654,-0.973334,-20.513538,5.671891,0.000380,0.846801,-3.478436,4.884516,-0.370286,0.013092,-0.917812,-1.949479,16.267822,-1.462654,20.543306,0.000000,0.000000,3.000000,5.000000,1.046374
719569.000000,-0.393066,0.021973,-0.947754,-2.598880,17.008568,-1.378335,-0.369907,0.012550,-0.917414,-2.064224,16.470720,-1.471441,-0.974913,-20.497322,5.670092,0.000380,0.846801,-3.478436,4.884516,-0.369907,0.012550,-0.917414,-2.064224,16.470720,-1.471441,20.527143,0.000000,0.000000,3.000000,5.000000,1.046374
719570.000000,-0.389160,0.029297,-0.937988,-2.659856,17.130520,-1.378335,-0.369535,0.012038,-0.916987,-2.172318,16.639215,-1.472261,-0.976594,-20.480936,5.668286,0.000380,0.846801,-3.478436,4.884516,-0.369535,0.012038,-0.916987,-2.172318,16.639215,-1.472261,20.510815,0.000000,0.000000,3.000000,5.000000,1.046374
719572.000000,-0.421875,-0.029785,-0.919434,-2.598880,17.313446,-1.134432,-0.368818,0.011111,-0.916045,-2.361108,16.893803,-1.458235,-0.980242,-20.447756,5.664683,0.000233,0.905936,-7.153760,5.701093,-0.368818,0.011111,-0.916045,-2.361108,16.893803,-1.458235,20.477757,0.000000,0.000000,3.000000,5.000000,1.046374
719574.000000,-0.392090,0.012695,-0.972656,-2.598880,17.496372,-0.890530,-0.368146,0.010314,-0.914994,-2.487621,17.060966,-1.419352,-0.984191,-20.414190,5.661137,0.000233,0.905936,-7.153760,5.701093,-0.368146,0.010314,-0.914994,-2.487621,17.060966,-1.419352,20.444323,0.000000,0.000000,3.000000,5.000000,1.046374
719575.000000,-0.367188,0.030762,-0.954590,-2.294002,17.496372,-0.890530,-0.367830,0.009965,-0.914430,-2.523047,17.122881,-1.387190,-0.986240,-20.397303,5.659407,0.000233,0.905936,-7.153760,5.701093,-0.367830,0.009965,-0.914430,-2.523047,17.122881,-1.387190,20.427504,0.000000,0.000000,3.000000,5.000000,1.046374
719576.000000,-0.396973,0.037109,-0.937988,-1.867173,17.618324,-1.012481,-0.367529,0.009648,-0.913843,-2.543823,17.179430,-1.346743,-0.988324,-20.380354,5.657718,0.000233,0.905936,-7.153760,5.701093,-0.367529,0.009648,-0.913843,-2.543823,17.179430,-1.346743,20.410625,0.000000,0.000000,3.000000,5.000000,1.046374
