I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
778156.000000,-0.378906,0.304688,-1.045898,-9.854979,12.069543,-7.719798,-0.000934,0.358102,-1.005552,1.992874,16.935827,6.158227,0.086402,0.013435,-0.143266,70.915977,-82.509369,-68.840591,97.216537,-0.000934,0.358102,-1.005552,1.992874,16.935827,6.158227,0.461636,0.000000,0.000000,2.000000,12.000000,1.000046
778157.000000,-0.354492,0.666992,-1.448730,-7.842782,3.593933,-9.366140,-0.001600,0.358640,-1.005371,0.816518,17.508711,4.971053,0.086506,0.030903,-0.138147,70.915977,-82.509369,-68.840591,97.216537,-0.001600,0.358640,-1.005371,0.816518,17.508711,4.971053,0.461781,0.000000,0.000000,2.000000,12.000000,1.000046
778158.000000,-0.354492,0.666992,-1.448730,-7.842782,3.593933,-9.366140,-0.002226,0.359158,-1.005176,-0.500920,17.587595,3.588739,0.085291,0.048451,-0.134412,70.915977,-82.509369,-68.840591,97.216537,-0.002226,0.359158,-1.005176,-0.500920,17.587595,3.588739,0.461276,0.000000,0.000000,2.000000,12.000000,1.000046
778159.000000,-0.529785,0.336426,-1.958984,-4.854978,-0.857287,-15.524677,-0.002815,0.359664,-1.004975,-1.830170,17.188320,2.047735,0.082745,0.065600,-0.132218,70.915977,-82.509369,-68.840591,97.216537,-0.002815,0.359664,-1.004975,-1.830170,17.188320,2.047735,0.460077,0.000000,0.000000,2.000000,12.000000,1.000046
778160.000000,-0.529785,0.336426,-1.958984,-4.854978,-0.857287,-15.524677,-0.003371,0.360167,-1.004780,-3.046947,16.328505,0.374927,0.078980,0.081891,-0.131700,70.915977,-82.509369,-68.840591,97.216537,-0.003371,0.360167,-1.004780,-3.046947,16.328505,0.374927,0.458207,0.000000,0.000000,2.000000,12.000000,1.000046
778163.000000,-0.315430,0.147461,-0.640625,5.754778,-14.942653,-17.231993,-0.004910,0.361733,-1.004365,-5.211724,10.304102,-5.292919,0.062746,0.120044,-0.141351,79.826408,-81.154755,-74.692123,103.694954,-0.004910,0.361733,-1.004365,-5.211724,10.304102,-5.292919,0.448965,0.000000,0.000000,2.000000,12.000000,1.000046
778164.000000,0.356934,-0.004883,-1.749512,-1.135465,-28.601189,-15.341750,-0.005408,0.362295,-1.004348,-5.295533,7.097948,-7.217476,0.056728,0.127108,-0.148441,79.826408,-81.154755,-74.692123,103.694954,-0.005408,0.362295,-1.004348,-5.295533,7.097948,-7.217476,0.444728,0.000000,0.000000,2.000000,12.000000,1.000046
778165.000000,0.256836,0.198242,-1.829590,-1.318392,-21.223141,-12.841750,-0.005911,0.362884,-1.004433,-5.105708,3.612116,-9.028816,0.050906,0.130686,-0.157346,79.826408,-81.154755,-74.692123,103.694954,-0.005911,0.362884,-1.004433,-5.105708,3.612116,-9.028816,0.439955,0.000000,0.000000,2.000000,12.000000,1.000046
778166.000000,0.333496,-0.037109,-0.323242,0.815754,-4.576798,-9.671019,-0.006422,0.363499,-1.004646,-4.745975,0.021925,-10.627314,0.045458,0.130675,-0.167854,79.826408,-81.154755,-74.692123,103.694954,-0.006422,0.363499,-1.004646,-4.745975,0.021925,-10.627314,0.434678,0.000000,0.000000,2.000000,12.000000,1.000046
778167.000000,0.187988,0.182617,-1.045410,-3.513514,-9.637774,-4.853944,-0.006944,0.364140,-1.005013,-4.294379,-3.419758,-11.901129,0.040484,0.127221,-0.179638,79.826408,-81.154755,-74.692123,103.694954,-0.006944,0.364140,-1.005013,-4.294379,-3.419758,-11.901129,0.428998,0.000000,0.000000,2.000000,12.000000,1.000046
778168.000000,-0.135742,0.116211,-0.964844,-0.708636,-1.710945,-3.207603,-0.007476,0.364804,-1.005558,-3.793731,-6.381691,-12.749429,0.036042,0.120806,-0.192271,79.826408,-81.154755,-74.692123,103.694954,-0.007476,0.364804,-1.005558,-3.793731,-6.381691,-12.749429,0.423137,0.000000,0.000000,2.000000,12.000000,1.000046
778169.000000,-0.135742,0.116211,-0.964844,-0.708636,-1.710945,-3.207603,-0.008016,0.365486,-1.006302,-3.286091,-8.644453,-13.117025,0.032149,0.112128,-0.205273,79.826408,-81.154755,-74.692123,103.694954,-0.008016,0.365486,-1.006302,-3.286091,-8.644453,-13.117025,0.417376,0.000000,0.000000,2.000000,12.000000,1.000046
778170.000000,0.258789,-0.044434,-0.170410,6.242583,7.069543,-0.036871,-0.008561,0.366180,-1.007259,-2.800452,-10.127948,-13.014200,0.028794,0.101966,-0.218173,79.826408,-81.154755,-74.692123,103.694954,-0.008561,0.366180,-1.007259,-2.800452,-10.127948,-13.014200,0.411987,0.000000,0.000000,2.000000,12.000000,1.000046
778173.000000,0.301758,0.790527,0.834473,23.681608,8.167104,5.877763,-0.010207,0.368266,-1.011496,-0.587865,-9.735664,-10.306035,0.023445,0.070734,-0.252182,89.543411,-83.797020,-73.652962,104.584702,-0.010207,0.368266,-1.011496,-0.587865,-9.735664,-10.306035,0.401699,0.000000,0.000000,2.000000,12.000000,1.000046
778174.000000,0.542480,0.386719,-0.322266,23.193804,5.545153,8.438738,-0.010750,0.368935,-1.013368,0.875109,-8.345054,-8.775635,0.024142,0.062362,-0.260840,89.543411,-83.797020,-73.652962,104.584702,-0.010750,0.368935,-1.013368,0.875109,-8.345054,-8.775635,0.401443,0.000000,0.000000,2.000000,12.000000,1.000046
