I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
846919.000000,0.000488,0.001465,-1.043945,0.205998,-0.003628,-0.036871,0.001497,0.005817,-1.004297,0.180982,0.070124,-0.134754,-0.281071,0.071726,0.953201,0.000000,0.000000,0.000000,-0.000000,0.001497,0.005817,-1.004297,0.180982,0.070124,-0.134754,0.106874,0.000000,0.000000,2.000000,12.000000,0.847208
846920.000000,0.001953,0.000488,-1.043457,0.145022,0.118323,-0.219798,0.001494,0.005809,-1.004300,0.184776,0.069368,-0.138787,-0.281082,0.071776,0.953200,0.000000,0.000000,0.000000,-0.000000,0.001494,0.005809,-1.004300,0.184776,0.069368,-0.138787,0.106888,0.000000,0.000000,2.000000,12.000000,0.847208
846923.000000,0.002441,-0.000977,-1.046387,0.205998,0.057348,-0.036871,0.001485,0.005783,-1.004307,0.186572,0.061989,-0.142073,-0.281107,0.071912,0.953200,0.000000,0.000000,0.000000,-0.000000,0.001485,0.005783,-1.004307,0.186572,0.061989,-0.142073,0.106930,0.000000,0.000000,2.000000,12.000000,0.847208
846924.000000,0.002930,0.002441,-1.046387,0.145022,0.118323,-0.097847,0.001482,0.005774,-1.004307,0.185518,0.057254,-0.139482,-0.281117,0.071950,0.953200,0.000000,0.000000,0.000000,-0.000000,0.001482,0.005774,-1.004307,0.185518,0.057254,-0.139482,0.106939,0.000000,0.000000,2.000000,12.000000,0.847208
846925.000000,0.004883,-0.000977,-1.046387,0.205998,-0.003628,-0.097847,0.001479,0.005765,-1.004306,0.184740,0.053483,-0.134720,-0.281128,0.071984,0.953199,0.000000,0.000000,0.000000,-0.000000,0.001479,0.005765,-1.004306,0.184740,0.053483,-0.134720,0.106946,0.000000,0.000000,2.000000,12.000000,0.847208
846926.000000,0.004883,-0.000977,-1.046387,0.205998,-0.003628,-0.097847,0.001475,0.005756,-1.004305,0.183659,0.051382,-0.128992,-0.281140,0.072015,0.953199,0.000000,0.000000,0.000000,-0.000000,0.001475,0.005756,-1.004305,0.183659,0.051382,-0.128992,0.106951,0.000000,0.000000,2.000000,12.000000,0.847208
846927.000000,0.003418,0.001953,-1.046875,0.327949,-0.064604,-0.158823,0.001472,0.005748,-1.004303,0.182718,0.048954,-0.123535,-0.281152,0.072044,0.953199,0.000000,0.000000,0.000000,-0.000000,0.001472,0.005748,-1.004303,0.182718,0.048954,-0.123535,0.106954,0.000000,0.000000,2.000000,12.000000,0.847208
846928.000000,0.004883,0.000000,-1.047363,0.205998,0.057348,-0.097847,0.001468,0.005739,-1.004300,0.183639,0.044610,-0.119135,-0.281164,0.072069,0.953199,0.000000,0.000000,0.000000,-0.000000,0.001468,0.005739,-1.004300,0.183639,0.044610,-0.119135,0.106955,0.000000,0.000000,2.000000,12.000000,0.847208
846929.000000,0.004883,0.000000,-1.047363,0.205998,0.057348,-0.097847,0.001464,0.005729,-1.004296,0.187156,0.039346,-0.116066,-0.281171,0.072089,0.953199,0.000000,0.000000,0.000000,-0.000000,0.001464,0.005729,-1.004296,0.187156,0.039346,-0.116066,0.106958,0.000000,0.000000,2.000000,12.000000,0.847208
846930.000000,0.005371,0.001953,-1.046875,0.145022,-0.003628,-0.036871,0.001459,0.005720,-1.004291,0.191787,0.034943,-0.113822,-0.281175,0.072104,0.953199,0.000000,0.000000,0.000000,-0.000000,0.001459,0.005720,-1.004291,0.191787,0.034943,-0.113822,0.106962,0.000000,0.000000,2.000000,12.000000,0.847208
846933.000000,0.001953,0.002930,-1.047363,0.327949,-0.003628,-0.097847,0.001445,0.005692,-1.004275,0.194491,0.024260,-0.100715,-0.281173,0.072127,0.953199,0.000000,0.000000,0.000000,-0.000000,0.001445,0.005692,-1.004275,0.194491,0.024260,-0.100715,0.106975,0.000000,0.000000,2.000000,12.000000,0.847208
