I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
280060.000000,0.003418,0.008301,-1.040527,0.084047,0.118323,-0.036871,0.002231,0.013417,-1.004029,0.086735,0.099525,-0.105534,-0.644679,0.166331,-0.326639,0.000000,0.000000,-0.000000,-0.000000,0.002231,0.013417,-1.004029,0.086735,0.099525,-0.105534,0.306168,0.000000,0.000000,2.000000,4.000000,0.465873
280063.000000,0.003418,0.009277,-1.046387,0.205998,0.057348,-0.097847,0.002207,0.013427,-1.004026,0.099118,0.103678,-0.092954,-0.644898,0.166511,-0.326641,0.000000,0.000000,-0.000000,-0.000000,0.002207,0.013427,-1.004026,0.099118,0.103678,-0.092954,0.306446,0.000000,0.000000,2.000000,4.000000,0.465873
280064.000000,0.003418,0.012207,-1.043945,0.145022,0.118323,-0.097847,0.002198,0.013429,-1.004026,0.107829,0.101398,-0.087278,-0.644957,0.166568,-0.326642,0.000000,0.000000,-0.000000,-0.000000,0.002198,0.013429,-1.004026,0.107829,0.101398,-0.087278,0.306525,0.000000,0.000000,2.000000,4.000000,0.465873
280065.000000,0.004395,0.010742,-1.043457,0.205998,0.057348,-0.158823,0.002189,0.013430,-1.004026,0.117491,0.098612,-0.082952,-0.645006,0.166623,-0.326643,0.000000,0.000000,-0.000000,-0.000000,0.002189,0.013430,-1.004026,0.117491,0.098612,-0.082952,0.306594,0.000000,0.000000,2.000000,4.000000,0.465873
280066.000000,0.004395,0.010742,-1.043457,0.205998,0.057348,-0.158823,0.002179,0.013431,-1.004026,0.126994,0.095684,-0.080661,-0.645046,0.166675,-0.326643,0.000000,0.000000,-0.000000,-0.000000,0.002179,0.013431,-1.004026,0.126994,0.095684,-0.080661,0.306654,0.000000,0.000000,2.000000,4.000000,0.465873
280067.000000,0.003906,0.014160,-1.047852,0.145022,-0.003628,-0.158823,0.002169,0.013431,-1.004027,0.136336,0.091789,-0.081066,-0.645076,0.166723,-0.326644,0.000000,0.000000,-0.000000,-0.000000,0.002169,0.013431,-1.004027,0.136336,0.091789,-0.081066,0.306703,0.000000,0.000000,2.000000,4.000000,0.465873
280068.000000,0.005859,0.012207,-1.049316,0.023071,0.118323,-0.219798,0.002158,0.013430,-1.004029,0.144953,0.086605,-0.084677,-0.645098,0.166765,-0.326645,0.000000,0.000000,-0.000000,-0.000000,0.002158,0.013430,-1.004029,0.144953,0.086605,-0.084677,0.306743,0.000000,0.000000,2.000000,4.000000,0.465873
280069.000000,0.004883,0.008789,-1.042969,0.205998,0.057348,-0.158823,0.002147,0.013429,-1.004031,0.151197,0.081331,-0.091365,-0.645113,0.166802,-0.326645,0.000000,0.000000,-0.000000,-0.000000,0.002147,0.013429,-1.004031,0.151197,0.081331,-0.091365,0.306774,0.000000,0.000000,2.000000,4.000000,0.465873
280070.000000,0.004395,0.009277,-1.045410,0.023071,0.118323,-0.097847,0.002136,0.013427,-1.004033,0.154459,0.077329,-0.100052,-0.645125,0.166835,-0.326646,0.000000,0.000000,-0.000000,-0.000000,0.002136,0.013427,-1.004033,0.154459,0.077329,-0.100052,0.306800,0.000000,0.000000,2.000000,4.000000,0.465873
280073.000000,0.004883,0.008301,-1.046387,0.145022,0.057348,-0.158823,0.002102,0.013419,-1.004043,0.148645,0.072171,-0.114915,-0.645168,0.166922,-0.326647,0.000000,0.000000,-0.000000,-0.000000,0.002102,0.013419,-1.004043,0.148645,0.072171,-0.114915,0.306879,0.000000,0.000000,2.000000,4.000000,0.465873
