I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
540860.000000,0.010254,0.000977,-1.040039,0.205998,0.118323,-0.097847,0.006722,0.005499,-1.004068,0.187204,0.054583,-0.101473,0.014596,0.473532,0.791374,0.000000,0.000000,0.000000,0.000014,0.006722,0.005499,-1.004068,0.187204,0.054583,-0.101473,0.597202,0.000000,0.000000,2.000000,12.000000,1.043811
540862.000000,0.009766,0.002441,-1.045898,0.084047,0.057348,-0.097847,0.006702,0.005488,-1.004087,0.198344,0.038419,-0.103926,0.014533,0.473502,0.791373,0.000000,0.000000,0.000000,0.000008,0.006702,0.005488,-1.004087,0.198344,0.038419,-0.103926,0.597138,0.000000,0.000000,2.000000,12.000000,1.043811
540864.000000,0.010742,-0.002441,-1.045410,0.145022,-0.064604,-0.158823,0.006680,0.005476,-1.004107,0.194909,0.029896,-0.105705,0.014473,0.473451,0.791372,0.000000,0.000000,0.000000,0.000008,0.006680,0.005476,-1.004107,0.194909,0.029896,-0.105705,0.597060,0.000000,0.000000,2.000000,12.000000,1.043811
540865.000000,0.010742,-0.002441,-1.045410,0.145022,-0.064604,-0.158823,0.006669,0.005469,-1.004117,0.188627,0.026937,-0.105366,0.014434,0.473420,0.791371,0.000000,0.000000,0.000000,0.000008,0.006669,0.005469,-1.004117,0.188627,0.026937,-0.105366,0.597012,0.000000,0.000000,2.000000,12.000000,1.043811
540866.000000,0.005859,0.000000,-1.044434,0.145022,-0.064604,-0.097847,0.006658,0.005461,-1.004128,0.181341,0.023745,-0.105300,0.014388,0.473387,0.791371,0.000000,0.000000,0.000000,0.000008,0.006658,0.005461,-1.004128,0.181341,0.023745,-0.105300,0.596957,0.000000,0.000000,2.000000,12.000000,1.043811
540867.000000,0.007324,0.002930,-1.047852,0.205998,0.057348,-0.036871,0.006646,0.005453,-1.004139,0.173726,0.019764,-0.105596,0.014335,0.473349,0.791371,0.000000,0.000000,0.000000,0.000008,0.006646,0.005453,-1.004139,0.173726,0.019764,-0.105596,0.596893,0.000000,0.000000,2.000000,12.000000,1.043811
540868.000000,0.011230,0.000488,-1.045410,0.205998,-0.003628,-0.036871,0.006635,0.005445,-1.004150,0.166900,0.015447,-0.105181,0.014275,0.473307,0.791370,0.000000,0.000000,0.000000,0.000008,0.006635,0.005445,-1.004150,0.166900,0.015447,-0.105181,0.596822,0.000000,0.000000,2.000000,12.000000,1.043811
540869.000000,0.008301,0.000000,-1.045410,0.205998,-0.003628,-0.158823,0.006624,0.005436,-1.004161,0.162431,0.011292,-0.103642,0.014211,0.473260,0.791369,0.000000,0.000000,0.000000,0.000008,0.006624,0.005436,-1.004161,0.162431,0.011292,-0.103642,0.596745,0.000000,0.000000,2.000000,12.000000,1.043811
540870.000000,0.007324,0.001953,-1.044434,0.145022,0.057348,-0.097847,0.006613,0.005427,-1.004172,0.160866,0.007123,-0.102168,0.014145,0.473209,0.791369,0.000000,0.000000,0.000000,0.000008,0.006613,0.005427,-1.004172,0.160866,0.007123,-0.102168,0.596664,0.000000,0.000000,2.000000,12.000000,1.043811
540873.000000,0.009766,0.000488,-1.048340,0.205998,0.057348,-0.036871,0.006582,0.005397,-1.004207,0.162553,-0.000240,-0.103297,0.013952,0.473039,0.791368,0.000000,0.000000,0.000000,0.000005,0.006582,0.005397,-1.004207,0.162553,-0.000240,-0.103297,0.596408,0.000000,0.000000,2.000000,12.000000,1.043811
540874.000000,0.008301,0.001465,-1.047852,0.205998,0.057348,-0.097847,0.006572,0.005386,-1.004218,0.163299,0.000328,-0.103968,0.013889,0.472981,0.791367,0.000000,0.000000,0.000000,0.000005,0.006572,0.005386,-1.004218,0.163299,0.000328,-0.103968,0.596323,0.000000,0.000000,2.000000,12.000000,1.043811
540875.000000,0.008789,-0.000488,-1.044922,0.145022,0.057348,-0.097847,0.006563,0.005375,-1.004230,0.164654,0.002638,-0.104300,0.013828,0.472925,0.791367,0.000000,0.000000,0.000000,0.000005,0.006563,0.005375,-1.004230,0.164654,0.002638,-0.104300,0.596241,0.000000,0.000000,2.000000,12.000000,1.043811
540876.000000,0.008789,-0.000488,-1.044922,0.145022,0.057348,-0.097847,0.006554,0.005364,-1.004241,0.165951,0.006773,-0.104529,0.013768,0.472874,0.791366,0.000000,0.000000,0.000000,0.000005,0.006554,0.005364,-1.004241,0.165951,0.006773,-0.104529,0.596163,0.000000,0.000000,2.000000,12.000000,1.043811
540877.000000,0.006836,-0.000488,-1.045898,0.205998,-0.003628,-0.158823,0.006546,0.005353,-1.004253,0.166413,0.011964,-0.104987,0.013709,0.472827,0.791366,0.000000,0.000000,0.000000,0.000005,0.006546,0.005353,-1.004253,0.166413,0.011964,-0.104987,0.596089,0.000000,0.000000,2.000000,12.000000,1.043811
540878.000000,0.009277,-0.001465,-1.045898,0.266974,-0.064604,-0.158823,0.006539,0.005342,-1.004264,0.166781,0.016755,-0.105795,0.013650,0.472785,0.791365,0.000000,0.000000,0.000000,0.000005,0.006539,0.005342,-1.004264,0.166781,0.016755,-0.105795,0.596019,0.000000,0.000000,2.000000,12.000000,1.043811
540879.000000,0.008789,-0.000977,-1.045410,0.205998,0.057348,-0.097847,0.006532,0.005331,-1.004276,0.168696,0.019740,-0.107044,0.013593,0.472747,0.791365,0.000000,0.000000,0.000000,0.000005,0.006532,0.005331,-1.004276,0.168696,0.019740,-0.107044,0.595953,0.000000,0.000000,2.000000,12.000000,1.043811
540880.000000,0.007324,0.000488,-1.045410,0.205998,-0.003628,-0.158823,0.006525,0.005320,-1.004287,0.172569,0.020623,-0.108804,0.013540,0.472709,0.791364,0.000000,0.000000,0.000000,0.000005,0.006525,0.005320,-1.004287,0.172569,0.020623,-0.108804,0.595889,0.000000,0.000000,2.000000,12.000000,1.043811
540883.000000,0.006836,-0.000977,-1.046387,0.205998,0.057348,-0.097847,0.006510,0.005286,-1.004323,0.180748,0.014046,-0.119160,0.013403,0.472584,0.791363,0.000000,0.000000,0.000000,0.000003,0.006510,0.005286,-1.004323,0.180748,0.014046,-0.119160,0.595705,0.000000,0.000000,2.000000,12.000000,1.043811
540884.000000,0.007324,-0.000488,-1.046875,0.205998,-0.003628,-0.097847,0.006506,0.005274,-1.004336,0.180028,0.010289,-0.122879,0.013358,0.472536,0.791363,0.000000,0.000000,0.000000,0.000003,0.006506,0.005274,-1.004336,0.180028,0.010289,-0.122879,0.595639,0.000000,0.000000,2.000000,12.000000,1.043811
540885.000000,0.006836,-0.001953,-1.045898,0.145022,-0.003628,-0.036871,0.006503,0.005263,-1.004348,0.179118,0.008048,-0.124822,0.013312,0.472485,0.791362,0.000000,0.000000,0.000000,0.000003,0.006503,0.005263,-1.004348,0.179118,0.008048,-0.124822,0.595571,0.000000,0.000000,2.000000,12.000000,1.043811
540886.000000,0.006836,-0.001953,-1.045898,0.145022,-0.003628,-0.036871,0.006501,0.005252,-1.004361,0.177648,0.006603,-0.124618,0.013265,0.472433,0.791362,0.000000,0.000000,0.000000,0.000003,0.006501,0.005252,-1.004361,0.177648,0.006603,-0.124618,0.595501,0.000000,0.000000,2.000000,12.000000,1.043811
540887.000000,0.006836,0.000977,-1.045898,0.205998,-0.064604,-0.097847,0.006499,0.005240,-1.004374,0.174878,0.004129,-0.122687,0.013216,0.472378,0.791361,0.000000,0.000000,0.000000,0.000003,0.006499,0.005240,-1.004374,0.174878,0.004129,-0.122687,0.595427,0.000000,0.000000,2.000000,12.000000,1.043811
