I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
923617.000000,0.012695,-0.008789,-1.044922,0.145022,-0.003628,-0.158823,0.009503,-0.002551,-1.003877,0.197049,-0.007971,-0.112748,0.164113,0.540565,1.715126,-0.000000,-0.000000,-0.000000,0.000000,0.009503,-0.002551,-1.003877,0.197049,-0.007971,-0.112748,0.748808,0.000000,0.000000,4.000000,10.000000,0.847622
923618.000000,0.009277,-0.006348,-1.039063,0.145022,0.057348,-0.158823,0.009500,-0.002547,-1.003879,0.200478,-0.011929,-0.118083,0.164127,0.540534,1.715126,-0.000000,-0.000000,-0.000000,0.000000,0.009500,-0.002547,-1.003879,0.200478,-0.011929,-0.118083,0.748797,0.000000,0.000000,4.000000,10.000000,0.847622
923619.000000,0.012695,-0.006836,-1.042969,0.205998,-0.003628,-0.219798,0.009497,-0.002543,-1.003881,0.202945,-0.015441,-0.124086,0.164144,0.540500,1.715125,-0.000000,-0.000000,-0.000000,0.000000,0.009497,-0.002543,-1.003881,0.202945,-0.015441,-0.124086,0.748786,0.000000,0.000000,4.000000,10.000000,0.847622
923620.000000,0.010742,-0.007813,-1.041016,0.205998,0.057348,-0.219798,0.009494,-0.002539,-1.003884,0.204486,-0.017422,-0.131409,0.164163,0.540463,1.715125,-0.000000,-0.000000,-0.000000,0.000000,0.009494,-0.002539,-1.003884,0.204486,-0.017422,-0.131409,0.748774,0.000000,0.000000,4.000000,10.000000,0.847622
923622.000000,0.010742,-0.007324,-1.044922,0.205998,0.057348,-0.219798,0.009489,-0.002532,-1.003890,0.206537,-0.015640,-0.146939,0.164203,0.540392,1.715125,-0.000000,-0.000000,-0.000000,0.000000,0.009489,-0.002532,-1.003890,0.206537,-0.015640,-0.146939,0.748753,0.000000,0.000000,4.000000,10.000000,0.847622
923624.000000,0.011719,-0.009277,-1.044434,0.145022,0.118323,-0.219798,0.009483,-0.002525,-1.003896,0.204584,-0.005250,-0.158195,0.164242,0.540336,1.715125,-0.000000,-0.000000,-0.000000,0.000000,0.009483,-0.002525,-1.003896,0.204584,-0.005250,-0.158195,0.748743,0.000000,0.000000,4.000000,10.000000,0.847622
923625.000000,0.013184,-0.009277,-1.043945,0.266974,-0.003628,-0.097847,0.009480,-0.002523,-1.003900,0.202814,0.002421,-0.164537,0.164259,0.540320,1.715125,-0.000000,-0.000000,-0.000000,0.000000,0.009480,-0.002523,-1.003900,0.202814,0.002421,-0.164537,0.748743,0.000000,0.000000,4.000000,10.000000,0.847622
923626.000000,0.010254,-0.010254,-1.046387,0.145022,-0.064604,-0.219798,0.009477,-0.002520,-1.003903,0.201670,0.009920,-0.170798,0.164274,0.540310,1.715124,-0.000000,-0.000000,-0.000000,0.000000,0.009477,-0.002520,-1.003903,0.201670,0.009920,-0.170798,0.748748,0.000000,0.000000,4.000000,10.000000,0.847622
923627.000000,0.011719,-0.008789,-1.047363,0.205998,0.057348,-0.097847,0.009475,-0.002517,-1.003906,0.201246,0.015277,-0.175513,0.164290,0.540306,1.715124,-0.000000,-0.000000,-0.000000,0.000000,0.009475,-0.002517,-1.003906,0.201246,0.015277,-0.175513,0.748756,0.000000,0.000000,4.000000,10.000000,0.847622
923628.000000,0.013184,-0.007813,-1.045410,0.084047,0.057348,-0.158823,0.009472,-0.002515,-1.003910,0.200557,0.018530,-0.178213,0.164304,0.540306,1.715124,-0.000000,-0.000000,-0.000000,0.000000,0.009472,-0.002515,-1.003910,0.200557,0.018530,-0.178213,0.748766,0.000000,0.000000,4.000000,10.000000,0.847622
923629.000000,0.012207,-0.009277,-1.044922,0.327949,0.057348,-0.097847,0.009470,-0.002513,-1.003913,0.198814,0.021594,-0.178770,0.164317,0.540308,1.715124,-0.000000,-0.000000,-0.000000,0.000000,0.009470,-0.002513,-1.003913,0.198814,0.021594,-0.178770,0.748777,0.000000,0.000000,4.000000,10.000000,0.847622
923630.000000,0.011230,-0.007813,-1.044922,0.266974,-0.125579,-0.097847,0.009467,-0.002511,-1.003916,0.197215,0.024796,-0.176828,0.164328,0.540313,1.715124,-0.000000,-0.000000,-0.000000,0.000000,0.009467,-0.002511,-1.003916,0.197215,0.024796,-0.176828,0.748789,0.000000,0.000000,4.000000,10.000000,0.847622
923632.000000,0.011230,-0.008301,-1.046875,0.145022,0.057348,-0.036871,0.009464,-0.002507,-1.003923,0.201055,0.024176,-0.166144,0.164354,0.540325,1.715124,-0.000000,-0.000000,-0.000000,0.000000,0.009464,-0.002507,-1.003923,0.201055,0.024176,-0.166144,0.748816,0.000000,0.000000,4.000000,10.000000,0.847622
923634.000000,0.008789,-0.007813,-1.044434,0.145022,-0.003628,-0.158823,0.009460,-0.002504,-1.003929,0.204407,0.021056,-0.148742,0.164390,0.540329,1.715124,-0.000000,-0.000000,-0.000000,0.000000,0.009460,-0.002504,-1.003929,0.204407,0.021056,-0.148742,0.748844,0.000000,0.000000,4.000000,10.000000,0.847622
923635.000000,0.011719,-0.007813,-1.041992,0.205998,0.057348,-0.036871,0.009459,-0.002503,-1.003932,0.203328,0.021274,-0.138640,0.164407,0.540331,1.715124,-0.000000,-0.000000,-0.000000,0.000000,0.009459,-0.002503,-1.003932,0.203328,0.021274,-0.138640,0.748858,0.000000,0.000000,4.000000,10.000000,0.847622
923636.000000,0.013672,-0.006836,-1.045898,0.205998,-0.003628,-0.036871,0.009458,-0.002503,-1.003934,0.202028,0.020989,-0.128783,0.164423,0.540332,1.715124,-0.000000,-0.000000,-0.000000,0.000000,0.009458,-0.002503,-1.003934,0.202028,0.020989,-0.128783,0.748870,0.000000,0.000000,4.000000,10.000000,0.847622
923637.000000,0.007813,-0.006348,-1.045898,0.205998,-0.003628,0.024104,0.009458,-0.002502,-1.003937,0.201177,0.020135,-0.118392,0.164438,0.540333,1.715124,-0.000000,-0.000000,-0.000000,0.000000,0.009458,-0.002502,-1.003937,0.201177,0.020135,-0.118392,0.748882,0.000000,0.000000,4.000000,10.000000,0.847622
