I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
337497.000000,0.007324,0.003906,-1.041992,0.205998,0.057348,-0.036871,0.005518,0.008667,-1.005083,0.183809,-0.002849,-0.093242,-0.500420,0.299888,0.005389,-0.000000,0.000000,-0.000000,0.000000,0.005518,0.008667,-1.005083,0.183809,-0.002849,-0.093242,0.294760,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.000728,0.000000,0.000000,0.000000,0.000000
337498.000000,0.007324,0.005859,-1.046875,0.327949,-0.003628,-0.097847,0.005503,0.008668,-1.005084,0.187424,0.000377,-0.090821,-0.500412,0.299873,0.005389,-0.000000,0.000000,-0.000000,0.000000,0.005503,0.008668,-1.005084,0.187424,0.000377,-0.090821,0.294743,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.000727,0.000000,0.000000,0.000000,0.000000
337499.000000,0.005859,0.002930,-1.045898,0.266974,-0.003628,-0.097847,0.005489,0.008669,-1.005085,0.191249,0.004574,-0.088999,-0.500400,0.299862,0.005390,-0.000000,0.000000,-0.000000,0.000000,0.005489,0.008669,-1.005085,0.191249,0.004574,-0.088999,0.294730,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.000726,0.000000,0.000000,0.000000,0.000000
337500.000000,0.007324,0.002441,-1.044922,0.205998,-0.003628,-0.036871,0.005475,0.008670,-1.005084,0.195695,0.008775,-0.087382,-0.500384,0.299855,0.005390,-0.000000,0.000000,-0.000000,0.000000,0.005475,0.008670,-1.005084,0.195695,0.008775,-0.087382,0.294719,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.000726,0.000000,0.000000,0.000000,0.000000
337502.000000,0.007813,0.004883,-1.046875,0.205998,0.057348,-0.036871,0.005447,0.008673,-1.005080,0.205657,0.015576,-0.080870,-0.500336,0.299852,0.005390,-0.000000,0.000000,-0.000000,0.000000,0.005447,0.008673,-1.005080,0.205657,0.015576,-0.080870,0.294704,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.000724,0.000000,0.000000,0.000000,0.000000
337503.000000,0.006836,0.004395,-1.049805,0.145022,0.057348,-0.036871,0.005434,0.008676,-1.005077,0.210761,0.017231,-0.075197,-0.500304,0.299853,0.005390,-0.000000,0.000000,-0.000000,0.000000,0.005434,0.008676,-1.005077,0.210761,0.017231,-0.075197,0.294697,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.000724,0.000000,0.000000,0.000000,0.000000
337505.000000,0.006348,0.003418,-1.044922,0.205998,-0.003628,-0.097847,0.005408,0.008681,-1.005067,0.215721,0.017632,-0.065017,-0.500233,0.299856,0.005390,-0.000000,0.000000,-0.000000,0.000000,0.005408,0.008681,-1.005067,0.215721,0.017632,-0.065017,0.294682,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.000722,0.000000,0.000000,0.000000,0.000000
337506.000000,0.007813,0.002441,-1.047363,0.266974,0.057348,-0.097847,0.005395,0.008684,-1.005061,0.214295,0.016455,-0.061603,-0.500198,0.299856,0.005390,-0.000000,0.000000,-0.000000,0.000000,0.005395,0.008684,-1.005061,0.214295,0.016455,-0.061603,0.294674,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.000721,0.000000,0.000000,0.000000,0.000000
337507.000000,0.005859,0.004395,-1.044922,0.145022,0.057348,-0.097847,0.005383,0.008687,-1.005054,0.212079,0.015406,-0.059570,-0.500165,0.299855,0.005390,-0.000000,0.000000,-0.000000,0.000000,0.005383,0.008687,-1.005054,0.212079,0.015406,-0.059570,0.294665,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.000721,0.000000,0.000000,0.000000,0.000000
337508.000000,0.006348,0.004883,-1.044922,0.205998,-0.064604,-0.158823,0.005371,0.008691,-1.005046,0.210135,0.015776,-0.058726,-0.500134,0.299854,0.005390,-0.000000,0.000000,-0.000000,0.000000,0.005371,0.008691,-1.005046,0.210135,0.015776,-0.058726,0.294656,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.000720,0.000000,0.000000,0.000000,0.000000
