I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
759288.000000,0.000977,-0.004883,-1.046875,0.145022,-0.003628,-0.158823,-0.001576,0.002583,-1.004519,0.183378,0.008709,-0.069668,-0.135737,-0.040678,0.061872,-0.000000,0.000000,-0.000000,0.000000,-0.001576,0.002583,-1.004519,0.183378,0.008709,-0.069668,0.297884,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.006974,0.000000,0.000000,0.000000,0.000000
759290.000000,0.001465,-0.001465,-1.046875,0.145022,0.057348,-0.097847,-0.001582,0.002550,-1.004503,0.184638,0.009420,-0.072685,-0.135748,-0.040673,0.061872,-0.000000,0.000000,-0.000000,0.000000,-0.001582,0.002550,-1.004503,0.184638,0.009420,-0.072685,0.297873,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.006960,0.000000,0.000000,0.000000,0.000000
759292.000000,0.001953,-0.001953,-1.045410,0.205998,-0.003628,-0.036871,-0.001587,0.002516,-1.004488,0.187627,0.010221,-0.076856,-0.135752,-0.040667,0.061872,-0.000000,0.000000,-0.000000,0.000000,-0.001587,0.002516,-1.004488,0.187627,0.010221,-0.076856,0.297867,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.006946,0.000000,0.000000,0.000000,0.000000
759293.000000,-0.000488,-0.000977,-1.045410,0.145022,0.057348,-0.036871,-0.001589,0.002500,-1.004481,0.189435,0.010396,-0.078790,-0.135751,-0.040663,0.061872,-0.000000,0.000000,-0.000000,0.000000,-0.001589,0.002500,-1.004481,0.189435,0.010396,-0.078790,0.297867,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.006939,0.000000,0.000000,0.000000,0.000000
759295.000000,0.002441,-0.002441,-1.045898,0.205998,-0.003628,-0.097847,-0.001592,0.002466,-1.004467,0.190500,0.011795,-0.078788,-0.135747,-0.040655,0.061872,-0.000000,0.000000,-0.000000,0.000000,-0.001592,0.002466,-1.004467,0.190500,0.011795,-0.078788,0.297870,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.006925,0.000000,0.000000,0.000000,0.000000
759296.000000,0.000488,-0.002930,-1.045410,0.266974,-0.064604,-0.036871,-0.001593,0.002450,-1.004460,0.189609,0.014301,-0.077906,-0.135746,-0.040648,0.061872,-0.000000,0.000000,-0.000000,0.000000,-0.001593,0.002450,-1.004460,0.189609,0.014301,-0.077906,0.297870,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.006918,0.000000,0.000000,0.000000,0.000000
759297.000000,0.000488,0.000488,-1.048340,0.205998,-0.125579,-0.097847,-0.001593,0.002433,-1.004453,0.189329,0.015750,-0.077292,-0.135745,-0.040639,0.061872,-0.000000,0.000000,-0.000000,0.000000,-0.001593,0.002433,-1.004453,0.189329,0.015750,-0.077292,0.297869,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.006911,0.000000,0.000000,0.000000,0.000000
759298.000000,-0.000488,-0.002930,-1.045898,0.145022,-0.125579,-0.158823,-0.001593,0.002417,-1.004447,0.190063,0.013934,-0.077001,-0.135743,-0.040632,0.061872,-0.000000,0.000000,-0.000000,0.000000,-0.001593,0.002417,-1.004447,0.190063,0.013934,-0.077001,0.297870,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.006904,0.000000,0.000000,0.000000,0.000000
759299.000000,0.002930,0.000488,-1.041992,0.266974,-0.125579,-0.097847,-0.001593,0.002400,-1.004441,0.190877,0.008306,-0.077817,-0.135740,-0.040630,0.061872,-0.000000,0.000000,-0.000000,0.000000,-0.001593,0.002400,-1.004441,0.190877,0.008306,-0.077817,0.297873,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.006897,0.000000,0.000000,0.000000,0.000000
759300.000000,-0.000488,-0.002441,-1.045898,0.145022,0.057348,-0.097847,-0.001592,0.002384,-1.004436,0.191531,-0.000226,-0.080044,-0.135736,-0.040638,0.061872,-0.000000,0.000000,-0.000000,0.000000,-0.001592,0.002384,-1.004436,0.191531,-0.000226,-0.080044,0.297878,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.006891,0.000000,0.000000,0.000000,0.000000
