I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
556447.000000,0.000000,0.002930,-1.044922,0.205998,0.057348,-0.097847,-0.002444,0.009348,-1.004327,0.199950,-0.003861,-0.061782,-0.611214,-0.098997,0.064185,-0.000000,0.000000,-0.000036,0.000000,-0.002444,0.009348,-1.004327,0.199950,-0.003861,-0.061782,0.214797,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007540,0.000000,-0.000000,-0.000000,0.014753
556448.000000,-0.001465,0.004883,-1.045410,0.205998,-0.003628,-0.158823,-0.002437,0.009352,-1.004312,0.203597,0.003807,-0.058606,-0.611188,-0.099001,0.064185,-0.000000,0.000000,-0.000036,0.000000,-0.002437,0.009352,-1.004312,0.203597,0.003807,-0.058606,0.214777,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007533,0.000000,-0.000000,-0.000000,0.014753
556449.000000,-0.000977,0.002930,-1.046387,0.084047,0.118323,-0.097847,-0.002430,0.009356,-1.004296,0.206162,0.012037,-0.058556,-0.611160,-0.098997,0.064184,-0.000000,0.000000,-0.000036,0.000000,-0.002430,0.009356,-1.004296,0.206162,0.012037,-0.058556,0.214751,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007525,0.000000,-0.000000,-0.000000,0.014753
556450.000000,-0.000488,0.002930,-1.045898,0.205998,-0.003628,-0.158823,-0.002424,0.009360,-1.004279,0.206277,0.020332,-0.061489,-0.611131,-0.098984,0.064184,-0.000000,0.000000,-0.000036,0.000000,-0.002424,0.009360,-1.004279,0.206277,0.020332,-0.061489,0.214720,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007518,0.000000,-0.000000,-0.000000,0.014753
556453.000000,-0.002441,0.002441,-1.043945,0.145022,-0.003628,-0.158823,-0.002407,0.009372,-1.004222,0.197846,0.037442,-0.077750,-0.611063,-0.098907,0.064183,-0.000000,0.000000,-0.000022,0.000000,-0.002407,0.009372,-1.004222,0.197846,0.037442,-0.077750,0.214621,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007495,0.000000,-0.000000,-0.000000,0.013126
556454.000000,-0.000488,0.004883,-1.041992,0.205998,-0.064604,-0.219798,-0.002402,0.009375,-1.004201,0.195535,0.037472,-0.084303,-0.611045,-0.098877,0.064183,-0.000000,0.000000,-0.000022,0.000000,-0.002402,0.009375,-1.004201,0.195535,0.037472,-0.084303,0.214590,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007488,0.000000,-0.000000,-0.000000,0.013126
556455.000000,0.000977,0.003906,-1.045410,0.205998,-0.003628,-0.036871,-0.002397,0.009378,-1.004180,0.193391,0.034969,-0.092009,-0.611030,-0.098850,0.064182,-0.000000,0.000000,-0.000022,0.000000,-0.002397,0.009378,-1.004180,0.193391,0.034969,-0.092009,0.214563,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007480,0.000000,-0.000000,-0.000000,0.013126
556456.000000,-0.000977,0.004883,-1.045898,0.145022,-0.003628,-0.158823,-0.002393,0.009381,-1.004157,0.191896,0.030524,-0.099709,-0.611016,-0.098827,0.064182,-0.000000,0.000000,-0.000022,0.000000,-0.002393,0.009381,-1.004157,0.191896,0.030524,-0.099709,0.214539,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007473,0.000000,-0.000000,-0.000000,0.013126
556457.000000,-0.002441,0.004395,-1.043945,0.145022,0.057348,-0.158823,-0.002389,0.009384,-1.004134,0.190984,0.025189,-0.106307,-0.611003,-0.098809,0.064182,-0.000000,0.000000,-0.000022,0.000000,-0.002389,0.009384,-1.004134,0.190984,0.025189,-0.106307,0.214519,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007465,0.000000,-0.000000,-0.000000,0.013126
556458.000000,-0.001465,0.004883,-1.042969,0.266974,-0.064604,-0.097847,-0.002385,0.009386,-1.004111,0.189631,0.020291,-0.112361,-0.610992,-0.098796,0.064181,-0.000000,0.000000,-0.000022,0.000000,-0.002385,0.009386,-1.004111,0.189631,0.020291,-0.112361,0.214502,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007458,0.000000,-0.000000,-0.000000,0.013126
556460.000000,-0.000488,0.002441,-1.047852,0.205998,-0.064604,-0.097847,-0.002379,0.009390,-1.004063,0.187384,0.013218,-0.121927,-0.610972,-0.098782,0.064181,-0.000000,0.000000,-0.000022,0.000000,-0.002379,0.009390,-1.004063,0.187384,0.013218,-0.121927,0.214478,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007443,0.000000,-0.000000,-0.000000,0.013126
556463.000000,-0.001465,0.003906,-1.043457,0.084047,-0.003628,-0.097847,-0.002372,0.009394,-1.003989,0.185798,0.010064,-0.119501,-0.610946,-0.098772,0.064181,-0.000000,0.000000,-0.000014,0.000000,-0.002372,0.009394,-1.003989,0.185798,0.010064,-0.119501,0.214451,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007421,0.000000,-0.000000,-0.000000,0.011675
556464.000000,-0.002441,0.002930,-1.046875,0.145022,-0.003628,-0.036871,-0.002370,0.009395,-1.003964,0.182370,0.009457,-0.116922,-0.610942,-0.098770,0.064181,-0.000000,0.000000,-0.000014,0.000000,-0.002370,0.009395,-1.003964,0.182370,0.009457,-0.116922,0.214446,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007413,0.000000,-0.000000,-0.000000,0.011675
556465.000000,0.000000,0.008301,-1.043945,0.145022,0.057348,-0.097847,-0.002368,0.009396,-1.003938,0.177531,0.008658,-0.113278,-0.610943,-0.098768,0.064181,-0.000000,0.000000,-0.000014,0.000000,-0.002368,0.009396,-1.003938,0.177531,0.008658,-0.113278,0.214446,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007406,0.000000,-0.000000,-0.000000,0.011675
556466.000000,-0.001465,0.002930,-1.050293,0.145022,-0.064604,-0.097847,-0.002366,0.009396,-1.003913,0.172009,0.007947,-0.108921,-0.610949,-0.098768,0.064180,-0.000000,0.000000,-0.000014,0.000000,-0.002366,0.009396,-1.003913,0.172009,0.007947,-0.108921,0.214451,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007398,0.000000,-0.000000,-0.000000,0.011675
556467.000000,-0.000977,0.003906,-1.044922,0.205998,0.118323,-0.097847,-0.002365,0.009395,-1.003887,0.166277,0.007562,-0.104754,-0.610961,-0.098768,0.064180,-0.000000,0.000000,-0.000014,0.000000,-0.002365,0.009395,-1.003887,0.166277,0.007562,-0.104754,0.214461,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007391,0.000000,-0.000000,-0.000000,0.011675
556468.000000,-0.000977,0.006348,-1.047363,0.145022,-0.003628,-0.158823,-0.002364,0.009395,-1.003862,0.160851,0.007951,-0.101496,-0.610978,-0.098767,0.064180,-0.000000,0.000000,-0.000014,0.000000,-0.002364,0.009395,-1.003862,0.160851,0.007951,-0.101496,0.214475,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007384,0.000000,-0.000000,-0.000000,0.011675
556469.000000,-0.001953,0.004395,-1.044434,0.205998,-0.003628,-0.036871,-0.002363,0.009394,-1.003836,0.156658,0.009255,-0.099456,-0.611000,-0.098765,0.064180,-0.000000,0.000000,-0.000014,0.000000,-0.002363,0.009394,-1.003836,0.156658,0.009255,-0.099456,0.214493,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007376,0.000000,-0.000000,-0.000000,0.011675
556470.000000,-0.004395,0.004395,-1.044434,0.205998,-0.125579,-0.036871,-0.002363,0.009393,-1.003811,0.154538,0.010247,-0.097992,-0.611023,-0.098762,0.064180,-0.000000,0.000000,-0.000014,0.000000,-0.002363,0.009393,-1.003811,0.154538,0.010247,-0.097992,0.214511,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007557,0.000000,-0.000000,-0.000000,0.011675
556473.000000,0.001465,0.003418,-1.047363,0.205998,-0.003628,-0.158823,-0.002362,0.009387,-1.003736,0.167461,-0.003264,-0.088137,-0.611076,-0.098774,0.064180,-0.000000,0.000000,-0.000008,0.000000,-0.002362,0.009387,-1.003736,0.167461,-0.003264,-0.088137,0.214562,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.011038,0.000000,-0.000000,-0.000000,0.010383
556474.000000,-0.000488,0.006348,-1.042969,0.205998,-0.003628,-0.158823,-0.002363,0.009384,-1.003712,0.178058,-0.011608,-0.084608,-0.611076,-0.098793,0.064180,-0.000000,0.000000,-0.000008,0.000000,-0.002363,0.009384,-1.003712,0.178058,-0.011608,-0.084608,0.214572,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.011027,0.000000,-0.000000,-0.000000,0.010383
556475.000000,0.002441,0.004395,-1.041016,0.145022,-0.003628,-0.097847,-0.002363,0.009381,-1.003688,0.188351,-0.019009,-0.082920,-0.611066,-0.098819,0.064180,-0.000000,0.000000,-0.000008,0.000000,-0.002363,0.009381,-1.003688,0.188351,-0.019009,-0.082920,0.214577,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.011016,0.000000,-0.000000,-0.000000,0.010383
556476.000000,0.000977,0.003906,-1.047852,0.145022,0.057348,-0.036871,-0.002364,0.009377,-1.003665,0.196710,-0.025022,-0.082825,-0.611047,-0.098851,0.064180,-0.000000,0.000000,-0.000008,0.000000,-0.002364,0.009377,-1.003665,0.196710,-0.025022,-0.082825,0.214578,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.010310,0.000000,-0.000000,-0.000000,0.010383
556477.000000,0.000000,0.005371,-1.046387,0.266974,-0.003628,-0.097847,-0.002365,0.009374,-1.003643,0.202655,-0.029097,-0.083043,-0.611022,-0.098888,0.064181,-0.000000,0.000000,-0.000008,0.000000,-0.002365,0.009374,-1.003643,0.202655,-0.029097,-0.083043,0.214576,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.007328,0.000000,-0.000000,-0.000000,0.010383
556478.000000,-0.001953,0.006836,-1.045410,0.145022,-0.003628,-0.036871,-0.002366,0.009369,-1.003621,0.206327,-0.030575,-0.083223,-0.610994,-0.098925,0.064181,-0.000000,0.000000,-0.000008,0.000000,-0.002366,0.009369,-1.003621,0.206327,-0.030575,-0.083223,0.214572,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.005844,0.000000,-0.000000,-0.000000,0.010383
556479.000000,-0.000488,0.001953,-1.046875,0.145022,-0.064604,-0.036871,-0.002367,0.009365,-1.003599,0.207774,-0.029820,-0.083501,-0.610964,-0.098963,0.064181,-0.000000,0.000000,-0.000008,0.000000,-0.002367,0.009365,-1.003599,0.207774,-0.029820,-0.083501,0.214566,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.005691,0.000000,-0.000000,-0.000000,0.010383
556482.000000,0.000488,0.005859,-1.045410,0.145022,-0.064604,-0.036871,-0.002370,0.009355,-1.003559,0.203029,-0.026634,-0.080875,-0.610910,-0.099032,0.064182,-0.000000,0.000000,-0.000005,0.000000,-0.002370,0.009355,-1.003559,0.203029,-0.026634,-0.080875,0.214557,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.005680,0.000000,-0.000000,-0.000000,0.009232
556484.000000,-0.000488,0.006348,-1.043945,0.205998,0.057348,-0.097847,-0.002374,0.009337,-1.003504,0.192291,-0.023365,-0.067526,-0.610857,-0.099129,0.064183,-0.000000,0.000000,-0.000005,0.000000,-0.002374,0.009337,-1.003504,0.192291,-0.023365,-0.067526,0.214563,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.005663,0.000000,-0.000000,-0.000000,0.009232
