I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
580485.000000,0.005371,0.003418,-1.045410,0.084047,-0.003628,0.146055,0.006340,0.012327,-1.003860,0.090168,0.154773,-0.105577,-0.744143,0.368342,-0.206281,0.000000,-0.452740,0.000000,-0.274894,0.006340,0.012327,-1.003860,0.090168,0.154773,-0.105577,0.474486,0.000000,0.000000,0.000000,0.000000,0.001534,0.000000,0.000000,0.000000,0.025427,0.001274,-0.001233,-0.000318,0.091683
580486.000000,0.004883,0.006348,-1.055176,0.205998,-0.003628,0.146055,0.006330,0.012313,-1.003865,0.093152,0.151412,-0.089913,-0.744232,0.368487,-0.206282,0.000000,-0.452740,0.000000,-0.274894,0.006330,0.012313,-1.003865,0.093152,0.151412,-0.089913,0.474654,0.000000,0.000000,0.000000,0.000000,0.001534,0.000000,0.000000,0.000000,0.025402,0.001274,-0.001233,-0.000318,0.091683
580488.000000,-0.000488,0.005859,-1.045898,0.205998,-0.064604,0.268007,0.006315,0.012291,-1.003874,0.097117,0.133666,-0.046627,-0.744404,0.368752,-0.206286,0.000000,-0.452740,0.000000,-0.274894,0.006315,0.012291,-1.003874,0.097117,0.133666,-0.046627,0.474966,0.000000,0.000000,0.000000,0.000000,0.001534,0.000000,0.000000,0.000000,0.025351,0.001274,-0.001233,-0.000318,0.091683
580489.000000,0.001465,0.006836,-1.046875,0.327949,-0.186555,0.268007,0.006311,0.012281,-1.003877,0.100731,0.120189,-0.020601,-0.744485,0.368865,-0.206287,0.000000,-0.452740,0.000000,-0.274894,0.006311,0.012281,-1.003877,0.100731,0.120189,-0.020601,0.475104,0.000000,0.000000,0.000000,0.000000,0.001534,0.000000,0.000000,0.000000,0.025326,0.001274,-0.001233,-0.000318,0.091683
580490.000000,0.004395,0.002441,-1.049805,0.266974,-0.003628,0.268007,0.006309,0.012273,-1.003880,0.107782,0.102957,0.008657,-0.744559,0.368962,-0.206288,0.000000,-0.452740,0.000000,-0.274894,0.006309,0.012273,-1.003880,0.107782,0.102957,0.008657,0.475225,0.000000,0.000000,0.000000,0.000000,0.001534,0.000000,0.000000,0.000000,0.025300,0.001274,-0.001233,-0.000318,0.091683
580492.000000,0.002930,0.008301,-1.052246,0.327949,-0.064604,0.450933,0.006309,0.012258,-1.003884,0.134394,0.061768,0.074424,-0.744668,0.369092,-0.206290,0.000000,-0.277982,0.000000,-0.168785,0.006309,0.012258,-1.003884,0.134394,0.061768,0.074424,0.475396,0.000000,0.000000,0.000000,0.000000,0.001534,0.000000,0.000000,0.000000,0.025250,0.000782,-0.000757,-0.000195,0.141721
580493.000000,0.006836,0.010742,-1.055176,0.266974,-0.125579,0.511909,0.006310,0.012251,-1.003886,0.151719,0.042344,0.110017,-0.744698,0.369128,-0.206291,0.000000,-0.277982,0.000000,-0.168785,0.006310,0.012251,-1.003886,0.151719,0.042344,0.110017,0.475442,0.000000,0.000000,0.000000,0.000000,0.001534,0.000000,0.000000,0.000000,0.025225,0.000782,-0.000757,-0.000195,0.141721
580495.000000,0.004395,0.008789,-1.045898,0.266974,-0.186555,0.389958,0.006316,0.012239,-1.003890,0.190726,0.002846,0.191195,-0.744699,0.369141,-0.206291,0.000000,-0.277982,0.000000,-0.168785,0.006316,0.012239,-1.003890,0.190726,0.002846,0.191195,0.475452,0.000000,0.000000,0.000000,0.000000,0.001534,0.000000,0.000000,0.000000,0.025174,0.000782,-0.000757,-0.000195,0.141721
580496.000000,0.007813,0.012695,-1.045410,0.266974,-0.064604,0.450933,0.006320,0.012234,-1.003892,0.209753,-0.018152,0.234436,-0.744671,0.369116,-0.206290,0.000000,-0.277982,0.000000,-0.168785,0.006320,0.012234,-1.003892,0.209753,-0.018152,0.234436,0.475415,0.000000,0.000000,0.000000,0.000000,0.001534,0.000000,0.000000,0.000000,0.025149,0.000782,-0.000757,-0.000195,0.141721
580497.000000,0.010254,0.013672,-1.040527,0.145022,0.057348,0.450933,0.006324,0.012229,-1.003894,0.225281,-0.037594,0.275877,-0.744626,0.369072,-0.206290,0.000000,-0.277982,0.000000,-0.168785,0.006324,0.012229,-1.003894,0.225281,-0.037594,0.275877,0.475353,0.000000,0.000000,0.000000,0.000000,0.001534,0.000000,0.000000,0.000000,0.025124,0.000782,-0.000757,-0.000195,0.141721
