I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
187850.000000,0.001953,0.001953,-1.042969,0.145022,-0.003628,-0.036871,0.002125,0.007395,-1.004976,0.178857,-0.004888,-0.101150,-0.249384,0.141741,-0.153539,-0.000000,0.000000,-0.000000,0.000000,0.002125,0.007395,-1.004976,0.178857,-0.004888,-0.101150,0.220032,0.000000,0.000000,0.000000,0.000000,0.001954,0.000000,0.000000,0.000000,-0.001702,0.000000,0.000000,0.000000,0.000000
187852.000000,0.003418,0.002441,-1.042480,0.084047,0.057348,-0.097847,0.002124,0.007405,-1.004999,0.187605,-0.004627,-0.097558,-0.249363,0.141718,-0.153539,-0.000000,0.000000,-0.000000,0.000000,0.002124,0.007405,-1.004999,0.187605,-0.004627,-0.097558,0.220036,0.000000,0.000000,0.000000,0.000000,0.001954,0.000000,0.000000,0.000000,-0.001699,0.000000,0.000000,0.000000,0.000000
187853.000000,0.001953,0.002441,-1.042969,0.205998,-0.003628,-0.097847,0.002123,0.007411,-1.005010,0.188262,-0.002752,-0.093185,-0.249350,0.141708,-0.153539,-0.000000,0.000000,-0.000000,0.000000,0.002123,0.007411,-1.005010,0.188262,-0.002752,-0.093185,0.220041,0.000000,0.000000,0.000000,0.000000,0.001954,0.000000,0.000000,0.000000,-0.001697,0.000000,0.000000,0.000000,0.000000
187855.000000,0.002441,0.001953,-1.045898,0.266974,-0.003628,-0.097847,0.002122,0.007423,-1.005032,0.185259,0.001516,-0.084960,-0.249329,0.141696,-0.153539,-0.000000,0.000000,-0.000000,0.000000,0.002122,0.007423,-1.005032,0.185259,0.001516,-0.084960,0.220051,0.000000,0.000000,0.000000,0.000000,0.001954,0.000000,0.000000,0.000000,-0.001693,0.000000,0.000000,0.000000,0.000000
187856.000000,0.004883,0.004395,-1.045898,0.205998,-0.003628,-0.158823,0.002120,0.007429,-1.005043,0.183404,0.003058,-0.084128,-0.249322,0.141692,-0.153539,-0.000000,0.000000,-0.000000,0.000000,0.002120,0.007429,-1.005043,0.183404,0.003058,-0.084128,0.220055,0.000000,0.000000,0.000000,0.000000,0.001954,0.000000,0.000000,0.000000,-0.001692,0.000000,0.000000,0.000000,0.000000
187857.000000,0.000977,0.005859,-1.047363,0.145022,-0.003628,-0.097847,0.002119,0.007436,-1.005054,0.182057,0.004661,-0.085334,-0.249316,0.141690,-0.153539,-0.000000,0.000000,-0.000000,0.000000,0.002119,0.007436,-1.005054,0.182057,0.004661,-0.085334,0.220058,0.000000,0.000000,0.000000,0.000000,0.001954,0.000000,0.000000,0.000000,-0.001690,0.000000,0.000000,0.000000,0.000000
187858.000000,0.001953,0.004395,-1.044922,0.205998,-0.003628,-0.097847,0.002117,0.007443,-1.005065,0.180817,0.006052,-0.088148,-0.249311,0.141689,-0.153539,-0.000000,0.000000,-0.000000,0.000000,0.002117,0.007443,-1.005065,0.180817,0.006052,-0.088148,0.220062,0.000000,0.000000,0.000000,0.000000,0.001954,0.000000,0.000000,0.000000,-0.001688,0.000000,0.000000,0.000000,0.000000
187860.000000,0.003418,0.001953,-1.046387,0.145022,0.057348,-0.097847,0.002113,0.007457,-1.005085,0.179530,0.006458,-0.095760,-0.249303,0.141689,-0.153539,-0.000000,0.000000,-0.000000,0.000000,0.002113,0.007457,-1.005085,0.179530,0.006458,-0.095760,0.220068,0.000000,0.000000,0.000000,0.000000,0.001954,0.000000,0.000000,0.000000,-0.001685,0.000000,0.000000,0.000000,0.000000
187862.000000,0.002930,0.002441,-1.045410,0.145022,0.057348,-0.097847,0.002107,0.007471,-1.005104,0.180885,0.008115,-0.101209,-0.249295,0.141690,-0.153540,-0.000000,0.000000,-0.000000,0.000000,0.002107,0.007471,-1.005104,0.180885,0.008115,-0.101209,0.220075,0.000000,0.000000,0.000000,0.000000,0.001954,0.000000,0.000000,0.000000,-0.001682,0.000000,0.000000,0.000000,0.000000
187863.000000,0.002930,0.001953,-1.045410,0.084047,0.057348,-0.097847,0.002104,0.007479,-1.005113,0.180907,0.012026,-0.103136,-0.249290,0.141695,-0.153540,-0.000000,0.000000,-0.000000,0.000000,0.002104,0.007479,-1.005113,0.180907,0.012026,-0.103136,0.220082,0.000000,0.000000,0.000000,0.000000,0.001954,0.000000,0.000000,0.000000,-0.001680,0.000000,0.000000,0.000000,0.000000
