I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
409618.000000,0.003418,-0.000488,-1.044922,0.145022,0.118323,-0.097847,-0.000574,0.004795,-1.004882,0.219455,0.023773,-0.104510,-0.013362,-0.024195,-0.104340,0.000000,-0.000000,-0.000000,0.000000,-0.000574,0.004795,-1.004882,0.219455,0.023773,-0.104510,0.416949,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.582422,0.000000,-0.000000,-0.000000,0.000024
409619.000000,0.001465,-0.000488,-1.045898,0.266974,-0.125579,-0.036871,-0.000572,0.004793,-1.004877,0.219318,0.021423,-0.102449,-0.013365,-0.024184,-0.104340,0.000000,-0.000000,-0.000000,0.000000,-0.000572,0.004793,-1.004877,0.219318,0.021423,-0.102449,0.416945,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.582083,0.000000,-0.000000,-0.000000,0.000024
409620.000000,0.002441,0.000000,-1.043945,0.205998,-0.003628,-0.036871,-0.000571,0.004792,-1.004872,0.218339,0.019295,-0.099822,-0.013369,-0.024175,-0.104340,0.000000,-0.000000,-0.000000,0.000000,-0.000571,0.004792,-1.004872,0.218339,0.019295,-0.099822,0.416940,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.581744,0.000000,-0.000000,-0.000000,0.000024
409622.000000,-0.000488,-0.000977,-1.049805,0.205998,-0.064604,-0.158823,-0.000568,0.004788,-1.004864,0.215202,0.011764,-0.091645,-0.013381,-0.024169,-0.104340,0.000000,-0.000000,-0.000000,0.000000,-0.000568,0.004788,-1.004864,0.215202,0.011764,-0.091645,0.416928,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.581067,0.000000,-0.000000,-0.000000,0.000022
409623.000000,0.001953,0.000977,-1.044922,0.266974,-0.064604,-0.158823,-0.000566,0.004785,-1.004861,0.212434,0.005688,-0.088529,-0.013390,-0.024173,-0.104340,0.000000,-0.000000,-0.000000,0.000000,-0.000566,0.004785,-1.004861,0.212434,0.005688,-0.088529,0.416918,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.580729,0.000000,-0.000000,-0.000000,0.000022
409625.000000,-0.000488,0.000977,-1.045410,0.266974,-0.064604,-0.097847,-0.000562,0.004780,-1.004855,0.210953,-0.010334,-0.089613,-0.013413,-0.024207,-0.104340,0.000000,-0.000000,-0.000000,0.000000,-0.000562,0.004780,-1.004855,0.210953,-0.010334,-0.089613,0.416899,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.580055,0.000000,-0.000000,-0.000000,0.000022
409626.000000,0.001953,0.000488,-1.044434,0.266974,-0.003628,-0.097847,-0.000559,0.004777,-1.004854,0.213581,-0.019219,-0.091829,-0.013422,-0.024236,-0.104340,0.000000,-0.000000,-0.000000,0.000000,-0.000559,0.004777,-1.004854,0.213581,-0.019219,-0.091829,0.416893,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.579718,0.000000,-0.000000,-0.000000,0.000022
409627.000000,0.000488,0.000488,-1.044922,0.145022,-0.003628,-0.158823,-0.000556,0.004774,-1.004853,0.217040,-0.026889,-0.094224,-0.013427,-0.024274,-0.104340,0.000000,-0.000000,-0.000000,0.000000,-0.000556,0.004774,-1.004853,0.217040,-0.026889,-0.094224,0.416892,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.579382,0.000000,-0.000000,-0.000000,0.000022
409628.000000,-0.000488,-0.000488,-1.048340,0.205998,-0.064604,-0.097847,-0.000553,0.004770,-1.004852,0.219814,-0.032192,-0.097348,-0.013429,-0.024316,-0.104340,0.000000,-0.000000,-0.000000,0.000000,-0.000553,0.004770,-1.004852,0.219814,-0.032192,-0.097348,0.416893,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.579046,0.000000,-0.000000,-0.000000,0.000022
409629.000000,0.000488,0.000488,-1.045410,0.205998,0.057348,-0.158823,-0.000550,0.004766,-1.004852,0.221194,-0.035285,-0.101482,-0.013429,-0.024362,-0.104340,0.000000,-0.000000,-0.000000,0.000000,-0.000550,0.004766,-1.004852,0.221194,-0.035285,-0.101482,0.416897,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.578711,0.000000,-0.000000,-0.000000,0.000022
