I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
430014.000000,0.013184,0.005859,-1.040527,0.145022,0.118323,-0.097847,0.010224,0.010298,-1.005830,0.163551,0.017795,-0.098429,-0.431040,0.283728,-0.298471,-0.000000,0.000000,-0.000158,-0.000000,0.010224,0.010298,-1.005830,0.163551,0.017795,-0.098429,0.269716,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.160524,0.000000,-0.000000,-0.000000,0.021012
430015.000000,0.012695,0.003418,-1.044922,0.205998,0.057348,-0.036871,0.010210,0.010302,-1.005816,0.161365,0.022421,-0.096376,-0.431088,0.283793,-0.298471,-0.000000,0.000000,-0.000158,-0.000000,0.010210,0.010302,-1.005816,0.161365,0.022421,-0.096376,0.269782,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.160363,0.000000,-0.000000,-0.000000,0.021012
430016.000000,0.011719,0.005371,-1.050781,0.145022,-0.003628,-0.036871,0.010196,0.010305,-1.005802,0.161371,0.027916,-0.095101,-0.431135,0.283864,-0.298471,-0.000000,0.000000,-0.000158,-0.000000,0.010196,0.010305,-1.005802,0.161371,0.027916,-0.095101,0.269853,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.159102,0.000000,-0.000000,-0.000000,0.021012
430017.000000,0.011719,0.005371,-1.045898,0.145022,-0.003628,-0.158823,0.010180,0.010308,-1.005787,0.163117,0.032644,-0.093381,-0.431181,0.283939,-0.298471,-0.000000,0.000000,-0.000158,-0.000000,0.010180,0.010308,-1.005787,0.163117,0.032644,-0.093381,0.269929,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.157619,0.000000,-0.000000,-0.000000,0.021012
430018.000000,0.012207,0.003906,-1.048828,0.205998,0.057348,-0.097847,0.010164,0.010310,-1.005772,0.165272,0.035603,-0.091020,-0.431225,0.284017,-0.298472,-0.000000,0.000000,-0.000158,-0.000000,0.010164,0.010310,-1.005772,0.165272,0.035603,-0.091020,0.270007,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.156898,0.000000,-0.000000,-0.000000,0.021012
430019.000000,0.010742,0.004883,-1.047852,0.205998,-0.064604,-0.158823,0.010147,0.010312,-1.005757,0.166886,0.037084,-0.089001,-0.431267,0.284097,-0.298472,-0.000000,0.000000,-0.000158,-0.000000,0.010147,0.010312,-1.005757,0.166886,0.037084,-0.089001,0.270087,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.156555,0.000000,-0.000000,-0.000000,0.021012
430020.000000,0.011230,0.003906,-1.048340,0.266974,0.057348,-0.219798,0.010130,0.010314,-1.005743,0.168162,0.037479,-0.088414,-0.431308,0.284176,-0.298472,-0.000000,0.000000,-0.000158,-0.000000,0.010130,0.010314,-1.005743,0.168162,0.037479,-0.088414,0.270167,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.156398,0.000000,-0.000000,-0.000000,0.021012
430023.000000,0.012207,0.004395,-1.044434,0.205998,0.057348,-0.158823,0.010076,0.010317,-1.005698,0.176197,0.034483,-0.095266,-0.431417,0.284409,-0.298474,-0.000000,0.000000,-0.000097,-0.000000,0.010076,0.010317,-1.005698,0.176197,0.034483,-0.095266,0.270401,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.155930,0.000000,-0.000000,-0.000000,0.018731
430024.000000,0.011230,0.004883,-1.044434,0.145022,0.057348,-0.036871,0.010058,0.010318,-1.005684,0.181200,0.033044,-0.097934,-0.431445,0.284483,-0.298474,-0.000000,0.000000,-0.000097,-0.000000,0.010058,0.010318,-1.005684,0.181200,0.033044,-0.097934,0.270475,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.155774,0.000000,-0.000000,-0.000000,0.018731
430026.000000,0.010254,0.007324,-1.046875,0.205998,-0.003628,-0.158823,0.010022,0.010317,-1.005655,0.192444,0.031073,-0.101097,-0.431483,0.284629,-0.298475,-0.000000,0.000000,-0.000097,-0.000000,0.010022,0.010317,-1.005655,0.192444,0.031073,-0.101097,0.270621,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.155462,0.000000,-0.000000,-0.000000,0.018731
