I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
668217.000000,0.016113,0.009277,-1.047363,0.145022,0.118323,-0.219798,0.012326,0.014100,-1.005531,0.198404,-0.000162,-0.155572,-0.632373,0.644308,0.475431,-0.000158,-0.000000,-0.000060,0.012699,0.012326,0.014100,-1.005531,0.198404,-0.000162,-0.155572,0.662420,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.022128,0.000031,0.000021,-0.000023,0.047803
668218.000000,0.014160,0.009277,-1.045410,0.145022,0.179299,-0.097847,0.012333,0.014102,-1.005523,0.194355,0.007782,-0.156009,-0.632392,0.644321,0.475431,-0.000158,-0.000000,-0.000060,0.012699,0.012333,0.014102,-1.005523,0.194355,0.007782,-0.156009,0.662439,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.022105,0.000031,0.000021,-0.000023,0.047803
668219.000000,0.012207,0.007813,-1.048340,0.205998,0.057348,-0.158823,0.012341,0.014106,-1.005515,0.190756,0.017136,-0.156473,-0.632415,0.644344,0.475430,-0.000158,-0.000000,-0.000060,0.012699,0.012341,0.014106,-1.005515,0.190756,0.017136,-0.156473,0.662468,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.022923,0.000031,0.000021,-0.000023,0.047803
668220.000000,0.012207,0.009766,-1.046875,0.205998,-0.003628,-0.219798,0.012348,0.014109,-1.005508,0.187012,0.027197,-0.156573,-0.632442,0.644378,0.475430,-0.000158,-0.000000,-0.000060,0.012699,0.012348,0.014109,-1.005508,0.187012,0.027197,-0.156573,0.662507,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.025171,0.000031,0.000021,-0.000023,0.047803
668222.000000,0.013184,0.009277,-1.047363,0.205998,-0.064604,-0.158823,0.012363,0.014118,-1.005493,0.182433,0.041109,-0.158544,-0.632503,0.644467,0.475428,-0.000097,-0.000000,-0.000037,0.007797,0.012363,0.014118,-1.005493,0.182433,0.041109,-0.158544,0.662611,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.032469,0.000019,0.000013,-0.000014,0.046849
668224.000000,0.014160,0.007813,-1.044434,0.266974,-0.003628,-0.097847,0.012378,0.014127,-1.005478,0.183588,0.041489,-0.160526,-0.632564,0.644564,0.475427,-0.000097,-0.000000,-0.000037,0.007797,0.012378,0.014127,-1.005478,0.183588,0.041489,-0.160526,0.662722,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.032404,0.000019,0.000013,-0.000014,0.046849
668225.000000,0.017090,0.007813,-1.047852,0.205998,0.118323,-0.158823,0.012385,0.014132,-1.005471,0.186445,0.037570,-0.158838,-0.632591,0.644607,0.475426,-0.000097,-0.000000,-0.000037,0.007797,0.012385,0.014132,-1.005471,0.186445,0.037570,-0.158838,0.662772,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.032371,0.000019,0.000013,-0.000014,0.046849
668226.000000,0.013184,0.009277,-1.042480,0.266974,-0.003628,-0.097847,0.012392,0.014137,-1.005465,0.190723,0.032691,-0.156089,-0.632614,0.644646,0.475426,-0.000097,-0.000000,-0.000037,0.007797,0.012392,0.014137,-1.005465,0.190723,0.032691,-0.156089,0.662816,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.032339,0.000019,0.000013,-0.000014,0.046849
668227.000000,0.011230,0.009766,-1.047363,0.266974,-0.064604,-0.158823,0.012400,0.014143,-1.005459,0.195589,0.027772,-0.153209,-0.632633,0.644681,0.475425,-0.000097,-0.000000,-0.000037,0.007797,0.012400,0.014143,-1.005459,0.195589,0.027772,-0.153209,0.662854,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.032307,0.000019,0.000013,-0.000014,0.046849
668228.000000,0.011230,0.009766,-1.047363,0.266974,-0.064604,-0.158823,0.012407,0.014148,-1.005454,0.200932,0.022136,-0.150363,-0.632646,0.644709,0.475424,-0.000097,-0.000000,-0.000037,0.007797,0.012407,0.014148,-1.005454,0.200932,0.022136,-0.150363,0.662886,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.032274,0.000019,0.000013,-0.000014,0.046849
