I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
697702.000000,-0.003418,0.004395,-1.043945,0.145022,0.057348,-0.158823,-0.005506,0.009341,-1.005169,0.157867,0.017276,-0.082129,-0.560321,-0.553248,0.046580,-0.000000,-0.000000,-0.000000,-0.000000,-0.005506,0.009341,-1.005169,0.157867,0.017276,-0.082129,0.582373,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.382601,0.000000,-0.000000,-0.000000,0.000000
697704.000000,-0.002441,0.003906,-1.045410,0.145022,-0.003628,-0.097847,-0.005526,0.009349,-1.005187,0.156923,0.019275,-0.094669,-0.560380,-0.553132,0.046579,-0.000000,-0.000000,-0.000000,-0.000000,-0.005526,0.009349,-1.005187,0.156923,0.019275,-0.094669,0.582274,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.382403,0.000000,-0.000000,-0.000000,0.000000
697705.000000,-0.003418,0.005859,-1.048340,0.205998,-0.003628,-0.036871,-0.005537,0.009353,-1.005195,0.155513,0.019886,-0.099585,-0.560411,-0.553073,0.046579,-0.000000,-0.000000,-0.000000,-0.000000,-0.005537,0.009353,-1.005195,0.155513,0.019886,-0.099585,0.582223,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.382254,0.000000,-0.000000,-0.000000,0.000000
697706.000000,-0.004883,0.002441,-1.049805,0.205998,-0.003628,-0.097847,-0.005550,0.009356,-1.005201,0.154126,0.019992,-0.102144,-0.560443,-0.553014,0.046579,-0.000000,-0.000000,-0.000000,-0.000000,-0.005550,0.009356,-1.005201,0.154126,0.019992,-0.102144,0.582173,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.382050,0.000000,-0.000000,-0.000000,0.000000
697707.000000,-0.003906,0.004395,-1.044922,0.266974,-0.064604,-0.097847,-0.005563,0.009360,-1.005206,0.153978,0.019512,-0.102913,-0.560476,-0.552956,0.046579,-0.000000,-0.000000,-0.000000,-0.000000,-0.005563,0.009360,-1.005206,0.153978,0.019512,-0.102913,0.582124,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.381903,0.000000,-0.000000,-0.000000,0.000000
697708.000000,-0.004883,0.005371,-1.046387,0.205998,-0.064604,-0.097847,-0.005577,0.009363,-1.005210,0.155847,0.017637,-0.103221,-0.560507,-0.552899,0.046578,-0.000000,-0.000000,-0.000000,-0.000000,-0.005577,0.009363,-1.005210,0.155847,0.017637,-0.103221,0.582076,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.381758,0.000000,-0.000000,-0.000000,0.000000
697709.000000,-0.003906,0.002930,-1.048340,0.205998,-0.003628,-0.158823,-0.005592,0.009367,-1.005213,0.159730,0.013564,-0.103815,-0.560534,-0.552847,0.046578,-0.000000,-0.000000,-0.000000,-0.000000,-0.005592,0.009367,-1.005213,0.159730,0.013564,-0.103815,0.582031,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.381612,0.000000,-0.000000,-0.000000,0.000000
697710.000000,-0.004395,0.002441,-1.043945,0.266974,-0.064604,-0.097847,-0.005607,0.009370,-1.005215,0.165121,0.007613,-0.104779,-0.560555,-0.552801,0.046578,-0.000000,-0.000000,-0.000000,-0.000000,-0.005607,0.009370,-1.005215,0.165121,0.007613,-0.104779,0.581992,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.381466,0.000000,-0.000000,-0.000000,0.000000
697712.000000,-0.002441,0.005371,-1.044922,0.145022,-0.064604,-0.097847,-0.005637,0.009377,-1.005216,0.180451,-0.005819,-0.107310,-0.560576,-0.552730,0.046578,-0.000000,-0.000000,-0.000000,-0.000000,-0.005637,0.009377,-1.005216,0.180451,-0.005819,-0.107310,0.581927,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.381175,0.000000,-0.000000,-0.000000,0.000000
697714.000000,-0.003418,0.001465,-1.046875,0.205998,0.057348,0.024104,-0.005668,0.009383,-1.005214,0.197616,-0.017220,-0.109810,-0.560563,-0.552684,0.046578,-0.000000,-0.000000,-0.000000,-0.000000,-0.005668,0.009383,-1.005214,0.197616,-0.017220,-0.109810,0.581879,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.380884,0.000000,-0.000000,-0.000000,0.000000
697715.000000,-0.002441,0.003906,-1.048340,0.145022,-0.064604,-0.097847,-0.005684,0.009386,-1.005212,0.205536,-0.021151,-0.110290,-0.560544,-0.552667,0.046578,-0.000000,-0.000000,-0.000000,-0.000000,-0.005684,0.009386,-1.005212,0.205536,-0.021151,-0.110290,0.581859,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.380739,0.000000,-0.000000,-0.000000,0.000000
697716.000000,-0.003906,0.005371,-1.042969,0.205998,-0.064604,-0.097847,-0.005699,0.009389,-1.005209,0.211910,-0.023739,-0.109455,-0.560519,-0.552654,0.046579,-0.000000,-0.000000,-0.000000,-0.000000,-0.005699,0.009389,-1.005209,0.211910,-0.023739,-0.109455,0.581840,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.380594,0.000000,-0.000000,-0.000000,0.000000
697717.000000,-0.003906,0.002930,-1.044434,0.266974,-0.003628,-0.158823,-0.005714,0.009391,-1.005205,0.215716,-0.026313,-0.108222,-0.560490,-0.552643,0.046579,-0.000000,-0.000000,-0.000000,-0.000000,-0.005714,0.009391,-1.005205,0.215716,-0.026313,-0.108222,0.581822,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.380449,0.000000,-0.000000,-0.000000,0.000000
697718.000000,-0.005371,0.005371,-1.047852,0.145022,-0.003628,-0.097847,-0.005729,0.009394,-1.005201,0.217656,-0.029212,-0.107702,-0.560459,-0.552635,0.046579,-0.000000,-0.000000,-0.000000,-0.000000,-0.005729,0.009394,-1.005201,0.217656,-0.029212,-0.107702,0.581808,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.380304,0.000000,-0.000000,-0.000000,0.000000
697720.000000,-0.005371,0.003906,-1.043945,0.266974,-0.003628,-0.158823,-0.005757,0.009398,-1.005191,0.217248,-0.029659,-0.107552,-0.560398,-0.552622,0.046580,-0.000000,-0.000000,-0.000000,-0.000000,-0.005757,0.009398,-1.005191,0.217248,-0.029659,-0.107552,0.581781,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.380015,0.000000,-0.000000,-0.000000,0.000000
697723.000000,-0.003418,0.000977,-1.043457,0.084047,-0.064604,-0.158823,-0.005795,0.009404,-1.005172,0.215243,-0.018517,-0.110942,-0.560313,-0.552578,0.046580,-0.000000,-0.000000,-0.000000,-0.000000,-0.005795,0.009404,-1.005172,0.215243,-0.018517,-0.110942,0.581719,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.379582,0.000000,-0.000000,-0.000000,0.000000
697724.000000,-0.004883,0.002930,-1.044922,0.205998,-0.064604,-0.097847,-0.005807,0.009406,-1.005164,0.213345,-0.017906,-0.113217,-0.560287,-0.552559,0.046580,-0.000000,-0.000000,-0.000000,-0.000000,-0.005807,0.009406,-1.005164,0.213345,-0.017906,-0.113217,0.581695,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.379437,0.000000,-0.000000,-0.000000,0.000000
697725.000000,-0.006836,0.004883,-1.047852,0.205998,-0.064604,-0.036871,-0.005818,0.009407,-1.005156,0.208782,-0.018981,-0.115746,-0.560265,-0.552542,0.046581,-0.000000,-0.000000,-0.000000,-0.000000,-0.005818,0.009407,-1.005156,0.208782,-0.018981,-0.115746,0.581673,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.379293,0.000000,-0.000000,-0.000000,0.000000
697726.000000,-0.005859,0.004883,-1.046875,0.145022,-0.064604,-0.036871,-0.005828,0.009408,-1.005148,0.203815,-0.021449,-0.117062,-0.560248,-0.552527,0.046581,-0.000000,-0.000000,-0.000000,-0.000000,-0.005828,0.009408,-1.005148,0.203815,-0.021449,-0.117062,0.581655,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.379149,0.000000,-0.000000,-0.000000,0.000000
697727.000000,-0.006348,0.003906,-1.045410,0.205998,-0.125579,-0.097847,-0.005839,0.009409,-1.005139,0.199530,-0.025669,-0.115730,-0.560236,-0.552517,0.046581,-0.000000,-0.000000,-0.000000,-0.000000,-0.005839,0.009409,-1.005139,0.199530,-0.025669,-0.115730,0.581642,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.379006,0.000000,-0.000000,-0.000000,0.000000
697729.000000,-0.006836,0.003906,-1.045898,0.205998,-0.003628,-0.097847,-0.005857,0.009409,-1.005120,0.192029,-0.038122,-0.108953,-0.560223,-0.552515,0.046582,-0.000000,-0.000000,-0.000000,-0.000000,-0.005857,0.009409,-1.005120,0.192029,-0.038122,-0.108953,0.581637,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.378718,0.000000,-0.000000,-0.000000,0.000000
697730.000000,-0.004883,0.002441,-1.045898,0.205998,-0.064604,-0.097847,-0.005866,0.009409,-1.005111,0.190162,-0.042928,-0.106162,-0.560220,-0.552522,0.046582,-0.000000,-0.000000,-0.000000,-0.000000,-0.005866,0.009409,-1.005111,0.190162,-0.042928,-0.106162,0.581643,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.378575,0.000000,-0.000000,-0.000000,0.000000
697732.000000,-0.005859,0.002930,-1.045410,0.205998,-0.003628,-0.158823,-0.005882,0.009408,-1.005090,0.190634,-0.046935,-0.102304,-0.560213,-0.552543,0.046583,-0.000000,-0.000000,-0.000000,-0.000000,-0.005882,0.009408,-1.005090,0.190634,-0.046935,-0.102304,0.581662,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.378288,0.000000,-0.000000,-0.000000,0.000000
697734.000000,-0.006836,0.005859,-1.046875,0.145022,-0.064604,-0.219798,-0.005897,0.009406,-1.005069,0.194929,-0.044989,-0.106672,-0.560200,-0.552564,0.046584,-0.000000,-0.000000,-0.000000,-0.000000,-0.005897,0.009406,-1.005069,0.194929,-0.044989,-0.106672,0.581680,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.378002,0.000000,-0.000000,-0.000000,0.000000
697735.000000,-0.005859,0.002441,-1.045410,0.266974,-0.003628,-0.036871,-0.005904,0.009404,-1.005058,0.196815,-0.042143,-0.111135,-0.560190,-0.552570,0.046584,-0.000000,-0.000000,-0.000000,-0.000000,-0.005904,0.009404,-1.005058,0.196815,-0.042143,-0.111135,0.581684,0.000000,0.000000,0.000000,0.000000,0.002981,0.000000,0.000000,0.000000,-0.377859,0.000000,-0.000000,-0.000000,0.000000
