I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
44360.000000,0.001465,0.010742,-1.044434,0.205998,-0.064604,-0.036871,-0.002103,0.016205,-1.004478,0.184494,0.004191,-0.091611,-0.033793,-0.096463,0.702537,0.000000,0.000000,0.000000,0.000000,-0.002103,0.016205,-1.004478,0.184494,0.004191,-0.091611,0.409933,0.000000,0.000000,2.000000,10.000000,1.148507,0.000000,0.000000,1.000000,-0.320961,0.000000,0.000000,0.000000,0.000000
44363.000000,-0.001465,0.010254,-1.047852,0.145022,0.057348,-0.158823,-0.002086,0.016217,-1.004495,0.183252,0.010397,-0.110651,-0.033813,-0.096459,0.702538,0.000000,0.000000,0.000000,0.000000,-0.002086,0.016217,-1.004495,0.183252,0.010397,-0.110651,0.409913,0.000000,0.000000,2.000000,10.000000,1.148507,0.000000,0.000000,1.000000,-0.320652,0.000000,0.000000,0.000000,0.000000
44365.000000,-0.000488,0.010254,-1.043457,0.205998,-0.064604,-0.036871,-0.002074,0.016225,-1.004505,0.176951,0.017153,-0.122413,-0.033837,-0.096443,0.702538,0.000000,0.000000,0.000000,0.000000,-0.002074,0.016225,-1.004505,0.176951,0.017153,-0.122413,0.409885,0.000000,0.000000,2.000000,10.000000,1.148507,0.000000,0.000000,1.000000,-0.320446,0.000000,0.000000,0.000000,0.000000
44366.000000,-0.000488,0.012695,-1.045898,0.145022,-0.003628,-0.097847,-0.002068,0.016229,-1.004510,0.173569,0.019255,-0.125477,-0.033854,-0.096430,0.702539,0.000000,0.000000,0.000000,0.000000,-0.002068,0.016229,-1.004510,0.173569,0.019255,-0.125477,0.409865,0.000000,0.000000,2.000000,10.000000,1.148507,0.000000,0.000000,1.000000,-0.320696,0.000000,0.000000,0.000000,0.000000
44367.000000,0.000000,0.009766,-1.048828,0.145022,-0.003628,-0.036871,-0.002061,0.016233,-1.004514,0.170893,0.019746,-0.126211,-0.033874,-0.096417,0.702539,0.000000,0.000000,0.000000,0.000000,-0.002061,0.016233,-1.004514,0.170893,0.019746,-0.126211,0.409842,0.000000,0.000000,2.000000,10.000000,1.148507,0.000000,0.000000,1.000000,-0.321818,0.000000,0.000000,0.000000,0.000000
44368.000000,0.000000,0.011719,-1.045898,0.023071,0.057348,0.024104,-0.002055,0.016237,-1.004518,0.168135,0.019750,-0.125111,-0.033897,-0.096404,0.702539,0.000000,0.000000,0.000000,0.000000,-0.002055,0.016237,-1.004518,0.168135,0.019750,-0.125111,0.409817,0.000000,0.000000,2.000000,10.000000,1.148507,0.000000,0.000000,1.000000,-0.322545,0.000000,0.000000,0.000000,0.000000
44369.000000,-0.000488,0.011230,-1.043457,0.266974,-0.064604,-0.097847,-0.002049,0.016241,-1.004522,0.164470,0.019818,-0.121758,-0.033923,-0.096391,0.702539,0.000000,0.000000,0.000000,0.000000,-0.002049,0.016241,-1.004522,0.164470,0.019818,-0.121758,0.409788,0.000000,0.000000,2.000000,10.000000,1.148507,0.000000,0.000000,1.000000,-0.321551,0.000000,0.000000,0.000000,0.000000
44370.000000,0.000000,0.008789,-1.043457,0.205998,0.057348,-0.036871,-0.002042,0.016245,-1.004525,0.160918,0.019204,-0.115708,-0.033953,-0.096379,0.702540,0.000000,0.000000,0.000000,0.000000,-0.002042,0.016245,-1.004525,0.160918,0.019204,-0.115708,0.409756,0.000000,0.000000,2.000000,10.000000,1.148507,0.000000,0.000000,1.000000,-0.320640,0.000000,0.000000,0.000000,0.000000
44373.000000,-0.001465,0.010254,-1.046387,0.205998,0.057348,-0.036871,-0.002023,0.016255,-1.004534,0.161919,0.013192,-0.086431,-0.034045,-0.096353,0.702540,0.000000,0.000000,0.000000,0.000000,-0.002023,0.016255,-1.004534,0.161919,0.013192,-0.086431,0.409660,0.000000,0.000000,2.000000,10.000000,1.148507,0.000000,0.000000,1.000000,-0.320117,0.000000,0.000000,0.000000,0.000000
44374.000000,-0.001465,0.011230,-1.045898,0.266974,0.057348,0.024104,-0.002017,0.016258,-1.004536,0.164502,0.012516,-0.074663,-0.034071,-0.096347,0.702541,0.000000,0.000000,0.000000,0.000000,-0.002017,0.016258,-1.004536,0.164502,0.012516,-0.074663,0.409633,0.000000,0.000000,2.000000,10.000000,1.148507,0.000000,0.000000,1.000000,-0.320015,0.000000,0.000000,0.000000,0.000000
