I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
219790.000000,-0.011230,-0.005371,-1.032227,1.486486,-0.552409,-0.036871,0.074822,0.007505,-1.006379,-0.050796,-0.705814,-0.458577,-0.196025,0.333215,-0.750584,0.394728,0.075699,-0.111932,-0.364627,0.074822,0.007505,-1.006379,-0.050796,-0.705814,-0.458577,0.394909,0.000000,0.000000,0.000000,0.000000,0.001362,0.000000,0.000000,0.000000,-1.335155,0.000119,-0.000010,-0.000118,9.319366
219792.000000,-0.017090,-0.003906,-1.042969,1.547462,-0.674360,0.146055,0.073474,0.006085,-1.006381,0.221730,-0.656897,-0.321148,-0.196098,0.333101,-0.750580,0.628363,0.046479,0.317274,0.162119,0.073474,0.006085,-1.006381,0.221730,-0.656897,-0.321148,0.394774,0.000000,0.000000,0.000000,0.000000,0.001362,0.000000,0.000000,0.000000,-1.331596,0.002099,0.001956,-0.000762,8.491557
219794.000000,-0.014160,0.005859,-1.062988,1.303559,-0.613384,0.328982,0.071961,0.004829,-1.006388,0.551313,-0.624372,-0.192211,-0.195505,0.333037,-0.750575,0.628363,0.046479,0.317274,0.162119,0.071961,0.004829,-1.006388,0.551313,-0.624372,-0.192211,0.395072,0.000000,0.000000,0.000000,0.000000,0.001362,0.000000,0.000000,0.000000,-1.328055,0.002099,0.001956,-0.000762,8.491557
219795.000000,-0.014160,-0.008301,-1.032227,1.303559,-0.613384,0.450933,0.071144,0.004261,-1.006392,0.710855,-0.615151,-0.126295,-0.194959,0.333012,-0.750573,0.628363,0.046479,0.317274,0.162119,0.071144,0.004261,-1.006392,0.710855,-0.615151,-0.126295,0.395374,0.000000,0.000000,0.000000,0.000000,0.001362,0.000000,0.000000,0.000000,-1.326292,0.002099,0.001956,-0.000762,8.491557
219796.000000,-0.007813,0.009277,-1.048340,1.364535,-0.674360,0.572885,0.070286,0.003731,-1.006396,0.856714,-0.609108,-0.057856,-0.194261,0.332985,-0.750571,0.628363,0.046479,0.317274,0.162119,0.070286,0.003731,-1.006396,0.856714,-0.609108,-0.057856,0.395765,0.000000,0.000000,0.000000,0.000000,0.001362,0.000000,0.000000,0.000000,-1.324534,0.002099,0.001956,-0.000762,8.491557
219797.000000,-0.003906,0.010742,-1.044922,1.242583,-0.735335,0.633860,0.069388,0.003238,-1.006398,0.985103,-0.606354,0.013655,-0.193431,0.332953,-0.750569,0.628363,0.046479,0.317274,0.162119,0.069388,0.003238,-1.006398,0.985103,-0.606354,0.013655,0.396231,0.000000,0.000000,0.000000,0.000000,0.001362,0.000000,0.000000,0.000000,-1.322780,0.002099,0.001956,-0.000762,8.491557
219798.000000,0.002930,0.007813,-1.046387,1.120632,-0.674360,0.633860,0.068451,0.002782,-1.006399,1.093334,-0.607686,0.088470,-0.192489,0.332911,-0.750567,0.628363,0.046479,0.317274,0.162119,0.068451,0.002782,-1.006399,1.093334,-0.607686,0.088470,0.396758,0.000000,0.000000,0.000000,0.000000,0.001362,0.000000,0.000000,0.000000,-1.321030,0.002099,0.001956,-0.000762,8.491557
219799.000000,0.006836,0.004883,-1.052734,0.937705,-0.613384,0.633860,0.067475,0.002361,-1.006398,1.177704,-0.612307,0.165263,-0.191459,0.332857,-0.750565,0.628363,0.046479,0.317274,0.162119,0.067475,0.002361,-1.006398,1.177704,-0.612307,0.165263,0.397328,0.000000,0.000000,0.000000,0.000000,0.001362,0.000000,0.000000,0.000000,-1.319286,0.002099,0.001956,-0.000762,8.491557
219800.000000,0.004395,0.003418,-1.032715,0.998681,-0.552409,0.572885,0.066461,0.001975,-1.006396,1.235279,-0.617459,0.240949,-0.190367,0.332789,-0.750563,0.628363,0.046479,0.317274,0.162119,0.066461,0.001975,-1.006396,1.235279,-0.617459,0.240949,0.397926,0.000000,0.000000,0.000000,0.000000,0.001362,0.000000,0.000000,0.000000,-1.317546,0.002099,0.001956,-0.000762,8.491557
219803.000000,0.005859,0.003418,-1.051758,0.571852,-0.491433,0.511909,0.063203,0.001016,-1.006374,1.271472,-0.619101,0.431242,-0.186959,0.332525,-0.749585,0.771815,0.414538,0.194806,0.485541,0.063203,0.001016,-1.006374,1.271472,-0.619101,0.431242,0.399765,0.000000,0.000000,0.000000,0.000000,0.001362,0.000000,0.000000,0.000000,-1.324683,0.003369,0.003164,-0.001157,7.675563
