I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
305330.000000,0.002441,-0.000488,-1.044922,0.205998,-0.064604,-0.097847,0.001323,0.005198,-1.005134,0.180394,0.023115,-0.057658,-0.234826,0.110310,-0.002050,-0.000000,0.000000,-0.000000,0.000000,0.001323,0.005198,-1.005134,0.180394,0.023115,-0.057658,0.216338,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.001884,0.000000,0.000000,0.000000,0.000000
305332.000000,0.003418,0.000488,-1.047363,0.205998,0.057348,-0.097847,0.001326,0.005192,-1.005126,0.180135,0.018143,-0.055986,-0.234839,0.110316,-0.002051,-0.000000,0.000000,-0.000000,0.000000,0.001326,0.005192,-1.005126,0.180135,0.018143,-0.055986,0.216329,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.005398,0.000000,0.000000,0.000000,0.000000
305334.000000,0.004883,0.000488,-1.048340,0.145022,-0.064604,-0.036871,0.001329,0.005185,-1.005114,0.182257,0.008740,-0.060713,-0.234848,0.110305,-0.002051,-0.000000,0.000000,-0.000000,0.000000,0.001329,0.005185,-1.005114,0.182257,0.008740,-0.060713,0.216316,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.005387,0.000000,0.000000,0.000000,0.000000
305335.000000,0.003418,0.001465,-1.044434,0.145022,-0.003628,-0.097847,0.001330,0.005182,-1.005107,0.180931,0.003771,-0.065836,-0.234853,0.110292,-0.002051,-0.000000,0.000000,-0.000000,0.000000,0.001330,0.005182,-1.005107,0.180931,0.003771,-0.065836,0.216306,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.005381,0.000000,0.000000,0.000000,0.000000
305336.000000,0.003906,0.000000,-1.046387,0.205998,0.057348,-0.097847,0.001332,0.005178,-1.005100,0.178344,-0.002009,-0.070998,-0.234861,0.110273,-0.002051,-0.000000,0.000000,-0.000000,0.000000,0.001332,0.005178,-1.005100,0.178344,-0.002009,-0.070998,0.216290,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.005376,0.000000,0.000000,0.000000,0.000000
305337.000000,0.005371,0.000000,-1.044434,0.145022,-0.003628,-0.097847,0.001333,0.005174,-1.005091,0.176001,-0.007225,-0.075400,-0.234871,0.110249,-0.002050,-0.000000,0.000000,-0.000000,0.000000,0.001333,0.005174,-1.005091,0.176001,-0.007225,-0.075400,0.216271,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.005371,0.000000,0.000000,0.000000,0.000000
305338.000000,0.001465,0.000000,-1.044922,0.205998,-0.003628,-0.097847,0.001334,0.005170,-1.005082,0.174188,-0.010571,-0.079547,-0.234883,0.110222,-0.002050,-0.000000,0.000000,-0.000000,0.000000,0.001334,0.005170,-1.005082,0.174188,-0.010571,-0.079547,0.216248,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.004209,0.000000,0.000000,0.000000,0.000000
305339.000000,0.002441,0.000488,-1.045898,0.205998,0.057348,-0.097847,0.001336,0.005166,-1.005072,0.172533,-0.012257,-0.083587,-0.234897,0.110193,-0.002050,-0.000000,0.000000,-0.000000,0.000000,0.001336,0.005166,-1.005072,0.172533,-0.012257,-0.083587,0.216223,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.003232,0.000000,0.000000,0.000000,0.000000
305341.000000,0.001953,0.002441,-1.043457,0.145022,-0.003628,-0.036871,0.001338,0.005157,-1.005051,0.171107,-0.009902,-0.089601,-0.234927,0.110138,-0.002050,-0.000000,0.000000,-0.000000,0.000000,0.001338,0.005157,-1.005051,0.171107,-0.009902,-0.089601,0.216171,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.002999,0.000000,0.000000,0.000000,0.000000
305343.000000,0.002441,-0.002441,-1.046875,0.145022,0.057348,-0.036871,0.001340,0.005149,-1.005028,0.172291,-0.001162,-0.091041,-0.234955,0.110097,-0.002050,-0.000000,0.000000,-0.000000,0.000000,0.001340,0.005149,-1.005028,0.172291,-0.001162,-0.091041,0.216128,0.000000,0.000000,0.000000,0.000000,0.002731,0.000000,0.000000,0.000000,-0.002993,0.000000,0.000000,0.000000,0.000000
