I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
363330.000000,0.001953,0.011719,-1.044434,0.205998,-0.003628,-0.707603,-0.000277,0.018231,-1.004967,0.227820,-0.046511,-0.603391,-1.115515,-0.108852,2.341623,0.000000,0.272498,-0.089350,0.271797,-0.000277,0.018231,-1.004967,0.227820,-0.046511,-0.603391,0.697862,0.000000,0.000000,0.000000,0.000000,0.003018,0.000000,0.000000,0.000000,0.020873,0.000787,0.000771,-0.000158,0.102916
363333.000000,0.002441,0.013672,-1.049316,0.145022,0.179299,-0.646628,-0.000060,0.018195,-1.005015,0.208626,-0.018228,-0.604269,-1.115371,-0.108949,2.340223,0.000000,0.553314,-0.054861,0.166883,-0.000060,0.018195,-1.005015,0.208626,-0.018228,-0.604269,0.697737,0.000000,0.000000,0.000000,0.000000,0.003018,0.000000,0.000000,0.000000,0.020810,0.001274,0.001128,0.000592,0.330561
363334.000000,0.004883,0.015625,-1.044434,0.205998,0.057348,-0.646628,0.000011,0.018182,-1.005029,0.204814,-0.009141,-0.610579,-1.115333,-0.108962,2.339749,0.000000,0.553314,-0.054861,0.166883,0.000011,0.018182,-1.005029,0.204814,-0.009141,-0.610579,0.697702,0.000000,0.000000,0.000000,0.000000,0.003018,0.000000,0.000000,0.000000,0.020790,0.001274,0.001128,0.000592,0.330561
363335.000000,0.003418,0.012695,-1.049316,0.205998,0.057348,-0.829554,0.000081,0.018169,-1.005043,0.202176,0.001580,-0.618036,-1.115297,-0.108964,2.339266,0.000000,0.553314,-0.054861,0.166883,0.000081,0.018169,-1.005043,0.202176,0.001580,-0.618036,0.697667,0.000000,0.000000,0.000000,0.000000,0.003018,0.000000,0.000000,0.000000,0.020769,0.001274,0.001128,0.000592,0.330561
363336.000000,0.000977,0.011719,-1.046875,0.145022,0.057348,-0.829554,0.000149,0.018155,-1.005057,0.199997,0.012645,-0.627634,-1.115263,-0.108955,2.338774,0.000000,0.553314,-0.054861,0.166883,0.000149,0.018155,-1.005057,0.199997,0.012645,-0.627634,0.697632,0.000000,0.000000,0.000000,0.000000,0.003018,0.000000,0.000000,0.000000,0.020748,0.001274,0.001128,0.000592,0.330561
363337.000000,0.003906,0.013184,-1.044922,0.145022,0.057348,-0.768579,0.000217,0.018142,-1.005070,0.197500,0.022631,-0.640915,-1.115231,-0.108935,2.338269,0.000000,0.553314,-0.054861,0.166883,0.000217,0.018142,-1.005070,0.197500,0.022631,-0.640915,0.697598,0.000000,0.000000,0.000000,0.000000,0.003018,0.000000,0.000000,0.000000,0.020727,0.001274,0.001128,0.000592,0.330561
363338.000000,0.002930,0.014648,-1.046387,0.145022,0.118323,-0.829554,0.000283,0.018128,-1.005083,0.193760,0.031925,-0.657056,-1.115203,-0.108905,2.337746,0.000000,0.553314,-0.054861,0.166883,0.000283,0.018128,-1.005083,0.193760,0.031925,-0.657056,0.697565,0.000000,0.000000,0.000000,0.000000,0.003018,0.000000,0.000000,0.000000,0.020707,0.001274,0.001128,0.000592,0.330561
363339.000000,-0.000977,0.012695,-1.044434,0.205998,0.118323,-0.829554,0.000348,0.018115,-1.005095,0.189004,0.041498,-0.674304,-1.115180,-0.108866,2.337208,0.000000,0.553314,-0.054861,0.166883,0.000348,0.018115,-1.005095,0.189004,0.041498,-0.674304,0.697535,0.000000,0.000000,0.000000,0.000000,0.003018,0.000000,0.000000,0.000000,0.020686,0.001274,0.001128,0.000592,0.330561
363340.000000,0.000000,0.012695,-1.041992,0.266974,0.057348,-0.768579,0.000412,0.018101,-1.005107,0.184868,0.051094,-0.692307,-1.115160,-0.108816,2.336651,0.000000,0.553314,-0.054861,0.166883,0.000412,0.018101,-1.005107,0.184868,0.051094,-0.692307,0.697507,0.000000,0.000000,0.000000,0.000000,0.003018,0.000000,0.000000,0.000000,0.020665,0.001274,0.001128,0.000592,0.330561
363343.000000,0.003906,0.011230,-1.045410,0.205998,0.179299,-0.768579,0.000593,0.018061,-1.005143,0.186163,0.072166,-0.742765,-1.115103,-0.108623,2.334878,0.000000,0.339735,-0.033684,0.488466,0.000593,0.018061,-1.005143,0.186163,0.072166,-0.742765,0.697417,0.000000,0.000000,0.000000,0.000000,0.003018,0.000000,0.000000,0.000000,0.020603,0.001385,0.001347,-0.000326,0.284273
