I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
490624.000000,0.006836,0.005859,-1.047363,0.205998,0.057348,-0.036871,0.005082,0.008885,-1.004797,0.197135,-0.018766,-0.100966,-0.393958,0.248501,-0.056104,0.000000,0.000000,0.000000,0.000000,0.005082,0.008885,-1.004797,0.197135,-0.018766,-0.100966,0.237016,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.074753,0.000000,0.000000,0.000000,0.000317
490625.000000,0.008789,0.004883,-1.047852,0.145022,-0.003628,-0.097847,0.005085,0.008900,-1.004786,0.200778,-0.014991,-0.098802,-0.393960,0.248492,-0.056104,0.000000,0.000000,0.000000,0.000000,0.005085,0.008900,-1.004786,0.200778,-0.014991,-0.098802,0.237007,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.074678,0.000000,0.000000,0.000000,0.000317
490626.000000,0.005859,0.002930,-1.044922,0.145022,0.057348,-0.158823,0.005088,0.008916,-1.004776,0.203113,-0.009605,-0.094876,-0.393960,0.248489,-0.056104,0.000000,0.000000,0.000000,0.000000,0.005088,0.008916,-1.004776,0.203113,-0.009605,-0.094876,0.237004,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.074603,0.000000,0.000000,0.000000,0.000317
490627.000000,0.006836,0.003906,-1.045410,0.205998,-0.064604,-0.158823,0.005091,0.008931,-1.004767,0.203000,-0.003943,-0.091856,-0.393960,0.248492,-0.056104,0.000000,0.000000,0.000000,0.000000,0.005091,0.008931,-1.004767,0.203000,-0.003943,-0.091856,0.237007,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.074529,0.000000,0.000000,0.000000,0.000317
490628.000000,0.006836,0.004395,-1.042969,0.205998,-0.003628,-0.097847,0.005094,0.008947,-1.004758,0.201449,0.000511,-0.091443,-0.393962,0.248499,-0.056104,0.000000,0.000000,0.000000,0.000000,0.005094,0.008947,-1.004758,0.201449,0.000511,-0.091443,0.237013,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.074454,0.000000,0.000000,0.000000,0.000317
490629.000000,0.007813,0.004395,-1.045898,0.205998,0.057348,-0.097847,0.005097,0.008963,-1.004750,0.199979,0.003227,-0.093007,-0.393965,0.248508,-0.056104,0.000000,0.000000,0.000000,0.000000,0.005097,0.008963,-1.004750,0.199979,0.003227,-0.093007,0.237023,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.074380,0.000000,0.000000,0.000000,0.000317
490630.000000,0.008301,0.006836,-1.043945,0.145022,0.057348,-0.158823,0.005100,0.008978,-1.004742,0.198710,0.005267,-0.095335,-0.393970,0.248520,-0.056104,0.000000,0.000000,0.000000,0.000000,0.005100,0.008978,-1.004742,0.198710,0.005267,-0.095335,0.237034,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.074306,0.000000,0.000000,0.000000,0.000317
490632.000000,0.006836,0.003418,-1.046387,0.327949,0.057348,-0.097847,0.005105,0.009010,-1.004728,0.196659,0.009684,-0.101618,-0.393984,0.248551,-0.056105,0.000000,0.000000,0.000000,0.000000,0.005105,0.009010,-1.004728,0.196659,0.009684,-0.101618,0.237062,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.074157,0.000000,0.000000,0.000000,0.000282
490634.000000,0.006348,0.005371,-1.046387,0.023071,0.118323,-0.097847,0.005108,0.009040,-1.004716,0.204655,0.011888,-0.106363,-0.393988,0.248587,-0.056105,0.000000,0.000000,0.000000,0.000000,0.005108,0.009040,-1.004716,0.204655,0.011888,-0.106363,0.237097,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.074009,0.000000,0.000000,0.000000,0.000282
490635.000000,0.006348,0.004883,-1.043945,0.266974,0.057348,-0.158823,0.005110,0.009055,-1.004711,0.209706,0.015610,-0.107517,-0.393982,0.248609,-0.056105,0.000000,0.000000,0.000000,0.000000,0.005110,0.009055,-1.004711,0.209706,0.015610,-0.107517,0.237119,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.073935,0.000000,0.000000,0.000000,0.000282
