I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
514596.000000,0.003418,0.007813,-1.042969,0.145022,-0.064604,-0.097847,0.001285,0.012511,-1.004166,0.174502,0.013467,-0.093915,-0.694529,0.102821,0.248247,-0.000000,0.000000,-0.000000,0.000000,0.001285,0.012511,-1.004166,0.174502,0.013467,-0.093915,0.280405,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.004415,0.000000,0.000000,0.000000,0.000000
514597.000000,0.005371,0.005859,-1.044922,0.084047,-0.003628,-0.158823,0.001283,0.012522,-1.004166,0.171126,0.010090,-0.095581,-0.694550,0.102825,0.248246,-0.000000,0.000000,-0.000000,0.000000,0.001283,0.012522,-1.004166,0.171126,0.010090,-0.095581,0.280426,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.004411,0.000000,0.000000,0.000000,0.000000
514599.000000,0.004395,0.003906,-1.043457,0.205998,0.057348,-0.036871,0.001280,0.012543,-1.004167,0.163545,0.003966,-0.098546,-0.694602,0.102823,0.248246,-0.000000,0.000000,-0.000000,0.000000,0.001280,0.012543,-1.004167,0.163545,0.003966,-0.098546,0.280475,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.003447,0.000000,0.000000,0.000000,0.000000
514600.000000,0.003418,0.008789,-1.043945,0.084047,-0.064604,-0.158823,0.001279,0.012553,-1.004166,0.160779,0.001697,-0.099638,-0.694634,0.102819,0.248246,-0.000000,0.000000,-0.000000,0.000000,0.001279,0.012553,-1.004166,0.160779,0.001697,-0.099638,0.280503,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.002046,0.000000,0.000000,0.000000,0.000000
514602.000000,0.002930,0.006836,-1.042969,0.145022,0.118323,-0.097847,0.001278,0.012573,-1.004165,0.157974,-0.004340,-0.101182,-0.694701,0.102801,0.248246,-0.000000,0.000000,-0.000000,0.000000,0.001278,0.012573,-1.004165,0.157974,-0.004340,-0.101182,0.280562,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.000190,0.000000,0.000000,0.000000,0.000000
514604.000000,0.001953,0.008301,-1.047852,0.145022,-0.003628,-0.036871,0.001278,0.012592,-1.004162,0.159799,-0.003575,-0.100077,-0.694767,0.102780,0.248247,-0.000000,0.000000,-0.000000,0.000000,0.001278,0.012592,-1.004162,0.159799,-0.003575,-0.100077,0.280618,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.000062,0.000000,0.000000,0.000000,0.000000
514605.000000,0.002930,0.006836,-1.045898,0.205998,-0.003628,0.024104,0.001279,0.012601,-1.004159,0.161907,0.000457,-0.096726,-0.694798,0.102774,0.248247,-0.000000,0.000000,-0.000000,0.000000,0.001279,0.012601,-1.004159,0.161907,0.000457,-0.096726,0.280645,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.000061,0.000000,0.000000,0.000000,0.000000
514606.000000,0.005859,0.005859,-1.046387,0.145022,-0.003628,-0.097847,0.001279,0.012610,-1.004157,0.163865,0.004064,-0.091327,-0.694827,0.102772,0.248246,-0.000000,0.000000,-0.000000,0.000000,0.001279,0.012610,-1.004157,0.163865,0.004064,-0.091327,0.280672,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.000061,0.000000,0.000000,0.000000,0.000000
514607.000000,0.002930,0.007324,-1.042969,0.266974,-0.003628,0.024104,0.001280,0.012619,-1.004154,0.165872,0.006560,-0.084717,-0.694853,0.102773,0.248246,-0.000000,0.000000,-0.000000,0.000000,0.001280,0.012619,-1.004154,0.165872,0.006560,-0.084717,0.280697,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.000061,0.000000,0.000000,0.000000,0.000000
514609.000000,0.003906,0.008301,-1.044922,0.084047,0.057348,-0.097847,0.001283,0.012635,-1.004146,0.170700,0.011209,-0.070023,-0.694900,0.102780,0.248246,-0.000000,0.000000,-0.000000,0.000000,0.001283,0.012635,-1.004146,0.170700,0.011209,-0.070023,0.280744,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.000061,0.000000,0.000000,0.000000,0.000000
514610.000000,0.001953,0.007813,-1.046387,0.084047,-0.003628,-0.036871,0.001284,0.012643,-1.004141,0.170823,0.013839,-0.063143,-0.694922,0.102788,0.248246,-0.000000,0.000000,-0.000000,0.000000,0.001284,0.012643,-1.004141,0.170823,0.013839,-0.063143,0.280767,0.000000,0.000000,3.000000,5.000000,0.886152,0.000000,0.000000,0.000000,-0.000061,0.000000,0.000000,0.000000,0.000000
