I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
153919.000000,-0.003906,-0.004395,-1.049316,0.145022,-0.003628,-0.158823,-0.005639,0.000235,-1.004680,0.191825,0.002942,-0.098224,0.296888,-0.257062,1.203434,0.000000,-0.000000,0.000000,-0.000000,-0.005639,0.000235,-1.004680,0.191825,0.002942,-0.098224,0.774439,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004511,0.000000,0.000000,0.000000,0.000000
153920.000000,-0.004883,-0.003418,-1.046387,0.205998,0.057348,-0.158823,-0.005636,0.000237,-1.004679,0.195467,-0.000411,-0.101625,0.296902,-0.257073,1.203434,0.000000,-0.000000,0.000000,-0.000000,-0.005636,0.000237,-1.004679,0.195467,-0.000411,-0.101625,0.774456,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004506,0.000000,0.000000,0.000000,0.000000
153923.000000,-0.003418,-0.004395,-1.044434,0.205998,-0.064604,-0.036871,-0.005624,0.000246,-1.004675,0.199599,-0.006437,-0.114311,0.296955,-0.257120,1.203435,0.000000,-0.000000,0.000000,-0.000000,-0.005624,0.000246,-1.004675,0.199599,-0.006437,-0.114311,0.774522,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004493,0.000000,0.000000,0.000000,0.000000
153925.000000,-0.003418,-0.005859,-1.046387,0.084047,0.057348,-0.036871,-0.005615,0.000253,-1.004671,0.200561,-0.010401,-0.114653,0.296994,-0.257160,1.203435,0.000000,-0.000000,0.000000,-0.000000,-0.005615,0.000253,-1.004671,0.200561,-0.010401,-0.114653,0.774573,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004484,0.000000,0.000000,0.000000,0.000000
153926.000000,-0.002930,-0.002441,-1.047363,0.205998,-0.003628,-0.219798,-0.005611,0.000257,-1.004669,0.199087,-0.012733,-0.111542,0.297012,-0.257184,1.203435,0.000000,-0.000000,0.000000,-0.000000,-0.005611,0.000257,-1.004669,0.199087,-0.012733,-0.111542,0.774598,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004479,0.000000,0.000000,0.000000,0.000000
153927.000000,-0.006348,-0.002930,-1.045898,0.145022,-0.003628,-0.097847,-0.005607,0.000262,-1.004667,0.196426,-0.013833,-0.107938,0.297027,-0.257208,1.203435,0.000000,-0.000000,0.000000,-0.000000,-0.005607,0.000262,-1.004667,0.196426,-0.013833,-0.107938,0.774621,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004475,0.000000,0.000000,0.000000,0.000000
153928.000000,-0.002930,-0.003906,-1.045410,0.145022,0.118323,-0.036871,-0.005603,0.000267,-1.004665,0.193692,-0.013902,-0.105077,0.297040,-0.257233,1.203436,0.000000,-0.000000,0.000000,-0.000000,-0.005603,0.000267,-1.004665,0.193692,-0.013902,-0.105077,0.774641,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004471,0.000000,0.000000,0.000000,0.000000
153929.000000,-0.004883,-0.003418,-1.045410,0.205998,-0.003628,0.024104,-0.005598,0.000272,-1.004663,0.191202,-0.013129,-0.102022,0.297050,-0.257257,1.203436,0.000000,-0.000000,0.000000,-0.000000,-0.005598,0.000272,-1.004663,0.191202,-0.013129,-0.102022,0.774659,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004466,0.000000,0.000000,0.000000,0.000000
153930.000000,-0.003418,-0.009766,-1.046875,0.205998,0.057348,-0.036871,-0.005594,0.000278,-1.004661,0.188621,-0.011043,-0.097306,0.297057,-0.257278,1.203436,0.000000,-0.000000,0.000000,-0.000000,-0.005594,0.000278,-1.004661,0.188621,-0.011043,-0.097306,0.774673,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004462,0.000000,0.000000,0.000000,0.000000
153932.000000,-0.002441,-0.004883,-1.045898,0.084047,0.057348,-0.036871,-0.005586,0.000290,-1.004658,0.180707,-0.003555,-0.087637,0.297061,-0.257310,1.203436,0.000000,-0.000000,0.000000,-0.000000,-0.005586,0.000290,-1.004658,0.180707,-0.003555,-0.087637,0.774688,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004453,0.000000,0.000000,0.000000,0.000000
153934.000000,-0.003418,-0.006836,-1.044434,0.145022,0.057348,-0.036871,-0.005578,0.000304,-1.004655,0.166869,0.006721,-0.079752,0.297038,-0.257323,1.203436,0.000000,-0.000000,0.000000,-0.000000,-0.005578,0.000304,-1.004655,0.166869,0.006721,-0.079752,0.774671,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004444,0.000000,0.000000,0.000000,0.000000
153935.000000,-0.000977,-0.003906,-1.045410,0.266974,-0.003628,-0.158823,-0.005574,0.000311,-1.004653,0.163100,0.012044,-0.072997,0.297020,-0.257321,1.203437,0.000000,-0.000000,0.000000,-0.000000,-0.005574,0.000311,-1.004653,0.163100,0.012044,-0.072997,0.774653,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004439,0.000000,0.000000,0.000000,0.000000
153936.000000,-0.003418,-0.004395,-1.045898,0.205998,0.057348,-0.097847,-0.005570,0.000319,-1.004652,0.162527,0.016787,-0.067241,0.297000,-0.257315,1.203437,0.000000,-0.000000,0.000000,-0.000000,-0.005570,0.000319,-1.004652,0.162527,0.016787,-0.067241,0.774633,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004435,0.000000,0.000000,0.000000,0.000000
153937.000000,-0.003906,-0.005859,-1.048828,0.145022,-0.003628,-0.097847,-0.005566,0.000327,-1.004651,0.163734,0.020497,-0.064934,0.296982,-0.257305,1.203438,0.000000,-0.000000,0.000000,-0.000000,-0.005566,0.000327,-1.004651,0.163734,0.020497,-0.064934,0.774612,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004430,0.000000,0.000000,0.000000,0.000000
153938.000000,-0.002930,-0.003906,-1.044922,0.205998,-0.003628,-0.219798,-0.005562,0.000336,-1.004650,0.165554,0.022842,-0.065633,0.296966,-0.257292,1.203438,0.000000,-0.000000,0.000000,-0.000000,-0.005562,0.000336,-1.004650,0.165554,0.022842,-0.065633,0.774593,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004426,0.000000,0.000000,0.000000,0.000000
153939.000000,-0.004395,-0.004883,-1.043945,0.327949,-0.003628,-0.158823,-0.005558,0.000345,-1.004650,0.168123,0.023439,-0.068510,0.296952,-0.257279,1.203438,0.000000,-0.000000,0.000000,-0.000000,-0.005558,0.000345,-1.004650,0.168123,0.023439,-0.068510,0.774575,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.004422,0.000000,0.000000,0.000000,0.000000
