I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
814760.000000,-0.003906,0.009277,-1.045898,0.205998,0.057348,-0.036871,-0.004633,0.013483,-1.004953,0.172588,-0.000266,-0.091766,-0.811518,-0.256066,1.206882,-0.000000,-0.000000,-0.000000,0.000000,-0.004633,0.013483,-1.004953,0.172588,-0.000266,-0.091766,0.468625,0.000000,0.000000,0.000000,0.000000,0.001078,0.000000,0.000000,0.000000,-0.015693,0.000000,0.000000,0.000000,0.000000
814763.000000,-0.001465,0.008789,-1.047363,0.205998,-0.064604,-0.097847,-0.004627,0.013473,-1.004936,0.169938,0.006989,-0.090273,-0.811536,-0.256061,1.206881,-0.000000,-0.000000,-0.000000,0.000000,-0.004627,0.013473,-1.004936,0.169938,0.006989,-0.090273,0.468636,0.000000,0.000000,0.000000,0.000000,0.001078,0.000000,0.000000,0.000000,-0.015646,0.000000,0.000000,0.000000,0.000000
814764.000000,-0.002930,0.006836,-1.045898,0.205998,-0.064604,0.024104,-0.004625,0.013469,-1.004930,0.170176,0.008682,-0.088743,-0.811542,-0.256055,1.206881,-0.000000,-0.000000,-0.000000,0.000000,-0.004625,0.013469,-1.004930,0.170176,0.008682,-0.088743,0.468637,0.000000,0.000000,0.000000,0.000000,0.001078,0.000000,0.000000,0.000000,-0.016072,0.000000,0.000000,0.000000,0.000000
814766.000000,-0.002930,0.009277,-1.044922,0.145022,0.057348,-0.097847,-0.004624,0.013461,-1.004919,0.173807,0.006348,-0.081019,-0.811548,-0.256046,1.206881,-0.000000,-0.000000,-0.000000,0.000000,-0.004624,0.013461,-1.004919,0.173807,0.006348,-0.081019,0.468637,0.000000,0.000000,0.000000,0.000000,0.001078,0.000000,0.000000,0.000000,-0.019720,0.000000,0.000000,0.000000,0.000000
814767.000000,-0.004395,0.008301,-1.048340,0.266974,0.057348,-0.036871,-0.004624,0.013457,-1.004914,0.176299,0.002956,-0.075472,-0.811548,-0.256046,1.206881,-0.000000,-0.000000,-0.000000,0.000000,-0.004624,0.013457,-1.004914,0.176299,0.002956,-0.075472,0.468637,0.000000,0.000000,0.000000,0.000000,0.001078,0.000000,0.000000,0.000000,-0.021871,0.000000,0.000000,0.000000,0.000000
814768.000000,-0.004395,0.010254,-1.043945,0.145022,0.118323,-0.097847,-0.004624,0.013452,-1.004908,0.178819,0.000323,-0.070442,-0.811545,-0.256048,1.206881,-0.000000,-0.000000,-0.000000,0.000000,-0.004624,0.013452,-1.004908,0.178819,0.000323,-0.070442,0.468636,0.000000,0.000000,0.000000,0.000000,0.001078,0.000000,0.000000,0.000000,-0.024107,0.000000,0.000000,0.000000,0.000000
814769.000000,-0.004395,0.010254,-1.044434,0.205998,0.057348,-0.097847,-0.004625,0.013447,-1.004903,0.181604,0.000013,-0.066105,-0.811540,-0.256051,1.206881,-0.000000,-0.000000,-0.000000,0.000000,-0.004625,0.013447,-1.004903,0.181604,0.000013,-0.066105,0.468633,0.000000,0.000000,0.000000,0.000000,0.001078,0.000000,0.000000,0.000000,-0.025741,0.000000,0.000000,0.000000,0.000000
814770.000000,-0.001953,0.009766,-1.045410,0.084047,0.057348,-0.097847,-0.004626,0.013442,-1.004898,0.184124,0.002416,-0.062743,-0.811531,-0.256051,1.206881,-0.000000,-0.000000,-0.000000,0.000000,-0.004626,0.013442,-1.004898,0.184124,0.002416,-0.062743,0.468627,0.000000,0.000000,0.000000,0.000000,0.001078,0.000000,0.000000,0.000000,-0.025716,0.000000,0.000000,0.000000,0.000000
814773.000000,-0.003418,0.005371,-1.045898,0.145022,-0.003628,-0.097847,-0.004631,0.013425,-1.004884,0.185003,0.021068,-0.058132,-0.811503,-0.256018,1.206880,-0.000000,-0.000000,-0.000000,0.000000,-0.004631,0.013425,-1.004884,0.185003,0.021068,-0.058132,0.468584,0.000000,0.000000,0.000000,0.000000,0.001078,0.000000,0.000000,0.000000,-0.021471,0.000000,0.000000,0.000000,0.000000
814774.000000,-0.001953,0.007813,-1.044434,0.205998,-0.064604,-0.036871,-0.004634,0.013420,-1.004879,0.184254,0.027639,-0.055879,-0.811494,-0.255993,1.206880,-0.000000,-0.000000,-0.000000,0.000000,-0.004634,0.013420,-1.004879,0.184254,0.027639,-0.055879,0.468563,0.000000,0.000000,0.000000,0.000000,0.001078,0.000000,0.000000,0.000000,-0.018886,0.000000,0.000000,0.000000,0.000000
814776.000000,-0.003906,0.008789,-1.046875,0.145022,-0.064604,-0.097847,-0.004640,0.013408,-1.004871,0.181572,0.030820,-0.051595,-0.811481,-0.255937,1.206879,-0.000000,-0.000000,-0.000000,0.000000,-0.004640,0.013408,-1.004871,0.181572,0.030820,-0.051595,0.468520,0.000000,0.000000,0.000000,0.000000,0.001078,0.000000,0.000000,0.000000,-0.017494,0.000000,0.000000,0.000000,0.000000
