I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
615453.000000,0.010254,0.010254,-1.041992,0.205998,-0.064604,-0.036871,0.007336,0.013654,-1.004186,0.193358,0.000894,-0.084259,-0.788130,0.385373,0.079473,-0.000000,-0.000000,-0.000000,-0.000000,0.007336,0.013654,-1.004186,0.193358,0.000894,-0.084259,0.516908,0.000000,0.000000,0.000000,0.000000,0.025995,0.000000,0.000000,0.000000,0.000203,0.000000,0.000000,0.000000,0.000000
615454.000000,0.009766,0.007324,-1.045410,0.145022,-0.003628,-0.036871,0.007339,0.013656,-1.004176,0.198533,-0.002848,-0.082295,-0.788112,0.385369,0.079473,-0.000000,-0.000000,-0.000000,-0.000000,0.007339,0.013656,-1.004176,0.198533,-0.002848,-0.082295,0.516893,0.000000,0.000000,0.000000,0.000000,0.025995,0.000000,0.000000,0.000000,-0.001545,0.000000,0.000000,0.000000,0.000000
615455.000000,0.007813,0.009277,-1.046875,0.266974,-0.003628,-0.036871,0.007342,0.013658,-1.004166,0.202850,-0.007638,-0.079945,-0.788089,0.385360,0.079474,-0.000000,-0.000000,-0.000000,-0.000000,0.007342,0.013658,-1.004166,0.202850,-0.007638,-0.079945,0.516871,0.000000,0.000000,0.000000,0.000000,0.025995,0.000000,0.000000,0.000000,-0.002340,0.000000,0.000000,0.000000,0.000000
615456.000000,0.010742,0.010742,-1.044922,0.145022,-0.003628,-0.097847,0.007345,0.013659,-1.004156,0.205429,-0.012218,-0.076863,-0.788064,0.385347,0.079474,-0.000000,-0.000000,-0.000000,-0.000000,0.007345,0.013659,-1.004156,0.205429,-0.012218,-0.076863,0.516844,0.000000,0.000000,0.000000,0.000000,0.025995,0.000000,0.000000,0.000000,-0.002337,0.000000,0.000000,0.000000,0.000000
615457.000000,0.010742,0.007813,-1.045898,0.205998,-0.064604,-0.097847,0.007348,0.013659,-1.004145,0.206423,-0.016427,-0.073269,-0.788038,0.385329,0.079474,-0.000000,-0.000000,-0.000000,-0.000000,0.007348,0.013659,-1.004145,0.206423,-0.016427,-0.073269,0.516813,0.000000,0.000000,0.000000,0.000000,0.025995,0.000000,0.000000,0.000000,-0.002335,0.000000,0.000000,0.000000,0.000000
615458.000000,0.010254,0.007324,-1.042969,0.205998,-0.064604,-0.097847,0.007351,0.013659,-1.004134,0.206263,-0.020719,-0.070259,-0.788011,0.385308,0.079475,-0.000000,-0.000000,-0.000000,-0.000000,0.007351,0.013659,-1.004134,0.206263,-0.020719,-0.070259,0.516779,0.000000,0.000000,0.000000,0.000000,0.025995,0.000000,0.000000,0.000000,-0.001849,0.000000,0.000000,0.000000,0.000000
615459.000000,0.008301,0.010254,-1.043457,0.084047,-0.003628,-0.097847,0.007354,0.013659,-1.004123,0.205265,-0.024849,-0.068552,-0.787986,0.385282,0.079475,-0.000000,-0.000000,-0.000000,-0.000000,0.007354,0.013659,-1.004123,0.205265,-0.024849,-0.068552,0.516743,0.000000,0.000000,0.000000,0.000000,0.025995,0.000000,0.000000,0.000000,-0.000932,0.000000,0.000000,0.000000,0.000000
615460.000000,0.007813,0.009766,-1.042969,0.205998,-0.064604,-0.158823,0.007357,0.013658,-1.004112,0.203203,-0.027654,-0.068452,-0.787963,0.385253,0.079476,-0.000000,-0.000000,-0.000000,-0.000000,0.007357,0.013658,-1.004112,0.203203,-0.027654,-0.068452,0.516706,0.000000,0.000000,0.000000,0.000000,0.025995,0.000000,0.000000,0.000000,-0.000604,0.000000,0.000000,0.000000,0.000000
615462.000000,0.009766,0.007324,-1.042969,0.205998,0.057348,-0.097847,0.007363,0.013655,-1.004090,0.196443,-0.028243,-0.074024,-0.787927,0.385194,0.079477,-0.000000,-0.000000,-0.000000,-0.000000,0.007363,0.013655,-1.004090,0.196443,-0.028243,-0.074024,0.516639,0.000000,0.000000,0.000000,0.000000,0.025995,0.000000,0.000000,0.000000,-0.000602,0.000000,0.000000,0.000000,0.000000
615464.000000,0.009277,0.008789,-1.047363,0.205998,0.057348,-0.158823,0.007370,0.013650,-1.004068,0.190000,-0.024385,-0.081113,-0.787905,0.385141,0.079477,-0.000000,-0.000000,-0.000000,-0.000000,0.007370,0.013650,-1.004068,0.190000,-0.024385,-0.081113,0.516585,0.000000,0.000000,0.000000,0.000000,0.025995,0.000000,0.000000,0.000000,-0.000601,0.000000,0.000000,0.000000,0.000000
