I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
133230.000000,0.010254,0.001465,-1.056152,0.571852,0.179299,-0.646628,0.043357,0.012681,-1.005457,0.253574,0.062622,-0.804954,-0.166543,0.686599,0.003110,-0.512060,-0.022010,-0.904466,0.299859,0.043357,0.012681,-1.005457,0.253574,0.062622,-0.804954,0.721809,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.043540,0.002313,-0.001930,-0.001275,4.205325
133232.000000,0.005371,0.000977,-1.057129,0.205998,0.118323,-0.768579,0.042337,0.012908,-1.005299,0.313253,0.058783,-0.756717,-0.166368,0.687248,0.001859,-0.314405,-0.013514,-0.555342,0.184113,0.042337,0.012908,-1.005299,0.313253,0.058783,-0.756717,0.722477,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.043453,0.001420,-0.001185,-0.000783,3.913760
133234.000000,0.007813,0.009277,-1.040527,0.084047,0.179299,-0.829554,0.041212,0.013143,-1.005138,0.373728,0.074337,-0.728550,-0.166067,0.687906,0.000676,-0.314405,-0.013514,-0.555342,0.184113,0.041212,0.013143,-1.005138,0.373728,0.074337,-0.728550,0.723200,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.043366,0.001420,-0.001185,-0.000783,3.913760
133235.000000,0.014648,0.013672,-1.052734,0.023071,0.057348,-0.768579,0.040613,0.013259,-1.005057,0.384737,0.082355,-0.722379,-0.165896,0.688243,0.000096,-0.314405,-0.013514,-0.555342,0.184113,0.040613,0.013259,-1.005057,0.384737,0.082355,-0.722379,0.723576,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.043323,0.001420,-0.001185,-0.000783,3.913760
133236.000000,0.014648,0.009277,-1.044922,0.145022,-0.003628,-0.829554,0.039991,0.013375,-1.004977,0.380753,0.088055,-0.720610,-0.165730,0.688580,-0.000483,-0.314405,-0.013514,-0.555342,0.184113,0.039991,0.013375,-1.004977,0.380753,0.088055,-0.720610,0.723950,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.046235,0.001420,-0.001185,-0.000783,3.913760
133238.000000,0.014648,0.003906,-1.037598,0.266974,0.057348,-0.951506,0.038687,0.013597,-1.004820,0.340148,0.087996,-0.729664,-0.165459,0.689242,-0.001651,-0.314405,-0.013514,-0.555342,0.184113,0.038687,0.013597,-1.004820,0.340148,0.087996,-0.729664,0.724666,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.067453,0.001420,-0.001185,-0.000783,3.913760
133239.000000,0.013184,0.007324,-1.036621,0.205998,0.118323,-0.951506,0.038007,0.013702,-1.004744,0.314618,0.085688,-0.741641,-0.165364,0.689563,-0.002250,-0.314405,-0.013514,-0.555342,0.184113,0.038007,0.013702,-1.004744,0.314618,0.085688,-0.741641,0.724999,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.067386,0.001420,-0.001185,-0.000783,3.913760
133240.000000,0.016602,0.004395,-1.043945,0.266974,0.179299,-1.012481,0.037311,0.013804,-1.004670,0.291137,0.085331,-0.758593,-0.165294,0.689878,-0.002866,-0.314405,-0.013514,-0.555342,0.184113,0.037311,0.013804,-1.004670,0.291137,0.085331,-0.758593,0.725318,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.067319,0.001420,-0.001185,-0.000783,3.913760
133242.000000,0.010742,0.002930,-1.051270,0.084047,0.301250,-1.012481,0.035875,0.013990,-1.004529,0.255172,0.095239,-0.805800,-0.165215,0.690504,-0.004168,-0.193045,-0.008298,-0.726980,0.499046,0.035875,0.013990,-1.004529,0.255172,0.095239,-0.805800,0.725930,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.067184,0.001997,-0.000728,-0.001859,3.586773
133244.000000,0.003906,0.006836,-1.047852,-0.159856,0.179299,-1.012481,0.034393,0.014154,-1.004398,0.222591,0.120404,-0.864264,-0.165206,0.691150,-0.005583,-0.193045,-0.008298,-0.726980,0.499046,0.034393,0.014154,-1.004398,0.222591,0.120404,-0.864264,0.726536,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.067050,0.001997,-0.000728,-0.001859,3.586773
133245.000000,0.007324,0.005859,-1.041504,-0.098880,0.240274,-1.073457,0.033639,0.014226,-1.004337,0.200139,0.133436,-0.891775,-0.165235,0.691484,-0.006332,-0.193045,-0.008298,-0.726980,0.499046,0.033639,0.014226,-1.004337,0.200139,0.133436,-0.891775,0.726836,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.066983,0.001997,-0.000728,-0.001859,3.586773
133246.000000,0.007813,0.009766,-1.047852,-0.159856,0.118323,-0.951506,0.032878,0.014291,-1.004279,0.171713,0.145500,-0.916904,-0.165294,0.691823,-0.007107,-0.193045,-0.008298,-0.726980,0.499046,0.032878,0.014291,-1.004279,0.171713,0.145500,-0.916904,0.727131,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.066916,0.001997,-0.000728,-0.001859,3.586773
133247.000000,0.012695,0.005859,-1.045410,0.023071,0.179299,-0.951506,0.032112,0.014350,-1.004225,0.138749,0.156802,-0.939497,-0.165387,0.692167,-0.007905,-0.193045,-0.008298,-0.726980,0.499046,0.032112,0.014350,-1.004225,0.138749,0.156802,-0.939497,0.727418,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.066849,0.001997,-0.000728,-0.001859,3.586773
133249.000000,0.004883,0.007813,-1.034668,-0.098880,0.057348,-0.829554,0.030569,0.014445,-1.004125,0.072511,0.174174,-0.972512,-0.165676,0.692863,-0.009552,-0.193045,-0.008298,-0.726980,0.499046,0.030569,0.014445,-1.004125,0.072511,0.174174,-0.972512,0.727962,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.066715,0.001997,-0.000728,-0.001859,3.586773
133250.000000,0.011719,0.007324,-1.055664,0.023071,-0.003628,-0.951506,0.029795,0.014482,-1.004081,0.043706,0.178351,-0.981465,-0.165867,0.693208,-0.010392,-0.193045,-0.008298,-0.726980,0.499046,0.029795,0.014482,-1.004081,0.043706,0.178351,-0.981465,0.728215,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.066648,0.001997,-0.000728,-0.001859,3.586773
133252.000000,0.024414,0.011719,-1.042969,0.266974,0.118323,-1.012481,0.028249,0.014533,-1.004002,0.002864,0.170500,-0.985725,-0.166317,0.693869,-0.012079,-0.504529,-0.005095,-0.832366,0.306414,0.028249,0.014533,-1.004002,0.002864,0.170500,-0.985725,0.728670,0.000000,0.000000,0.000000,0.000000,0.002777,0.000000,0.000000,0.000000,-0.066515,0.002094,-0.001755,-0.001142,2.911368
