I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
256524.000000,0.007324,0.006836,-1.043945,0.205998,-0.003628,-0.158823,0.005086,0.012343,-1.004235,0.164623,0.045795,-0.070696,-0.622328,0.344335,0.485022,0.000000,-0.000000,0.000000,-0.000000,0.005086,0.012343,-1.004235,0.164623,0.045795,-0.070696,0.382954,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.024083,0.000000,-0.000000,-0.000000,0.005219
256525.000000,0.007813,0.006348,-1.045410,0.205998,0.057348,0.024104,0.005085,0.012348,-1.004235,0.165709,0.047556,-0.073719,-0.622340,0.344368,0.485022,0.000000,-0.000000,0.000000,-0.000000,0.005085,0.012348,-1.004235,0.165709,0.047556,-0.073719,0.382988,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023533,0.000000,-0.000000,-0.000000,0.005219
256526.000000,0.004883,0.007813,-1.048340,0.205998,-0.003628,0.024104,0.005084,0.012353,-1.004235,0.167536,0.048039,-0.076166,-0.622350,0.344401,0.485021,0.000000,-0.000000,0.000000,-0.000000,0.005084,0.012353,-1.004235,0.167536,0.048039,-0.076166,0.383022,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023510,0.000000,-0.000000,-0.000000,0.005219
256527.000000,0.009277,0.005859,-1.047363,0.205998,0.057348,-0.036871,0.005083,0.012357,-1.004235,0.169902,0.047011,-0.075577,-0.622357,0.344433,0.485021,0.000000,-0.000000,0.000000,-0.000000,0.005083,0.012357,-1.004235,0.169902,0.047011,-0.075577,0.383053,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023486,0.000000,-0.000000,-0.000000,0.005219
256529.000000,0.006836,0.005371,-1.045410,0.266974,-0.003628,-0.036871,0.005082,0.012364,-1.004235,0.175297,0.042493,-0.066605,-0.622364,0.344490,0.485020,0.000000,-0.000000,0.000000,-0.000000,0.005082,0.012364,-1.004235,0.175297,0.042493,-0.066605,0.383106,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023439,0.000000,-0.000000,-0.000000,0.005219
256530.000000,0.007324,0.006836,-1.042480,0.205998,0.057348,0.024104,0.005081,0.012366,-1.004235,0.178759,0.040600,-0.061684,-0.622363,0.344516,0.485020,0.000000,-0.000000,0.000000,-0.000000,0.005081,0.012366,-1.004235,0.178759,0.040600,-0.061684,0.383127,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023416,0.000000,-0.000000,-0.000000,0.005219
256532.000000,0.009277,0.005859,-1.048828,0.266974,0.057348,-0.036871,0.005080,0.012368,-1.004235,0.187831,0.038067,-0.050446,-0.622347,0.344563,0.485019,0.000000,-0.000000,0.000000,-0.000000,0.005080,0.012368,-1.004235,0.187831,0.038067,-0.050446,0.383159,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023369,0.000000,-0.000000,-0.000000,0.004639
256533.000000,0.007324,0.008301,-1.048340,0.205998,-0.064604,-0.158823,0.005080,0.012368,-1.004236,0.192041,0.037176,-0.044914,-0.622332,0.344585,0.485018,0.000000,-0.000000,0.000000,-0.000000,0.005080,0.012368,-1.004236,0.192041,0.037176,-0.044914,0.383171,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023346,0.000000,-0.000000,-0.000000,0.004639
256535.000000,0.006348,0.008301,-1.045898,0.205998,-0.064604,-0.097847,0.005081,0.012365,-1.004236,0.198912,0.031767,-0.041737,-0.622292,0.344622,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005081,0.012365,-1.004236,0.198912,0.031767,-0.041737,0.383183,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023299,0.000000,-0.000000,-0.000000,0.004639
256536.000000,0.005859,0.007813,-1.044922,0.205998,-0.003628,-0.036871,0.005082,0.012363,-1.004237,0.200460,0.026304,-0.044307,-0.622269,0.344633,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005082,0.012363,-1.004237,0.200460,0.026304,-0.044307,0.383181,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023276,0.000000,-0.000000,-0.000000,0.004639
256537.000000,0.009277,0.006348,-1.044434,0.205998,-0.003628,-0.097847,0.005083,0.012360,-1.004238,0.201406,0.019827,-0.047996,-0.622245,0.344638,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005083,0.012360,-1.004238,0.201406,0.019827,-0.047996,0.383173,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023252,0.000000,-0.000000,-0.000000,0.004639
256538.000000,0.007324,0.005859,-1.044922,0.145022,-0.003628,0.024104,0.005085,0.012356,-1.004239,0.201886,0.013431,-0.051905,-0.622220,0.344636,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005085,0.012356,-1.004239,0.201886,0.013431,-0.051905,0.383159,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023229,0.000000,-0.000000,-0.000000,0.004639
256539.000000,0.007324,0.007324,-1.044434,0.145022,-0.003628,-0.036871,0.005087,0.012351,-1.004241,0.200705,0.007753,-0.055094,-0.622197,0.344629,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005087,0.012351,-1.004241,0.200705,0.007753,-0.055094,0.383141,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023206,0.000000,-0.000000,-0.000000,0.004639
256540.000000,0.007813,0.006348,-1.043457,0.205998,-0.003628,-0.036871,0.005089,0.012346,-1.004242,0.197407,0.002929,-0.056529,-0.622177,0.344617,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005089,0.012346,-1.004242,0.197407,0.002929,-0.056529,0.383120,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023183,0.000000,-0.000000,-0.000000,0.004639
256542.000000,0.006348,0.006348,-1.048828,0.205998,-0.003628,0.024104,0.005094,0.012333,-1.004246,0.189515,-0.003573,-0.055460,-0.622148,0.344583,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005094,0.012333,-1.004246,0.189515,-0.003573,-0.055460,0.383076,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023136,0.000000,-0.000000,-0.000000,0.004124
256544.000000,0.008789,0.006836,-1.046387,0.084047,-0.003628,-0.036871,0.005101,0.012318,-1.004251,0.183122,-0.006455,-0.051247,-0.622133,0.344541,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005101,0.012318,-1.004251,0.183122,-0.006455,-0.051247,0.383033,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023090,0.000000,-0.000000,-0.000000,0.004124
256545.000000,0.008301,0.007324,-1.042969,0.145022,-0.064604,0.024104,0.005105,0.012310,-1.004254,0.179615,-0.007461,-0.047045,-0.622130,0.344519,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005105,0.012310,-1.004254,0.179615,-0.007461,-0.047045,0.383012,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023067,0.000000,-0.000000,-0.000000,0.004124
256546.000000,0.006348,0.006836,-1.045410,0.084047,-0.003628,-0.036871,0.005110,0.012301,-1.004258,0.174784,-0.008863,-0.042340,-0.622132,0.344495,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005110,0.012301,-1.004258,0.174784,-0.008863,-0.042340,0.382993,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023044,0.000000,-0.000000,-0.000000,0.004124
256547.000000,0.005859,0.007324,-1.044922,0.145022,0.118323,-0.036871,0.005114,0.012291,-1.004262,0.168826,-0.010311,-0.037632,-0.622140,0.344470,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005114,0.012291,-1.004262,0.168826,-0.010311,-0.037632,0.382975,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.023021,0.000000,-0.000000,-0.000000,0.004124
256549.000000,0.007324,0.007813,-1.045898,0.145022,0.057348,-0.097847,0.005125,0.012270,-1.004271,0.157671,-0.007141,-0.030884,-0.622173,0.344424,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005125,0.012270,-1.004271,0.157671,-0.007141,-0.030884,0.382951,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.022975,0.000000,-0.000000,-0.000000,0.004124
256550.000000,0.006836,0.006836,-1.046875,0.084047,-0.064604,-0.097847,0.005131,0.012260,-1.004275,0.152797,-0.002557,-0.031041,-0.622196,0.344406,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005131,0.012260,-1.004275,0.152797,-0.002557,-0.031041,0.382949,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.022952,0.000000,-0.000000,-0.000000,0.004124
256552.000000,0.004883,0.007324,-1.044922,0.145022,-0.003628,-0.097847,0.005143,0.012237,-1.004286,0.144079,0.003293,-0.037390,-0.622257,0.344382,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005143,0.012237,-1.004286,0.144079,0.003293,-0.037390,0.382958,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.022906,0.000000,-0.000000,-0.000000,0.003666
256554.000000,0.006836,0.007813,-1.043457,0.205998,0.057348,-0.097847,0.005157,0.012213,-1.004299,0.143435,0.004415,-0.046441,-0.622322,0.344362,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005157,0.012213,-1.004299,0.143435,0.004415,-0.046441,0.382974,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.022685,0.000000,-0.000000,-0.000000,0.003666
256555.000000,0.007813,0.009277,-1.042969,0.084047,0.057348,-0.097847,0.005164,0.012200,-1.004306,0.145005,0.005097,-0.052156,-0.622353,0.344353,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005164,0.012200,-1.004306,0.145005,0.005097,-0.052156,0.382982,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.022662,0.000000,-0.000000,-0.000000,0.003666
256556.000000,0.006836,0.007324,-1.042969,0.205998,-0.003628,0.024104,0.005171,0.012188,-1.004313,0.146646,0.005956,-0.058146,-0.622382,0.344345,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005171,0.012188,-1.004313,0.146646,0.005956,-0.058146,0.382989,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.022639,0.000000,-0.000000,-0.000000,0.003666
256557.000000,0.006348,0.006836,-1.043945,0.145022,0.057348,-0.036871,0.005179,0.012175,-1.004321,0.148045,0.006946,-0.062953,-0.622410,0.344337,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005179,0.012175,-1.004321,0.148045,0.006946,-0.062953,0.382997,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.022617,0.000000,-0.000000,-0.000000,0.003666
256558.000000,0.007324,0.007324,-1.043945,0.266974,-0.003628,-0.097847,0.005187,0.012163,-1.004328,0.149780,0.008250,-0.065592,-0.622435,0.344332,0.485017,0.000000,-0.000000,0.000000,-0.000000,0.005187,0.012163,-1.004328,0.149780,0.008250,-0.065592,0.383005,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.022594,0.000000,-0.000000,-0.000000,0.003666
256559.000000,0.006836,0.004883,-1.039551,0.084047,-0.003628,0.024104,0.005194,0.012150,-1.004336,0.152425,0.010137,-0.066544,-0.622458,0.344328,0.485016,0.000000,-0.000000,0.000000,-0.000000,0.005194,0.012150,-1.004336,0.152425,0.010137,-0.066544,0.383013,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.022571,0.000000,-0.000000,-0.000000,0.003666
256560.000000,0.004883,0.004883,-1.046387,0.205998,0.118323,-0.036871,0.005202,0.012138,-1.004345,0.155530,0.012489,-0.066057,-0.622478,0.344327,0.485016,0.000000,-0.000000,0.000000,-0.000000,0.005202,0.012138,-1.004345,0.155530,0.012489,-0.066057,0.383022,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.022549,0.000000,-0.000000,-0.000000,0.003666
256563.000000,0.005371,0.006348,-1.045410,0.266974,0.057348,-0.097847,0.005226,0.012102,-1.004369,0.162118,0.024443,-0.052945,-0.622522,0.344345,0.485016,0.000000,-0.000000,0.000000,-0.000000,0.005226,0.012102,-1.004369,0.162118,0.024443,-0.052945,0.383060,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.022481,0.000000,-0.000000,-0.000000,0.003258
256564.000000,0.007324,0.007324,-1.042480,0.205998,-0.064604,-0.097847,0.005234,0.012090,-1.004377,0.164364,0.029111,-0.047958,-0.622532,0.344361,0.485015,0.000000,-0.000000,0.000000,-0.000000,0.005234,0.012090,-1.004377,0.164364,0.029111,-0.047958,0.383079,0.000000,0.000000,0.000000,0.000000,0.000773,0.000000,0.000000,0.000000,-0.022459,0.000000,-0.000000,-0.000000,0.003258
