I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
1149552.000000,0.007324,0.005371,-1.045898,0.145022,-0.003628,-0.097847,0.006213,0.010898,-1.005164,0.198836,-0.064573,-0.118790,-0.681300,0.385259,1.453573,-0.000000,0.055117,-0.000000,0.089386,0.006213,0.010898,-1.005164,0.198836,-0.064573,-0.118790,0.449105,0.000000,0.000000,1.000000,3.000000,1.832023,0.000000,0.000000,0.000000,-0.449336,0.000252,0.000245,-0.000061,0.045710
1149554.000000,0.007813,0.005371,-1.045898,0.205998,-0.003628,-0.097847,0.006160,0.010873,-1.005183,0.202918,-0.073022,-0.123028,-0.681277,0.385083,1.453575,-0.000000,0.055117,-0.000000,0.089386,0.006160,0.010873,-1.005183,0.202918,-0.073022,-0.123028,0.448947,0.000000,0.000000,1.000000,3.000000,1.832023,0.000000,0.000000,0.000000,-0.445529,0.000252,0.000245,-0.000061,0.045710
1149555.000000,0.005859,0.006836,-1.049805,0.145022,0.057348,-0.158823,0.006132,0.010861,-1.005192,0.202903,-0.071455,-0.126334,-0.681266,0.384996,1.453576,-0.000000,0.055117,-0.000000,0.089386,0.006132,0.010861,-1.005192,0.202903,-0.071455,-0.126334,0.448868,0.000000,0.000000,1.000000,3.000000,1.832023,0.000000,0.000000,0.000000,-0.445330,0.000252,0.000245,-0.000061,0.045710
1149556.000000,0.006836,0.004395,-1.045410,0.266974,0.057348,-0.097847,0.006105,0.010850,-1.005203,0.203558,-0.067994,-0.129385,-0.681253,0.384911,1.453577,-0.000000,0.055117,-0.000000,0.089386,0.006105,0.010850,-1.005203,0.203558,-0.067994,-0.129385,0.448792,0.000000,0.000000,1.000000,3.000000,1.832023,0.000000,0.000000,0.000000,-0.445132,0.000252,0.000245,-0.000061,0.045710
1149557.000000,0.007324,0.005859,-1.049805,0.266974,0.118323,-0.158823,0.006078,0.010839,-1.005213,0.204489,-0.062712,-0.131664,-0.681239,0.384832,1.453578,-0.000000,0.055117,-0.000000,0.089386,0.006078,0.010839,-1.005213,0.204489,-0.062712,-0.131664,0.448718,0.000000,0.000000,1.000000,3.000000,1.832023,0.000000,0.000000,0.000000,-0.444934,0.000252,0.000245,-0.000061,0.045710
1149559.000000,0.003418,0.009277,-1.044434,0.205998,0.118323,-0.158823,0.006023,0.010818,-1.005235,0.207374,-0.042709,-0.134108,-0.681208,0.384701,1.453580,-0.000000,0.055117,-0.000000,0.089386,0.006023,0.010818,-1.005235,0.207374,-0.042709,-0.134108,0.448592,0.000000,0.000000,1.000000,3.000000,1.832023,0.000000,0.000000,0.000000,-0.444538,0.000252,0.000245,-0.000061,0.045710
1149560.000000,0.004395,0.007324,-1.045410,0.205998,0.057348,-0.036871,0.005995,0.010808,-1.005246,0.209088,-0.026877,-0.134300,-0.681189,0.384657,1.453580,-0.000000,0.055117,-0.000000,0.089386,0.005995,0.010808,-1.005246,0.209088,-0.026877,-0.134300,0.448545,0.000000,0.000000,1.000000,3.000000,1.832023,0.000000,0.000000,0.000000,-0.444340,0.000252,0.000245,-0.000061,0.045710
1149562.000000,0.003906,0.004883,-1.047852,0.205998,-0.003628,-0.097847,0.005941,0.010790,-1.005269,0.209960,0.007797,-0.130494,-0.681150,0.384620,1.453581,-0.000000,0.033842,-0.000000,0.054883,0.005941,0.010790,-1.005269,0.209960,0.007797,-0.130494,0.448493,0.000000,0.000000,1.000000,3.000000,1.832023,0.000000,0.000000,0.000000,-0.443945,0.000155,0.000150,-0.000038,0.059542
1149564.000000,0.005859,0.006836,-1.047363,0.084047,-0.003628,-0.097847,0.005888,0.010774,-1.005292,0.207765,0.030380,-0.122863,-0.681114,0.384635,1.453580,-0.000000,0.033842,-0.000000,0.054883,0.005888,0.010774,-1.005292,0.207765,0.030380,-0.122863,0.448485,0.000000,0.000000,1.000000,3.000000,1.832023,0.000000,0.000000,0.000000,-0.443551,0.000155,0.000150,-0.000038,0.059542
1149565.000000,0.005371,0.005859,-1.044922,0.145022,-0.064604,-0.097847,0.005862,0.010766,-1.005304,0.205653,0.036493,-0.117987,-0.681099,0.384653,1.453580,-0.000000,0.033842,-0.000000,0.054883,0.005862,0.010766,-1.005304,0.205653,0.036493,-0.117987,0.448491,0.000000,0.000000,1.000000,3.000000,1.832023,0.000000,0.000000,0.000000,-0.443354,0.000155,0.000150,-0.000038,0.059542
