I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
1311820.000000,0.007324,0.004395,-1.045898,0.205998,-0.064604,-0.097847,0.006670,0.009614,-1.005863,0.172726,-0.026043,-0.103642,-0.502090,0.379952,0.832962,-0.000000,-0.000000,0.000000,-0.000000,0.006670,0.009614,-1.005863,0.172726,-0.026043,-0.103642,0.373244,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001693,0.000000,0.000000,0.000000,0.000000
1311823.000000,0.007324,0.004395,-1.046387,0.205998,0.057348,-0.097847,0.006674,0.009604,-1.005884,0.180845,-0.020482,-0.107973,-0.502131,0.379850,0.832963,-0.000000,-0.000000,0.000000,-0.000000,0.006674,0.009604,-1.005884,0.180845,-0.020482,-0.107973,0.373153,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001688,0.000000,0.000000,0.000000,0.000000
1311824.000000,0.007813,0.004883,-1.046387,0.205998,-0.064604,-0.097847,0.006675,0.009600,-1.005892,0.188175,-0.013391,-0.107698,-0.502133,0.379827,0.832963,-0.000000,-0.000000,0.000000,-0.000000,0.006675,0.009600,-1.005892,0.188175,-0.013391,-0.107698,0.373129,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001687,0.000000,0.000000,0.000000,0.000000
1311825.000000,0.008789,0.002930,-1.046875,0.266974,-0.003628,-0.036871,0.006678,0.009596,-1.005899,0.195341,-0.005352,-0.107705,-0.502127,0.379811,0.832963,-0.000000,-0.000000,0.000000,-0.000000,0.006678,0.009596,-1.005899,0.195341,-0.005352,-0.107705,0.373113,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001685,0.000000,0.000000,0.000000,0.000000
1311827.000000,0.008789,0.005371,-1.046387,0.205998,0.057348,-0.097847,0.006683,0.009586,-1.005913,0.207718,0.006556,-0.104434,-0.502096,0.379798,0.832963,-0.000000,-0.000000,0.000000,-0.000000,0.006683,0.009586,-1.005913,0.207718,0.006556,-0.104434,0.373094,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001682,0.000000,0.000000,0.000000,0.000000
1311828.000000,0.009766,0.005371,-1.047852,0.145022,-0.003628,-0.097847,0.006686,0.009580,-1.005921,0.211341,0.012975,-0.100402,-0.502074,0.379800,0.832963,-0.000000,-0.000000,0.000000,-0.000000,0.006686,0.009580,-1.005921,0.211341,0.012975,-0.100402,0.373092,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001680,0.000000,0.000000,0.000000,0.000000
1311829.000000,0.008789,0.003906,-1.046387,0.205998,-0.003628,-0.158823,0.006689,0.009574,-1.005928,0.212282,0.018882,-0.096446,-0.502051,0.379809,0.832963,-0.000000,-0.000000,0.000000,-0.000000,0.006689,0.009574,-1.005928,0.212282,0.018882,-0.096446,0.373096,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001678,0.000000,0.000000,0.000000,0.000000
1311830.000000,0.010742,0.004883,-1.046875,0.145022,-0.003628,-0.097847,0.006692,0.009568,-1.005935,0.211306,0.022261,-0.093914,-0.502029,0.379821,0.832963,-0.000000,-0.000000,0.000000,-0.000000,0.006692,0.009568,-1.005935,0.211306,0.022261,-0.093914,0.373103,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001677,0.000000,0.000000,0.000000,0.000000
1311833.000000,0.007813,0.003418,-1.045898,0.205998,0.057348,-0.036871,0.006703,0.009548,-1.005955,0.206680,0.023633,-0.093517,-0.501973,0.379861,0.832963,-0.000000,-0.000000,0.000000,-0.000000,0.006703,0.009548,-1.005955,0.206680,0.023633,-0.093517,0.373132,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001048,0.000000,0.000000,0.000000,0.000000
1311834.000000,0.009766,0.001465,-1.043945,0.266974,-0.003628,-0.097847,0.006707,0.009541,-1.005962,0.207338,0.022134,-0.093477,-0.501955,0.379874,0.832962,-0.000000,-0.000000,0.000000,-0.000000,0.006707,0.009541,-1.005962,0.207338,0.022134,-0.093477,0.373140,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001047,0.000000,0.000000,0.000000,0.000000
1311836.000000,0.008301,0.005371,-1.046875,0.205998,-0.003628,-0.158823,0.006715,0.009526,-1.005973,0.210507,0.018088,-0.092487,-0.501913,0.379892,0.832962,-0.000000,-0.000000,0.000000,-0.000000,0.006715,0.009526,-1.005973,0.210507,0.018088,-0.092487,0.373150,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001045,0.000000,0.000000,0.000000,0.000000
1311837.000000,0.008301,0.004883,-1.047852,0.266974,0.057348,-0.097847,0.006720,0.009519,-1.005979,0.212857,0.016281,-0.092968,-0.501889,0.379898,0.832962,-0.000000,-0.000000,0.000000,-0.000000,0.006720,0.009519,-1.005979,0.212857,0.016281,-0.092968,0.373151,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001044,0.000000,0.000000,0.000000,0.000000
1311838.000000,0.006348,0.004395,-1.046387,0.327949,-0.003628,-0.036871,0.006725,0.009512,-1.005983,0.216587,0.015254,-0.094170,-0.501862,0.379903,0.832962,-0.000000,-0.000000,0.000000,-0.000000,0.006725,0.009512,-1.005983,0.216587,0.015254,-0.094170,0.373151,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001043,0.000000,0.000000,0.000000,0.000000
1311839.000000,0.009277,0.004883,-1.045410,0.205998,0.057348,-0.097847,0.006730,0.009504,-1.005988,0.221860,0.015330,-0.094787,-0.501828,0.379909,0.832962,-0.000000,-0.000000,0.000000,-0.000000,0.006730,0.009504,-1.005988,0.221860,0.015330,-0.094787,0.373150,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001042,0.000000,0.000000,0.000000,0.000000
1311840.000000,0.006836,0.004883,-1.045410,0.205998,-0.003628,-0.158823,0.006735,0.009497,-1.005992,0.227383,0.016284,-0.094468,-0.501790,0.379915,0.832962,-0.000000,-0.000000,0.000000,-0.000000,0.006735,0.009497,-1.005992,0.227383,0.016284,-0.094468,0.373149,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.001041,0.000000,0.000000,0.000000,0.000000
1311843.000000,0.008301,0.003418,-1.042969,0.205998,-0.003628,-0.036871,0.006752,0.009474,-1.006002,0.231681,0.021196,-0.099134,-0.501660,0.379944,0.832961,-0.000000,-0.000000,0.000000,-0.000000,0.006752,0.009474,-1.006002,0.231681,0.021196,-0.099134,0.373151,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.003050,0.000000,0.000000,0.000000,0.000000
1311844.000000,0.012207,0.005371,-1.045410,0.145022,0.057348,-0.097847,0.006758,0.009467,-1.006005,0.229754,0.023266,-0.101086,-0.501619,0.379957,0.832961,-0.000000,-0.000000,0.000000,-0.000000,0.006758,0.009467,-1.006005,0.229754,0.023266,-0.101086,0.373157,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.003047,0.000000,0.000000,0.000000,0.000000
1311846.000000,0.009766,0.002441,-1.043457,0.266974,0.057348,-0.097847,0.006770,0.009453,-1.006008,0.222158,0.027092,-0.101625,-0.501547,0.379990,0.832961,-0.000000,-0.000000,0.000000,-0.000000,0.006770,0.009453,-1.006008,0.222158,0.027092,-0.101625,0.373175,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.003041,0.000000,0.000000,0.000000,0.000000
1311847.000000,0.007813,0.005371,-1.046387,0.266974,0.057348,-0.158823,0.006776,0.009446,-1.006009,0.218193,0.029385,-0.100800,-0.501517,0.380010,0.832961,-0.000000,-0.000000,0.000000,-0.000000,0.006776,0.009446,-1.006009,0.218193,0.029385,-0.100800,0.373189,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.003038,0.000000,0.000000,0.000000,0.000000
1311848.000000,0.011230,0.005859,-1.046875,0.266974,0.057348,-0.036871,0.006782,0.009440,-1.006009,0.216082,0.032044,-0.099399,-0.501489,0.380033,0.832961,-0.000000,-0.000000,0.000000,-0.000000,0.006782,0.009440,-1.006009,0.216082,0.032044,-0.099399,0.373205,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.003035,0.000000,0.000000,0.000000,0.000000
1311849.000000,0.008789,0.003418,-1.049805,0.145022,0.057348,-0.158823,0.006788,0.009433,-1.006009,0.215819,0.035001,-0.097637,-0.501461,0.380059,0.832960,-0.000000,-0.000000,0.000000,-0.000000,0.006788,0.009433,-1.006009,0.215819,0.035001,-0.097637,0.373225,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.003032,0.000000,0.000000,0.000000,0.000000
1311850.000000,0.010254,0.005371,-1.046875,0.205998,-0.064604,-0.158823,0.006795,0.009427,-1.006008,0.216099,0.038085,-0.096208,-0.501433,0.380087,0.832960,-0.000000,-0.000000,0.000000,-0.000000,0.006795,0.009427,-1.006008,0.216099,0.038085,-0.096208,0.373248,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.003029,0.000000,0.000000,0.000000,0.000000
1311852.000000,0.008301,0.001953,-1.045898,0.266974,0.057348,-0.158823,0.006808,0.009414,-1.006005,0.213372,0.040441,-0.098024,-0.501380,0.380149,0.832959,-0.000000,-0.000000,0.000000,-0.000000,0.006808,0.009414,-1.006005,0.213372,0.040441,-0.098024,0.373298,0.000000,0.000000,0.000000,0.000000,0.001950,0.000000,0.000000,0.000000,0.003023,0.000000,0.000000,0.000000,0.000000
