I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
177888.000000,0.009277,0.003418,-1.048828,0.205998,0.057348,-0.036871,0.008186,0.004574,-1.004153,0.151545,0.043867,-0.066270,0.075235,0.510960,0.345948,0.000000,-0.000000,0.000000,-0.000000,0.008186,0.004574,-1.004153,0.151545,0.043867,-0.066270,0.759475,0.000000,0.000000,2.000000,13.000000,0.405066
177889.000000,0.010742,-0.001465,-1.039551,0.205998,-0.003628,-0.097847,0.008178,0.004564,-1.004148,0.150360,0.043877,-0.067398,0.075201,0.510977,0.345947,0.000000,-0.000000,0.000000,-0.000000,0.008178,0.004564,-1.004148,0.150360,0.043877,-0.067398,0.759461,0.000000,0.000000,2.000000,13.000000,0.405066
177890.000000,0.013672,-0.004395,-1.047363,0.205998,-0.003628,-0.158823,0.008169,0.004554,-1.004142,0.151399,0.044227,-0.069997,0.075167,0.510995,0.345947,0.000000,-0.000000,0.000000,-0.000000,0.008169,0.004554,-1.004142,0.151399,0.044227,-0.069997,0.759448,0.000000,0.000000,2.000000,13.000000,0.405066
177893.000000,0.010254,-0.001953,-1.040527,0.145022,0.118323,-0.097847,0.008138,0.004526,-1.004130,0.160770,0.039660,-0.084907,0.075087,0.511040,0.345945,0.000000,-0.000000,0.000000,-0.000000,0.008138,0.004526,-1.004130,0.160770,0.039660,-0.084907,0.759417,0.000000,0.000000,2.000000,13.000000,0.405066
177894.000000,0.007324,0.002930,-1.041992,0.327949,-0.003628,-0.158823,0.008127,0.004517,-1.004126,0.162838,0.036687,-0.089489,0.075065,0.511050,0.345945,0.000000,-0.000000,0.000000,-0.000000,0.008127,0.004517,-1.004126,0.162838,0.036687,-0.089489,0.759407,0.000000,0.000000,2.000000,13.000000,0.405066
177895.000000,0.012207,-0.000977,-1.043945,0.145022,-0.064604,-0.158823,0.008116,0.004510,-1.004124,0.165573,0.033774,-0.093804,0.075046,0.511056,0.345944,0.000000,-0.000000,0.000000,-0.000000,0.008116,0.004510,-1.004124,0.165573,0.033774,-0.093804,0.759397,0.000000,0.000000,2.000000,13.000000,0.405066
177896.000000,0.014160,-0.003906,-1.044434,0.145022,-0.003628,-0.097847,0.008104,0.004503,-1.004122,0.169646,0.029926,-0.098726,0.075032,0.511059,0.345944,0.000000,-0.000000,0.000000,-0.000000,0.008104,0.004503,-1.004122,0.169646,0.029926,-0.098726,0.759388,0.000000,0.000000,2.000000,13.000000,0.405066
177897.000000,0.006348,0.004395,-1.037598,0.266974,0.118323,-0.158823,0.008091,0.004496,-1.004120,0.173555,0.025398,-0.103909,0.075021,0.511056,0.345943,0.000000,-0.000000,0.000000,-0.000000,0.008091,0.004496,-1.004120,0.173555,0.025398,-0.103909,0.759379,0.000000,0.000000,2.000000,13.000000,0.405066
177898.000000,0.011230,0.000488,-1.041016,0.145022,-0.003628,-0.097847,0.008079,0.004491,-1.004119,0.176738,0.022330,-0.108482,0.075014,0.511051,0.345943,0.000000,-0.000000,0.000000,-0.000000,0.008079,0.004491,-1.004119,0.176738,0.022330,-0.108482,0.759370,0.000000,0.000000,2.000000,13.000000,0.405066
177899.000000,0.009766,-0.002930,-1.044922,0.205998,-0.064604,-0.097847,0.008066,0.004486,-1.004118,0.180115,0.021397,-0.112198,0.075010,0.511045,0.345942,0.000000,-0.000000,0.000000,-0.000000,0.008066,0.004486,-1.004118,0.180115,0.021397,-0.112198,0.759363,0.000000,0.000000,2.000000,13.000000,0.405066
177900.000000,0.012695,-0.006348,-1.045410,0.145022,0.057348,-0.158823,0.008053,0.004482,-1.004117,0.183354,0.020562,-0.115315,0.075009,0.511037,0.345942,0.000000,-0.000000,0.000000,-0.000000,0.008053,0.004482,-1.004117,0.183354,0.020562,-0.115315,0.759357,0.000000,0.000000,2.000000,13.000000,0.405066
177902.000000,0.013184,-0.001465,-1.042480,0.205998,-0.003628,-0.158823,0.008027,0.004476,-1.004117,0.185487,0.016998,-0.121204,0.075012,0.511017,0.345941,0.000000,-0.000000,0.000000,-0.000000,0.008027,0.004476,-1.004117,0.185487,0.016998,-0.121204,0.759346,0.000000,0.000000,2.000000,13.000000,0.405066
177904.000000,0.010254,0.000488,-1.046387,0.145022,0.057348,-0.036871,0.008002,0.004473,-1.004118,0.185066,0.016041,-0.124487,0.075014,0.510993,0.345940,0.000000,-0.000000,0.000000,-0.000000,0.008002,0.004473,-1.004118,0.185066,0.016041,-0.124487,0.759331,0.000000,0.000000,2.000000,13.000000,0.405066
177905.000000,0.006348,0.001465,-1.037598,0.145022,-0.064604,-0.097847,0.007990,0.004473,-1.004118,0.185019,0.015075,-0.122447,0.075015,0.510979,0.345939,0.000000,-0.000000,0.000000,-0.000000,0.007990,0.004473,-1.004118,0.185019,0.015075,-0.122447,0.759323,0.000000,0.000000,2.000000,13.000000,0.405066
177906.000000,0.009277,-0.002441,-1.049316,0.205998,0.057348,-0.097847,0.007978,0.004473,-1.004119,0.184044,0.014098,-0.118255,0.075016,0.510965,0.345939,0.000000,-0.000000,0.000000,-0.000000,0.007978,0.004473,-1.004119,0.184044,0.014098,-0.118255,0.759314,0.000000,0.000000,2.000000,13.000000,0.405066
177907.000000,0.006836,-0.000977,-1.050781,0.084047,-0.003628,-0.097847,0.007967,0.004474,-1.004119,0.182027,0.013428,-0.113749,0.075014,0.510949,0.345938,0.000000,-0.000000,0.000000,-0.000000,0.007967,0.004474,-1.004119,0.182027,0.013428,-0.113749,0.759302,0.000000,0.000000,2.000000,13.000000,0.405066
177908.000000,0.012207,-0.004395,-1.048828,0.205998,0.057348,-0.097847,0.007957,0.004475,-1.004120,0.179374,0.013205,-0.109835,0.075009,0.510934,0.345938,0.000000,-0.000000,0.000000,-0.000000,0.007957,0.004475,-1.004120,0.179374,0.013205,-0.109835,0.759288,0.000000,0.000000,2.000000,13.000000,0.405066
177909.000000,0.000977,0.004883,-1.052246,0.266974,-0.064604,-0.036871,0.007947,0.004477,-1.004120,0.176800,0.013504,-0.106293,0.075002,0.510918,0.345937,0.000000,-0.000000,0.000000,-0.000000,0.007947,0.004477,-1.004120,0.176800,0.013504,-0.106293,0.759273,0.000000,0.000000,2.000000,13.000000,0.405066
177912.000000,0.007813,0.001953,-1.051758,0.145022,0.118323,-0.158823,0.007921,0.004485,-1.004123,0.174524,0.011203,-0.093624,0.074975,0.510869,0.345936,0.000000,-0.000000,0.000000,-0.000000,0.007921,0.004485,-1.004123,0.174524,0.011203,-0.093624,0.759219,0.000000,0.000000,2.000000,13.000000,0.405066
177913.000000,0.009277,-0.002930,-1.044922,0.084047,0.179299,-0.158823,0.007914,0.004488,-1.004124,0.173372,0.010747,-0.090604,0.074964,0.510850,0.345935,0.000000,-0.000000,0.000000,-0.000000,0.007914,0.004488,-1.004124,0.173372,0.010747,-0.090604,0.759199,0.000000,0.000000,2.000000,13.000000,0.405066
177915.000000,0.010742,0.001953,-1.046387,0.145022,0.057348,-0.097847,0.007902,0.004496,-1.004127,0.167129,0.018003,-0.091976,0.074934,0.510823,0.345934,0.000000,-0.000000,0.000000,-0.000000,0.007902,0.004496,-1.004127,0.167129,0.018003,-0.091976,0.759158,0.000000,0.000000,2.000000,13.000000,0.405066
177916.000000,0.008789,-0.003418,-1.048340,0.145022,0.057348,-0.097847,0.007897,0.004499,-1.004129,0.161859,0.023548,-0.095886,0.074912,0.510817,0.345934,0.000000,-0.000000,0.000000,-0.000000,0.007897,0.004499,-1.004129,0.161859,0.023548,-0.095886,0.759138,0.000000,0.000000,2.000000,13.000000,0.405066
177917.000000,0.010254,0.002441,-1.041016,0.266974,0.057348,-0.158823,0.007893,0.004503,-1.004132,0.156799,0.028938,-0.100669,0.074884,0.510816,0.345933,0.000000,-0.000000,0.000000,-0.000000,0.007893,0.004503,-1.004132,0.156799,0.028938,-0.100669,0.759117,0.000000,0.000000,2.000000,13.000000,0.405066
177918.000000,0.007813,-0.000488,-1.040527,0.205998,0.057348,-0.097847,0.007890,0.004507,-1.004135,0.153809,0.034538,-0.105903,0.074854,0.510821,0.345933,0.000000,-0.000000,0.000000,-0.000000,0.007890,0.004507,-1.004135,0.153809,0.034538,-0.105903,0.759097,0.000000,0.000000,2.000000,13.000000,0.405066
177919.000000,0.010254,0.001953,-1.043945,0.205998,-0.003628,0.024104,0.007887,0.004511,-1.004138,0.153562,0.040002,-0.110879,0.074823,0.510832,0.345932,0.000000,-0.000000,0.000000,-0.000000,0.007887,0.004511,-1.004138,0.153562,0.040002,-0.110879,0.759081,0.000000,0.000000,2.000000,13.000000,0.405066
177920.000000,0.004883,-0.000488,-1.043457,0.266974,-0.186555,-0.158823,0.007885,0.004515,-1.004143,0.155510,0.043238,-0.113660,0.074794,0.510845,0.345932,0.000000,-0.000000,0.000000,-0.000000,0.007885,0.004515,-1.004143,0.155510,0.043238,-0.113660,0.759069,0.000000,0.000000,2.000000,13.000000,0.405066
177923.000000,0.010254,0.002930,-1.045898,0.145022,-0.003628,-0.097847,0.007882,0.004527,-1.004158,0.171650,0.029746,-0.110828,0.074738,0.510865,0.345930,0.000000,-0.000000,0.000000,-0.000000,0.007882,0.004527,-1.004158,0.171650,0.029746,-0.110828,0.759039,0.000000,0.000000,2.000000,13.000000,0.405066
177924.000000,0.009277,-0.002441,-1.052246,0.084047,-0.003628,-0.158823,0.007882,0.004530,-1.004164,0.176376,0.023261,-0.109446,0.074730,0.510859,0.345930,0.000000,-0.000000,0.000000,-0.000000,0.007882,0.004530,-1.004164,0.176376,0.023261,-0.109446,0.759029,0.000000,0.000000,2.000000,13.000000,0.405066
177925.000000,0.011719,-0.000977,-1.040039,0.145022,0.057348,-0.158823,0.007883,0.004534,-1.004170,0.178708,0.016968,-0.108379,0.074724,0.510846,0.345929,0.000000,-0.000000,0.000000,-0.000000,0.007883,0.004534,-1.004170,0.178708,0.016968,-0.108379,0.759017,0.000000,0.000000,2.000000,13.000000,0.405066
177926.000000,0.008301,-0.003906,-1.040527,0.084047,0.179299,-0.097847,0.007884,0.004538,-1.004176,0.178408,0.011523,-0.108500,0.074718,0.510828,0.345929,0.000000,-0.000000,0.000000,-0.000000,0.007884,0.004538,-1.004176,0.178408,0.011523,-0.108500,0.759000,0.000000,0.000000,2.000000,13.000000,0.405066
