column,mapped_symbol,meaning,used_by_offline_baseline
I0,camera0.target0.x,图像板目标中心 x 像素,是
I1,camera0.target0.y,图像板目标中心 y 像素,是
I2,camera0.target0.radius,图像板目标半径/尺寸像素,是
I3,camera0.target1.x,图像板目标中心 x 像素,是
I4,camera0.target1.y,图像板目标中心 y 像素,是
I5,camera0.target1.radius,图像板目标半径/尺寸像素,是
I6,camera0.target2.x,图像板目标中心 x 像素,是
I7,camera0.target2.y,图像板目标中心 y 像素,是
I8,camera0.target2.radius,图像板目标半径/尺寸像素,是
I9,camera1.target0.x,图像板目标中心 x 像素,是
I10,camera1.target0.y,图像板目标中心 y 像素,是
I11,camera1.target0.radius,图像板目标半径/尺寸像素,是
I12,camera1.target1.x,图像板目标中心 x 像素,是
I13,camera1.target1.y,图像板目标中心 y 像素,是
I14,camera1.target1.radius,图像板目标半径/尺寸像素,是
I15,camera1.target2.x,图像板目标中心 x 像素,是
I16,camera1.target2.y,图像板目标中心 y 像素,是
I17,camera1.target2.radius,图像板目标半径/尺寸像素,是
I18,camera2.target0.x,图像板目标中心 x 像素,是
I19,camera2.target0.y,图像板目标中心 y 像素,是
I20,camera2.target0.radius,图像板目标半径/尺寸像素,是
I21,camera2.target1.x,图像板目标中心 x 像素,是
I22,camera2.target1.y,图像板目标中心 y 像素,是
I23,camera2.target1.radius,图像板目标半径/尺寸像素,是
I24,camera2.target2.x,图像板目标中心 x 像素,是
I25,camera2.target2.y,图像板目标中心 y 像素,是
I26,camera2.target2.radius,图像板目标半径/尺寸像素,是
I27,g_beacon_fusion_result.beacon_count,采集时固件输出的融合灯数,否
I28,g_beacon_fusion_result.beacon0.bearing_deg,采集时固件输出的方位角，单位 deg,否
I29,g_beacon_fusion_result.beacon0.range_proxy,采集时固件输出的距离代理，单位按算法 mm 处理,否
I30,g_beacon_fusion_result.beacon1.bearing_deg,采集时固件输出的方位角，单位 deg,否
I31,g_beacon_fusion_result.beacon1.range_proxy,采集时固件输出的距离代理，单位按算法 mm 处理,否
I32,g_beacon_fusion_result.beacon2.bearing_deg,采集时固件输出的方位角，单位 deg,否
I33,g_beacon_fusion_result.beacon2.range_proxy,采集时固件输出的距离代理，单位按算法 mm 处理,否
I34,g_beacon_fusion_result.beacon3.bearing_deg,采集时固件输出的方位角，单位 deg,否
I35,g_beacon_fusion_result.beacon3.range_proxy,采集时固件输出的距离代理，单位按算法 mm 处理,否
I36,g_beacon_fusion_result.beacon4.bearing_deg,采集时固件输出的方位角，单位 deg,否
I37,g_beacon_fusion_result.beacon4.range_proxy,采集时固件输出的距离代理，单位按算法 mm 处理,否
