I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.294121,-55.000000,2.326213,85.714287,-24.500000,2.111004,-42.039993,-59.840000,2.820948,-73.399994,17.300003,2.523133,1.000000,57.869968,0.340839,0.214057,0.402482,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.294121,-55.000000,2.326213,85.714287,-24.500000,2.111004,-42.039993,-59.840000,2.820948,-73.399994,17.300003,2.523133,1.000000,57.865112,0.340918,0.214147,0.402597,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.294121,-55.000000,2.326213,85.714287,-24.500000,2.111004,-42.039993,-59.840000,2.820948,-73.399994,17.300003,2.523133,1.000000,57.861954,0.340970,0.214206,0.402672,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.294121,-55.000000,2.326213,85.714287,-24.500000,2.111004,-42.039993,-59.840000,2.820948,-73.399994,17.300003,2.523133,1.000000,57.859901,0.341003,0.214244,0.402720,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.866669,-24.466667,2.185097,12.125000,-55.062500,2.256758,-42.039993,-59.840000,2.820948,-73.399994,17.300003,2.523133,1.000000,60.572258,0.351767,0.198435,0.403877,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.866669,-24.466667,2.185097,12.125000,-55.062500,2.256758,-42.039993,-59.840000,2.820948,-73.399994,17.300003,2.523133,1.000000,62.335289,0.358372,0.187868,0.404629,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.866669,-24.466667,2.185097,12.125000,-55.062500,2.256758,-42.039993,-59.840000,2.820948,-73.399994,17.300003,2.523133,1.000000,63.481258,0.362495,0.180881,0.405118,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.866669,-24.466667,2.185097,12.125000,-55.062500,2.256758,-42.039993,-59.840000,2.820948,-73.399994,17.300003,2.523133,1.000000,64.226143,0.365102,0.176292,0.405436,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.866669,-24.466667,2.185097,12.125000,-55.062500,2.256758,-42.039993,-59.840000,2.820948,-73.399994,17.300003,2.523133,1.000000,64.710312,0.366765,0.173288,0.405642,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.866669,-24.466667,2.185097,12.125000,-55.062500,2.256758,-42.039993,-59.840000,2.820948,-73.399994,17.300003,2.523133,1.000000,65.025024,0.367833,0.171328,0.405776,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.866669,-24.466667,2.185097,12.125000,-55.062500,2.256758,-42.039993,-59.840000,2.820948,-73.399994,17.300003,2.523133,1.000000,65.229584,0.368522,0.170050,0.405864,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.533333,-24.533333,2.185097,12.125000,-55.062500,2.256758,-42.083328,-59.750000,2.763953,-73.399994,17.300003,2.523133,1.000000,65.264503,0.369647,0.170296,0.406989,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.533333,-24.533333,2.185097,12.125000,-55.062500,2.256758,-42.083328,-59.750000,2.763953,-73.399994,17.300003,2.523133,1.000000,65.287201,0.370380,0.170456,0.407721,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.533333,-24.533333,2.185097,12.125000,-55.062500,2.256758,-42.083328,-59.750000,2.763953,-73.399994,17.300003,2.523133,1.000000,65.301949,0.370855,0.170559,0.408196,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.533333,-24.533333,2.185097,12.125000,-55.062500,2.256758,-42.083328,-59.750000,2.763953,-73.399994,17.300003,2.523133,1.000000,65.311539,0.371165,0.170626,0.408505,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.533333,-24.533333,2.185097,12.125000,-55.062500,2.256758,-42.083328,-59.750000,2.763953,-73.399994,17.300003,2.523133,1.000000,65.317772,0.371366,0.170670,0.408706,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.533333,-24.533333,2.185097,12.125000,-55.062500,2.256758,-42.083328,-59.750000,2.763953,-73.399994,17.300003,2.523133,1.000000,65.321823,0.371497,0.170698,0.408837,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.437500,-24.625000,2.256758,11.941177,-55.117645,2.326213,-42.083328,-59.750000,2.763953,-73.399994,17.300003,2.523133,1.000000,65.212883,0.369391,0.170582,0.406876,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
