file,source,tick,enter_count,beacon_id,distance_m,second_distance_m,position_x,position_y,velocity_x,velocity_y,location,confidence,score,impact_robust_z,applied,counts_in_sequence,reason
"经过2,3号信标灯-最终坐标1,3.csv",enter,24770,1,2,0.421322,1.002110,3.086644,4.087683,-0.241283,-0.771247,4,2.000000,2.340010,3.909737,1,1,initial loose gate
"经过2,3号信标灯-最终坐标1,3.csv",enter,28150,2,3,0.219762,1.867153,0.793449,3.424954,-1.328704,0.042022,3,2.000000,1.067820,-0.151914,1,1,strict distance gate
"经过3号信标灯-最终坐标3,2.csv",enter,8950,1,3,0.811134,1.147540,1.711613,3.110712,1.428563,-0.173443,2,2.000000,1.135502,0.074840,1,1,initial loose gate
"经过4,3号信标灯-最终坐标0,3.csv",enter,12010,1,4,0.659126,1.346393,2.655418,1.930182,1.461211,-0.285021,2,2.000000,2.039427,0.341588,1,1,initial loose gate
"经过4,3号信标灯-最终坐标0,3.csv",enter,15790,2,3,0.765920,2.192516,0.254059,3.326203,-0.452476,-0.005449,3,2.000000,0.747604,-0.696293,1,1,transition distance gate
"经过4号信标灯-最终坐标1,3.csv",enter,11120,1,4,0.859931,1.165079,2.845518,2.156781,1.765673,0.649201,2,2.000000,3.751645,2.324762,1,1,initial loose gate
"经过6,3号信标灯-最终坐标5,2.csv",enter,6110,1,6,0.127024,1.305094,4.122373,1.965940,-1.108813,0.374790,3,2.000000,1.911580,2.328387,1,1,strict distance gate
"经过6,3号信标灯-最终坐标5,2.csv",enter,9720,2,3,0.448395,2.214359,0.612653,3.725878,-1.102795,0.295622,3,2.000000,1.992528,1.871556,1,1,transition distance gate
"经过6,3号信标灯-最终坐标5,3.csv",enter,6320,1,6,0.193682,1.535015,3.808928,1.968307,-0.952414,0.084454,3,2.000000,0.616584,-0.819279,1,1,strict distance gate
"经过6,3号信标灯-最终坐标5,3.csv",enter,15400,2,3,0.358135,1.920996,1.217089,3.784839,0.095664,0.229437,1,2.000000,0.083760,-1.536531,1,1,weak detector score accepted by transition gate
"经过6,4,3号信标灯-最终坐标1,4.csv",enter,8190,1,6,0.183602,1.522301,3.820335,1.962181,-1.650399,0.087503,3,2.000000,2.920995,5.395127,1,1,strict distance gate
"经过6,4,3号信标灯-最终坐标1,4.csv",track,9550,1,4,0.138086,1.637318,2.015192,2.137247,-1.944776,-0.276667,3,0.000000,4.126220,6.099621,1,1,track proximity accepted by topology and signal gate
"经过6,4,3号信标灯-最终坐标1,4.csv",enter,11650,2,3,1.051647,1.141924,0.950279,2.449529,-0.241298,0.747769,1,1.000000,1.487520,0.457283,1,1,transition distance gate
"经过6,4,3号信标灯-最终坐标3,2.csv",enter,4950,1,6,0.743334,1.257322,3.257078,2.024768,-1.791525,0.052184,3,2.000000,1.404316,0.206104,1,1,initial loose gate
"经过6,4,3号信标灯-最终坐标3,2.csv",enter,5860,2,4,0.027126,1.492860,1.973894,1.992632,-1.729956,-0.011013,3,2.000000,7.860608,-0.840334,1,1,strict distance gate
