file,source,tick,enter_count,nearest_or_diagnostic_beacon_id,distance_m,second_distance_m,position_x,position_y,velocity_x,velocity_y,location,confidence,score,impact_robust_z,reason
"实际上没有碰到信标灯-最终坐标1,4.csv",enter,10100,1,7,0.767912,1.699618,5.612579,1.463073,-0.933802,0.845168,3,2.000000,1.396363,1.855931,candidate failed initial/history gate
"实际上没有碰到信标灯-最终坐标1,4.csv",enter,13090,2,3,0.246172,1.870946,1.170882,3.677201,-0.241238,0.009217,3,1.000000,0.435169,-1.379123,score below threshold
"实际上没有碰到信标灯-最终坐标3,3(第二次).csv",enter,10610,1,6,0.822626,1.477993,3.376938,2.537128,0.109600,0.616462,1,2.000000,1.215823,3.014843,candidate failed initial/history gate
"实际上没有碰到信标灯-最终坐标3,3(第二次).csv",enter,17340,2,7,0.902603,1.450612,5.435423,1.790632,0.033080,0.362912,1,2.000000,0.932046,0.845510,candidate failed initial/history gate
"实际上没有碰到信标灯-最终坐标3,3.csv",enter,45660,1,3,1.012444,1.303464,0.799442,2.507619,-0.600056,-0.048461,3,2.000000,2.050455,5.086557,candidate failed initial/history gate
"慢速-实际上没有碰到信标灯-最终坐标5,3.csv",enter,50870,1,3,0.433843,1.619070,0.817813,3.106265,0.006366,0.957628,1,2.000000,1.588198,1.216999,candidate failed initial/history gate
"经过2,3号信标灯-最终坐标1,3.csv",track,27900,1,3,0.138078,1.667268,1.096493,3.401234,-1.164308,-0.031733,4,0.000000,1.798395,1.853346,track candidate deferred to nearby enter event
"经过2,3号信标灯-最终坐标1,3.csv",track,27910,1,3,0.130281,1.673538,1.084927,3.401204,-1.156631,-0.002902,4,0.000000,1.590995,1.591865,track candidate deferred to nearby enter event
"经过2,3号信标灯-最终坐标1,3.csv",track,27920,1,3,0.122962,1.679975,1.073179,3.401185,-1.174778,-0.001790,4,0.000000,1.348791,0.998228,track candidate deferred to nearby enter event
"经过2,3号信标灯-最终坐标1,3.csv",track,27930,1,3,0.116334,1.686504,1.061430,3.401208,-1.174892,0.002198,4,0.000000,0.848045,-0.197804,track candidate deferred to nearby enter event
"经过2,3号信标灯-最终坐标1,3.csv",track,27940,1,3,0.110229,1.693459,1.049255,3.401388,-1.217455,0.017014,4,0.000000,1.802709,0.624247,track candidate deferred to nearby enter event
"经过2,3号信标灯-最终坐标1,3.csv",track,27950,1,3,0.105474,1.699923,1.038254,3.401707,-1.100194,0.030061,4,0.000000,3.084713,2.706845,track candidate deferred to nearby enter event
"经过2,3号信标灯-最终坐标1,3.csv",track,27960,1,3,0.101190,1.706944,1.027016,3.402483,-1.123744,0.073254,4,0.000000,1.799722,4.213729,track candidate deferred to nearby enter event
"经过2,3号信标灯-最终坐标1,3.csv",track,27970,1,3,0.097122,1.715167,1.014847,3.404020,-1.216863,0.144951,4,0.000000,1.799722,4.043190,track candidate deferred to nearby enter event
"经过2,3号信标灯-最终坐标1,3.csv",track,27980,1,3,0.093974,1.724345,1.001797,3.406043,-1.305069,0.190879,4,0.000000,1.799722,3.885918,track candidate deferred to nearby enter event
"经过2,3号信标灯-最终坐标1,3.csv",track,27990,1,3,0.092473,1.733954,0.988370,3.408262,-1.342697,0.209274,4,0.000000,1.664071,3.695581,track candidate deferred to nearby enter event
