scale_x,scale_y,pass_count,sequence_pass_count,error_pass_count,total_error_m,failed_files
1.00,1.06,18,18,18,3.989231,
1.00,1.04,18,18,18,4.175315,
1.00,1.02,18,18,18,4.315909,
1.02,1.04,17,18,17,4.071641,"经过7,6,4号信标灯-最终坐标2,1.csv"
1.02,1.02,17,18,17,4.224736,"经过7,6,4号信标灯-最终坐标2,1.csv"
1.00,1.00,17,18,17,4.540335,"实际上没有碰到信标灯-最终坐标1,4.csv"
1.02,1.00,16,18,16,4.438769,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.02,1.06,16,17,17,3.892526,"经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.04,1.02,16,17,17,3.932757,"经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.02,0.98,15,18,15,5.195983,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.00,0.98,15,17,15,5.763194,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv"
1.04,1.06,15,16,17,3.611850,"经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.04,1.04,15,16,17,3.774219,"经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.06,1.06,15,16,17,3.883113,"经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.06,1.04,15,16,17,4.038780,"经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.98,1.06,15,16,16,5.402971,"经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.98,1.04,15,16,15,6.486359,"经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.04,1.00,14,17,15,4.499334,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.06,1.00,14,17,15,4.752779,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.04,0.98,14,17,15,5.061097,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.06,0.98,14,17,15,5.131263,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.06,1.02,14,16,15,4.538599,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.96,1.00,14,16,15,5.851628,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.98,1.02,14,16,14,6.395973,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.98,1.00,14,16,14,6.523071,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.94,1.04,14,15,16,5.780802,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv"
0.96,1.06,14,15,15,6.441538,"经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.02,0.96,13,16,15,5.344900,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.02,0.94,13,16,15,5.574832,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.04,0.96,13,16,15,5.659804,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.06,0.96,13,16,15,5.730603,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.04,0.94,13,16,15,5.732667,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.98,0.98,13,16,14,6.262192,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.96,0.98,13,16,14,6.535341,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.94,1.02,13,15,15,6.112856,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.00,0.96,13,15,15,6.263995,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv"
1.00,0.94,13,15,15,6.518448,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv"
0.96,1.02,13,15,14,6.701639,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
