file,rows,expected_sequence,baseline_sequence,offline_sequence,baseline_enter_events,baseline_fix_applied,truth_x,truth_y,baseline_final_x,baseline_final_y,baseline_error_m,offline_final_x,offline_final_y,offline_error_m,status,needs_manual_review,notes
"实际上没有碰到信标灯-最终坐标1,4.csv",1126,-,3,-,2,1,1.000000,4.000000,0.941442,3.445224,0.557858,1.110069,3.619151,0.396436,PASS,0,
"实际上没有碰到信标灯-最终坐标3,3(第二次).csv",2432,-,-,-,2,0,3.000000,3.000000,3.269170,2.716949,0.390603,3.269169,2.819966,0.323827,PASS,0,
"实际上没有碰到信标灯-最终坐标3,3.csv",6693,-,-,-,1,0,3.000000,3.000000,2.990335,2.724024,0.276145,2.990437,2.827430,0.172835,PASS,0,
"实际上没有碰到信标灯-最终坐标5,2.csv",1138,-,-,-,0,0,5.000000,2.000000,5.066749,1.874837,0.141849,5.066749,1.927327,0.098675,PASS,0,
"慢速-实际上没有碰到信标灯-最终坐标5,3.csv",8740,-,-,-,1,0,5.000000,3.000000,5.002130,2.748331,0.251678,5.012899,2.842880,0.157649,PASS,0,
"经过2,3号信标灯-最终坐标1,3.csv",3836,"2,3",-,"2,3",2,0,1.000000,3.000000,1.035188,2.663182,0.338651,1.125118,3.128500,0.179351,PASS,0,
"经过3号信标灯-最终坐标3,2.csv",1768,3,-,3,1,0,3.000000,2.000000,3.385771,1.531230,0.607095,2.852064,1.855070,0.207099,PASS,0,
"经过4,3号信标灯-最终坐标0,3.csv",1803,"4,3",3,"4,3",2,1,0.000000,3.000000,0.539079,3.100073,0.548289,0.161795,2.989223,0.162153,PASS,0,
"经过4号信标灯-最终坐标1,3.csv",2028,4,-,4,1,0,1.000000,3.000000,1.610611,2.898079,0.619059,0.976472,2.894378,0.108210,PASS,0,
"经过6,3号信标灯-最终坐标5,2.csv",1877,"6,3","6,3","6,3",2,2,5.000000,2.000000,4.932025,1.963959,0.076939,4.727152,1.987278,0.273144,PASS,0,
"经过6,3号信标灯-最终坐标5,3.csv",2710,"6,3","6,3","6,3",2,2,5.000000,3.000000,4.758202,2.517164,0.539997,4.976020,2.745220,0.255906,PASS,0,
"经过6,4,3号信标灯-最终坐标1,4.csv",1702,"6,4,3","6,3","6,4,3",3,2,1.000000,4.000000,1.096714,3.508037,0.501379,0.927987,4.067880,0.098963,PASS,0,
"经过6,4,3号信标灯-最终坐标3,2.csv",1965,"6,4,3",3,"6,4,3",3,1,3.000000,2.000000,2.861566,1.630798,0.394302,3.259259,1.780103,0.339956,PASS,0,
"经过6,4号信标灯-最终坐标0,2.csv",1352,"6,4",6,"6,4",1,1,0.000000,2.000000,0.215254,2.111917,0.242610,0.168447,2.110647,0.201537,PASS,0,
"经过7,6,4号信标灯-最终坐标2,1.csv",3554,"7,6,4",7,"7,6,4",3,1,2.000000,1.000000,1.208781,0.937705,0.793668,1.510429,0.940540,0.493169,PASS,0,
"经过7655443267信标-最终坐标5,2.csv",5659,"7,6,5,5,4,4,3,2,6,7","7,6,5,5,4,4,2,7","7,6,5,5,4,4,3,2,6,7",10,8,5.000000,2.000000,4.845999,2.093752,0.180293,4.852945,2.078527,0.166709,PASS,0,
"经过7号信标灯-最终坐标3,2.csv",1297,7,7,7,1,1,3.000000,2.000000,3.041352,1.702307,0.300551,2.776968,1.813788,0.290548,PASS,0,
"经过7号信标灯-最终坐标4,1.csv",1059,7,-,7,0,0,4.000000,1.000000,4.060793,0.984167,0.062821,4.060791,0.983217,0.063065,PASS,0,
