I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27
10.000000,5.991715,1.007511,-0.828521,0.751064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.946194,0.000000,0.000000,0.000000,65535.000000,0.000000,0.000000,5.991715,1.007511,5.991715,1.007511,0.000000,0.000000,1.000000
20.000000,5.986628,1.012122,-0.508712,0.461154,0.000000,0.000000,0.000000,0.000000,0.000000,0.016641,0.662318,0.437031,-0.497664,-0.937317,0.000000,0.000000,0.000000,65535.000000,0.000000,0.000000,5.986628,1.012122,5.986628,1.012122,0.000000,0.000000,1.000000
30.000000,5.983505,1.014954,-0.312349,0.283148,0.000000,0.000000,0.000000,0.000000,0.000000,0.009533,0.406663,0.268337,-0.305566,-0.950751,0.000000,0.000000,0.000000,65535.000000,0.000000,0.000000,5.983505,1.014954,5.983505,1.014954,0.000000,0.000000,1.000000
70.000000,5.979243,1.018817,-0.044393,0.040243,0.000000,0.000000,0.000000,0.000000,0.000000,0.008931,0.057797,0.038138,-0.043429,-0.917043,0.000000,0.000000,0.000000,65535.000000,0.000000,0.000000,5.979243,1.018817,5.979243,1.018817,0.000000,0.000000,1.000000
80.000000,5.979243,1.018817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008744,0.035488,0.023416,-0.026665,-0.908702,0.000000,0.000000,0.000000,65535.000000,0.000000,0.000000,5.979243,1.018817,5.979243,1.018817,0.000000,0.000000,1.000000
90.000000,5.979243,1.018817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008744,0.021789,0.014378,-0.016373,-0.900511,0.000000,0.000000,0.000000,65535.000000,0.000000,0.000000,5.979243,1.018817,5.979243,1.018817,0.000000,0.000000,1.000000
100.000000,5.979243,1.018817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007796,0.013379,0.008828,-0.010053,-0.894170,0.000000,0.000000,0.000000,65535.000000,0.000000,0.000000,5.979243,1.018817,5.979243,1.018817,0.000000,0.000000,1.000000
110.000000,5.979243,1.018817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008603,0.008215,0.005420,-0.006172,-0.883343,0.000000,0.000000,0.000000,65535.000000,0.000000,0.000000,5.979243,1.018817,5.979243,1.018817,0.000000,0.000000,1.000000
120.000000,5.979243,1.018817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008603,0.005044,0.003328,-0.003790,-0.875601,0.000000,0.000000,0.000000,65535.000000,0.000000,0.000000,5.979243,1.018817,5.979243,1.018817,0.000000,0.000000,1.000000
130.000000,5.979243,1.018817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008922,0.003097,0.002043,-0.002327,-0.866493,0.000000,0.000000,0.000000,65535.000000,0.000000,0.000000,5.979243,1.018817,5.979243,1.018817,0.000000,0.000000,1.000000
