I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
14075.000000,0.005859,-0.000488,-1.044922,0.003845,0.005200,-1.002962,-0.374745,-0.000748,0.004383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,-0.000006,0.001128,-0.001415,0.000827,-0.002741,0.041630,0.019911,-0.000301,-0.001327,0.000006,-0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14076.000000,0.003906,0.000977,-1.044922,0.003841,0.005208,-1.002966,-0.374752,-0.000742,0.004384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,-0.000008,0.001090,-0.001494,0.000789,-0.002820,0.022456,0.005539,-0.000301,-0.001327,0.000007,-0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14077.000000,0.004883,0.000488,-1.042969,0.003837,0.005217,-1.002971,-0.374757,-0.000734,0.004384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,-0.000009,0.001054,-0.001573,0.000752,-0.002900,0.032100,0.010202,-0.000301,-0.001327,0.000008,-0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14078.000000,0.002930,0.000000,-1.046875,0.003834,0.005225,-1.002975,-0.374758,-0.000725,0.004384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,-0.000011,0.001020,-0.001652,0.000719,-0.002979,0.012813,0.015252,-0.000301,-0.001327,0.000009,-0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14079.000000,0.004395,-0.001953,-1.043945,0.003831,0.005234,-1.002979,-0.374756,-0.000716,0.004384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,-0.000013,0.000989,-0.001732,0.000688,-0.003059,0.027283,0.034222,-0.000301,-0.001327,0.000010,-0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14080.000000,0.005859,0.000977,-1.046387,0.003828,0.005242,-1.002983,-0.374748,-0.000709,0.004384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,-0.000015,0.000960,-0.001812,0.000659,-0.003138,0.041574,0.005636,-0.000301,-0.001327,0.000011,-0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14083.000000,0.005371,0.001953,-1.040527,0.003822,0.005267,-1.002993,-0.374708,-0.000718,0.004385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,-0.000006,0.000889,-0.002043,0.000592,-0.003379,0.036958,-0.004341,-0.000296,-0.001336,0.000003,-0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14084.000000,0.003418,0.000488,-1.045898,0.003820,0.005276,-1.002995,-0.374696,-0.000737,0.004385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,-0.000008,0.000873,-0.002122,0.000577,-0.003457,0.017635,0.010386,-0.000296,-0.001336,0.000004,-0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14085.000000,0.003906,0.000488,-1.041504,0.003819,0.005284,-1.002998,-0.374686,-0.000762,0.004386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,-0.000010,0.000861,-0.002198,0.000564,-0.003534,0.022565,0.010093,-0.000296,-0.001336,0.000004,-0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14086.000000,0.005371,0.002441,-1.047363,0.003817,0.005291,-1.003000,-0.374677,-0.000791,0.004386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,-0.000012,0.000851,-0.002273,0.000555,-0.003608,0.036761,-0.008685,-0.000296,-0.001336,0.000005,-0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14087.000000,0.005859,0.002441,-1.045898,0.003816,0.005299,-1.003003,-0.374667,-0.000822,0.004387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,-0.000015,0.000844,-0.002345,0.000547,-0.003681,0.041603,-0.008783,-0.000296,-0.001336,0.000006,-0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14088.000000,0.003906,-0.000488,-1.044434,0.003815,0.005306,-1.003005,-0.374656,-0.000853,0.004387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,-0.000017,0.000838,-0.002415,0.000542,-0.003750,0.022495,0.019864,-0.000296,-0.001336,0.000007,-0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14089.000000,0.005371,0.001465,-1.047852,0.003814,0.005313,-1.003007,-0.374645,-0.000882,0.004388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,-0.000020,0.000833,-0.002482,0.000537,-0.003818,0.036765,0.000924,-0.000296,-0.001336,0.000008,-0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14090.000000,0.005371,-0.001953,-1.046387,0.003813,0.005320,-1.003009,-0.374632,-0.000906,0.004388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,-0.000022,0.000829,-0.002547,0.000532,-0.003883,0.036826,0.034362,-0.000296,-0.001336,0.000009,-0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
